Taxon,MorphogroupID,CladeID,SpecimenID,HerbariumSheetID,Elevation,Latitude,Longitude,LAMLEN,LAMWID,PEDLEN,OVALEN,CALYTUBLEN,CALLOBLEN,PETLEN,PETWID,FILLEN,STYLEN
millegrana,16,I,FZU10413,MO6276775,1160,-21.46472222,-64.14305556,120.36,36.31,2.86,1.33,0,1.6,3.71,1.46,1.48,1.18
millegrana,16,I,FZU10398C,MO6265743,2360,-21.44138889,-64.38416667,90.38,33.58,2.48,1.11,0,1.38,3.65,1.44,2.1,1.4
millegrana,16,I,MS7323,MOUNM_MS7323,1696,-21.75833333,-64.30583333,119.33,39.67,2.3,0.96,0,1.27,3.22,1.48,1.48,0.98
millegrana,16,I,FZU10398A,MOUNM_10398A,2360,-21.44138889,-64.38416667,122.67,37.33,2.3,0.94,0,1.19,2.91,1.54,2.3,1.15
micrantha,16,I,MD6482,F2127150,1900,-7.416666667,-78.71666667,88.33,23,2.02,0.75,0,0.63,2.88,1.15,1.58,1.04
millegrana,16,I,FZU10219A,MO6274665,1650,-24.23444444,-65.07916667,109.99,35.61,2.5,1.18,0,1.23,2.87,1.19,1.43,1.5
millegrana,16,I,WE25045,F1495914,2700,-17.98333333,-65.6,81.33,24,2.06,1.27,0,1.06,2.87,1.36,1.38,0.81
millegrana,16,I,RR71,MOUNM_RC71,1228,-18.55,-64.63333333,78.33,25.33,1.7,1.01,0,1.27,2.8,1.4,1.27,0.8
millegrana,16,I,AJ1598,MO5689927,1385,-18.33333333,-64.48333333,116,28.67,2.01,0.89,0,1.16,2.79,1.4,1.65,1.1
millegrana,16,I,IV940,MO4047260,2050,-18.51805556,-64.08555556,129.83,38.33,2.04,0.87,0,0.99,2.74,1.28,1.26,0.88
millegrana,16,I,JS17904,MO4052291,2950,-17.7,-64.86666667,86.33,31.67,1.95,1.1,0,1.07,2.73,1.16,1.43,0.88
millegrana,16,I,JW11737,K206,2000,-18.20333333,-64.97777778,73.33,22.67,1.68,1.04,0,0.95,2.73,1.5,1.56,0.8
millegrana,16,I,JW8314,MO5257777,2100,-21.88444444,-64.90277778,98.67,34.83,1.95,1.04,0,1.04,2.71,1.29,1.68,0.91
millegrana,16,I,JW8984,K208,2500,-18.84722222,-65.22111111,74.83,22.5,2.39,0.92,0,1.26,2.7,1.54,1.61,0.89
millegrana,16,I,AS34715,NY_AS34715,2200,-23.08333333,-64.86666667,96.67,46,1.91,1.01,0,1.28,2.68,1.15,1.6,1.15
millegrana,16,I,JG492,MOUNM_JG492,1850,-20.73333333,-64.5,106,28.67,2,0.88,0,1,2.63,1.29,1.72,0.78
micrantha,16,I,AS8791,MO2677927,1850,-7.084444444,-79.04527778,124.67,36,1.99,0.74,0,0.58,2.61,1.05,1.58,1.04
micrantha,16,I,BK493,MOUNM_BBK493,1900,-4.683333333,-79.71666667,105,35.33,1.35,0.64,0,0.65,2.52,1.13,1.38,0.9
millegrana,16,I,MBL1130,MO2186806,NA,NA,NA,90.96,38.32,1.15,0.92,0,1.33,2.52,1.25,1.38,0.7
millegrana,16,I,JS10315,MO03148114,2050,-21.48333333,-64.33333333,76.37,29.74,2.17,1.11,0,1.3,2.5,1.17,1.8,1.09
millegrana,16,I,RK3415,NY_RK3415,1350,-24.16666667,-65.23333333,114.5,42.67,2.34,0.89,0,1.01,2.5,1.08,1.46,0.96
micrantha,16,I,FZ241,MOUNM_FZ241,2124,-7.074583333,-79.05105556,111.33,34,1.78,1.07,0,0.69,2.49,1.2,1.42,0.83
millegrana,16,I,JS10229,MO3148115,2000,-21.9,-64.68333333,129.5,46,2.19,1.01,0,1.01,2.49,1.17,1.33,0.88
micrantha,16,I,FZ242,MOUNM_FZ242,2124,-7.074611111,-79.05108333,134.33,31,1.84,0.85,0,0.67,2.46,1.13,1.25,0.84
micrantha,16,I,AS15247,MO05688191,2100,-7.468333333,-78.77833333,133.91,43.31,1.3,0.78,0,0.55,2.45,0.77,1.2,0.93
millegrana,16,I,AS148,LIL606662a,1850,-22.29805556,-64.68027778,121.33,36,2.13,0.96,0,1.16,2.43,1.21,1.38,0.89
