clusterNum,error,iteration
1,0.6606,run1
2,0.44347,run1
3,0.31349,run1
4,0.26292,run1
5,0.21986,run1
6,0.18913,run1
7,0.19759,run1
8,0.18749,run1
9,0.19603,run1
1,0.6562,run2
2,0.44982,run2
3,0.31664,run2
4,0.26541,run2
5,0.22102,run2
6,0.20328,run2
7,0.19883,run2
8,0.18245,run2
9,0.21464,run2
1,0.65841,run3
2,0.45386,run3
3,0.31559,run3
4,0.26647,run3
5,0.22022,run3
6,0.20839,run3
7,0.17216,run3
8,0.20716,run3
9,0.19713,run3
1,0.65396,run4
2,0.45339,run4
3,0.39712,run4
4,0.26335,run4
5,0.21446,run4
6,0.20767,run4
7,0.19652,run4
8,0.18581,run4
9,0.17554,run4
1,0.65681,run5
2,0.44048,run5
3,0.31811,run5
4,0.27429,run5
5,0.25359,run5
6,0.19459,run5
7,0.21685,run5
8,0.18539,run5
9,0.20665,run5
1,0.65897,run6
2,0.44464,run6
3,0.31731,run6
4,0.26314,run6
5,0.219,run6
6,0.1901,run6
7,0.22024,run6
8,0.16374,run6
9,0.21088,run6
1,0.66115,run7
2,0.44085,run7
3,0.318,run7
4,0.27101,run7
5,0.2184,run7
6,0.20565,run7
7,0.19123,run7
8,0.18278,run7
9,0.25466,run7
1,0.65867,run8
2,0.45383,run8
3,0.31534,run8
4,0.26184,run8
5,0.26063,run8
6,0.20343,run8
7,0.19973,run8
8,0.23974,run8
9,0.25039,run8
1,0.6603,run9
2,0.44146,run9
3,0.3175,run9
4,0.26219,run9
5,0.21971,run9
6,0.21153,run9
7,0.17671,run9
8,0.20069,run9
9,0.18588,run9
1,0.65585,run10
2,0.43688,run10
3,0.31594,run10
4,0.26938,run10
5,0.24796,run10
6,0.20739,run10
7,0.16672,run10
8,0.19027,run10
9,0.18986,run10
