clusterNum,error,iteration
1,0.65008,run1
1,0.65346,run2
1,0.65367,run3
1,0.65506,run4
1,0.65541,run5
1,0.65789,run6
1,0.65854,run7
1,0.65942,run8
1,0.65999,run9
1,0.66296,run10
2,0.4415,run1
2,0.44268,run2
2,0.44428,run3
2,0.44462,run4
2,0.4464,run5
2,0.44676,run6
2,0.44731,run7
2,0.4513,run8
2,0.45465,run9
2,0.457,run10
3,0.3131,run1
3,0.31341,run2
3,0.31415,run3
3,0.3157,run4
3,0.31603,run5
3,0.3174,run6
3,0.32125,run7
3,0.32201,run8
3,0.32316,run9
3,0.32344,run10
4,0.26383,run1
4,0.26399,run2
4,0.26415,run3
4,0.26584,run4
4,0.26684,run5
4,0.26923,run6
4,0.27002,run7
4,0.27021,run8
4,0.27383,run9
4,0.30951,run10
5,0.21964,run1
5,0.22088,run2
5,0.22094,run3
5,0.22633,run4
5,0.24747,run5
5,0.2525,run6
5,0.25395,run7
5,0.25862,run8
5,0.26031,run9
5,0.26691,run10
6,0.18438,run1
6,0.19651,run2
6,0.20496,run3
6,0.20546,run4
6,0.2055,run5
6,0.20751,run6
6,0.21113,run7
6,0.21338,run8
6,0.21472,run9
6,0.25183,run10
7,0.18373,run1
7,0.18937,run2
7,0.19329,run3
7,0.19581,run4
7,0.19778,run5
7,0.19803,run6
7,0.19813,run7
7,0.20117,run8
7,0.20253,run9
7,0.2196,run10
8,0.17303,run1
8,0.17668,run2
8,0.18073,run3
8,0.18156,run4
8,0.18481,run5
8,0.18713,run6
8,0.19062,run7
8,0.19903,run8
8,0.19925,run9
8,0.2059,run10
9,0.16697,run1
9,0.18619,run2
9,0.19251,run3
9,0.19378,run4
9,0.19443,run5
9,0.19999,run6
9,0.21502,run7
9,0.21915,run8
9,0.22627,run9
9,0.28272,run10
