SampleName,taxon,country,Latitude,Longitude,Elevation,STRUCTURE,RMavDemes,NMMgroups,mPTPgroups,morphologicalSampling,F_MISS,chosenForBFD
FZ174_E_resinosa_Plate2,resinosa,Bolivia,-14.08213889,-71.36888889,3553,group1,deme1,group1,group1,x,0.0275616,1
FZ240_E_piurensis_Plate2,piurensis,Peru,-7.328138889,-78.81075,2709,group1,deme1,group1,group1,x,0.0272374,1
FZ310_E_resinosa_Plate1,resinosa,Peru,-17.82777778,-64.78361111,3045,group1,deme1,group1,group2,x,0.0346952,1
JW7805_E_resinosa_Plate2,resinosa,Bolivia,-19.14611111,-65.32694444,2900,group1,deme1,group1,group2,x,0.0966278,1
FZ128_E_discolor_Plate2,discolor,Bolivia,5.89,-73.06,3081,group1,deme2,group1,group3,,0.0797665,1
FZ83_E_discolor_Plate2,discolor,Colombia,4.955555556,-74.16388889,2776,group1,deme2,group1,group3,x,0.0927367,1
FZ203_E_paniculata_Plate2,paniculata,Colombia,-13.18172222,-71.59766667,3186,group2,deme3,group2,group5,x,0.0813878,1
FZ271_E_paniculata_Plate2,paniculata,Peru,-16.27555556,-67.79180556,2432,group2,deme3,group2,group5,x,0.0314527,1
FZ245_E_paniculata_Plate1,paniculata,Bolivia,-5.368166667,-79.57561111,2045,group2,deme3,group2,group7,x,0.0590143,1
FZ247_E_paniculata_Plate1,paniculata,Peru,-5.370194444,-79.57591667,2068,group2,deme3,group2,group7,x,0.05869,1
AL360_E_reticulata_Plate3,reticulata,Bolivia,-19.81444444,-63.71944444,1540,group2,deme4,group2,group6,x,0.133917,1
FZ300_E_reticulata_Plate2,reticulata,Colombia,-18.18083333,-63.84244444,1860,group2,deme4,group2,group6,x (leaves only),0.0476654,1
FZ312_E_schreiteri_Plate2,schreiteri,Bolivia,-17.73838889,-64.95744444,2814,group3,deme5,group3,group4,x,0.139754,1
FZ314_E_schreiteri_Plate2,schreiteri,Bolivia,-17.74319444,-64.97341667,2954,group3,deme5,group3,group4,x,0.0985733,1
FZU10272_E_schreiteri_Plate2,schreiteri,Bolivia,-23.6483333,-64.9366666,1670,group3,deme5,group3,group4,x (leaves only),0.140078,1
FZ164_E_resinosa_Plate2,resinosa,Bolivia,-13.48752778,-71.9905,3776,group1,deme1,group1,group1,x (leaves only),0.0625811,0
FZ167_E_resinosa_Plate2,resinosa,Peru,-13.54269444,-71.94147222,3317,group1,deme1,group1,group1,x,0.0243191,0
FZ180_E_resinosa_Plate2,resinosa,Peru,-13.16013889,-72.28025,3694,group1,deme1,group1,group1,x,0.124838,0
FZ182_E_resinosa_Plate1,resinosa,Peru,-13.17722222,-72.28988889,3566,group1,deme1,group1,group1,x,0.0645266,0
