MolecularSampleName,taxon,country,Elevation,Latitude,Longitude
AL360_E_reticulata_Plate3,reticulata,Bolivia,1540,-19.81444444,-63.71944444
FZ128_E_discolor_Plate2,discolor,Colombia,3081,5.89,-73.06
FZ129_E_discolor_Plate2,discolor,Colombia,3177,5.9,-73.06
FZ164_E_resinosa_Plate2,resinosa,Peru,3776,-13.48752778,-71.9905
FZ167_E_resinosa_Plate2,resinosa,Peru,3317,-13.54269444,-71.94147222
FZ174_E_resinosa_Plate2,resinosa,Peru,3553,-14.08213889,-71.36888889
FZ180_E_resinosa_Plate2,resinosa,Peru,3694,-13.16013889,-72.28025
FZ182_E_resinosa_Plate1,resinosa,Peru,3566,-13.17722222,-72.28988889
FZ200_E_paniculata_Plate2,paniculata,Peru,3492,-13.35391667,-71.61519444
FZ202_E_paniculata_Plate2,paniculata,Peru,3186,-13.18172222,-71.59766667
FZ203_E_paniculata_Plate2,paniculata,Peru,3186,-13.18172222,-71.59766667
FZ204_E_paniculata_Plate2,paniculata,Peru,3186,-13.18172222,-71.59766667
FZ205_E_resinosa_Plate2,resinosa,Peru,3383,-13.21311111,-71.63272222
FZ208_E_piurensis_Plate1,piurensis,Peru,2818,-6.784972222,-77.93680556
FZ210_E_piurensis_Plate2,piurensis,Peru,2818,-6.784972222,-77.93680556
FZ211_E_piurensis_Plate2,piurensis,Peru,2818,-6.784972222,-77.93680556
FZ236_E_piurensis_Plate2,piurensis,Peru,2709,-7.328138889,-78.81075
FZ237_E_piurensis_Plate2,piurensis,Peru,2709,-7.328138889,-78.81075
FZ238_E_piurensis_Plate2,piurensis,Peru,2709,-7.328138889,-78.81075
FZ240_E_piurensis_Plate2,piurensis,Peru,2709,-7.328138889,-78.81075
FZ245_E_paniculata_Plate1,paniculata,Peru,2045,-5.368166667,-79.57561111
FZ247_E_paniculata_Plate1,paniculata,Peru,2068,-5.370194444,-79.57591667
FZ266_E_paniculata_Plate2,paniculata,Bolivia,3020,-16.3,-67.8
FZ267_E_paniculata_Plate2,paniculata,Bolivia,2984,-16.30833333,-67.81366667
FZ269_E_paniculata_Plate2,paniculata,Bolivia,2950,-16.31508333,-67.81222222
FZ271_E_paniculata_Plate2,paniculata,Bolivia,2432,-16.27555556,-67.79180556
FZ272_E_paniculata_Plate2,paniculata,Bolivia,2432,-16.27638889,-67.79222222
FZ277_E_resinosa_Plate1,resinosa,Bolivia,3352,-17.79208333,-65.48758333
FZ283_E_schreiteri_Plate2,schreiteri,Bolivia,2876,-17.83813889,-65.44902778
FZ284_E_schreiteri_Plate2,schreiteri,Bolivia,2876,-17.83833333,-65.44902778
FZ286_E_schreiteri_Plate2,schreiteri,Bolivia,2757,-17.84027778,-65.45
FZ293_E_reticulata_Plate2,reticulata,Bolivia,1707,-18.17491667,-63.83616667
FZ294_E_reticulata_Plate3,reticulata,Bolivia,1701,-18.17619444,-63.83527778
FZ295_E_reticulata_Plate1,reticulata,Bolivia,1885,-18.17577778,-63.82022222
FZ296_E_reticulata_Plate2,reticulata,Bolivia,1868,-18.17641667,-63.82252778
FZ297_E_reticulata_Plate2,reticulata,Bolivia,1701,-18.17875,-63.83052778
FZ298_E_reticulata_Plate2,reticulata,Bolivia,1941,-18.17841667,-63.82230556
FZ300_E_reticulata_Plate2,reticulata,Bolivia,1860,-18.18083333,-63.84244444
FZ301_E_reticulata_Plate2,reticulata,Bolivia,1862,-18.18069444,-63.8425
FZ310_E_resinosa_Plate1,resinosa,Bolivia,3045,-17.82777778,-64.78361111
FZ312_E_schreiteri_Plate2,schreiteri,Bolivia,2814,-17.73838889,-64.95744444
FZ313_E_schreiteri_Plate1,schreiteri,Bolivia,2885,-17.73861111,-64.9575
FZ314_E_schreiteri_Plate2,schreiteri,Bolivia,2954,-17.74319444,-64.97341667
FZ315_E_resinosa_Plate2,resinosa,Bolivia,3024,-17.75197222,-65.02422222
FZ83_E_discolor_Plate2,discolor,Colombia,2776,4.955555556,-74.16388889
FZ84_E_discolor_Plate2,discolor,Colombia,2776,4.984722222,-74.14694444
FZ85_E_discolor_Plate2,discolor,Colombia,3160,4.981388889,-74.20333333
FZU10132A_E_schreiteri_Plate3,schreiteri,Argentina,1625,-24.8911111,-65.6755556
FZU10272_E_schreiteri_Plate2,schreiteri,Argentina,1670,-23.6483333,-64.9366666
FZU10403_E_schreiteri_Plate2,schreiteri,Bolivia,2050,-21.4586111,-64.3383333
JW11465_E_paniculata_Plate2,paniculata,Bolivia,2200,-17.79277778,-64.71555556
JW7805_E_resinosa_Plate2,resinosa,Bolivia,2900,-19.14611111,-65.32694444
NL58_E_schreiteri_Plate3,schreiteri,Bolivia,1600,-17.85777778,-64.62694444
