clusterNum,error,iteration
1,0.65468,run1
1,0.65418,run2
1,0.65389,run3
1,0.65502,run4
1,0.66059,run5
1,0.65703,run6
1,0.65357,run7
1,0.66109,run8
1,0.65255,run9
1,0.65649,run10
2,0.4474,run1
2,0.44155,run2
2,0.44721,run3
2,0.44227,run4
2,0.45221,run5
2,0.45439,run6
2,0.4367,run7
2,0.45206,run8
2,0.44343,run9
2,0.45327,run10
3,0.31656,run1
3,0.31674,run2
3,0.31773,run3
3,0.31825,run4
3,0.31246,run5
3,0.31941,run6
3,0.31332,run7
3,0.31823,run8
3,0.31849,run9
3,0.39289,run10
4,0.26969,run1
4,0.26423,run2
4,0.26278,run3
4,0.30625,run4
4,0.27119,run5
4,0.27024,run6
4,0.26338,run7
4,0.26905,run8
4,0.27333,run9
4,0.26956,run10
5,0.21751,run1
5,0.22257,run2
5,0.25327,run3
5,0.21996,run4
5,0.26116,run5
5,0.21892,run6
5,0.21489,run7
5,0.22337,run8
5,0.21459,run9
5,0.21368,run10
6,0.1927,run1
6,0.21732,run2
6,0.20436,run3
6,0.20532,run4
6,0.2771,run5
6,0.21598,run6
6,0.20021,run7
6,0.20688,run8
6,0.20384,run9
6,0.19822,run10
7,0.19426,run1
7,0.23277,run2
7,0.19759,run3
7,0.22252,run4
7,0.22015,run5
7,0.20266,run6
7,0.20321,run7
7,0.19415,run8
7,0.20887,run9
7,0.19588,run10
8,0.18254,run1
8,0.19515,run2
8,0.19895,run3
8,0.20471,run4
8,0.18981,run5
8,0.1774,run6
8,0.20436,run7
8,0.18717,run8
8,0.20816,run9
8,0.18127,run10
9,0.18066,run1
9,0.23241,run2
9,0.18832,run3
9,0.21135,run4
9,0.14682,run5
9,0.17876,run6
9,0.18649,run7
9,0.17178,run8
9,0.21687,run9
9,0.19643,run10
