,SpeciesID,SpecimenID,species,MorphogroupID,Latitude,Longitude,Elevation,class.dim2.n0,probass.dim2.n0.g1,probass.dim2.n0.g2,probass.dim2.n0.g3,NMDS1.dim2.n0,NMDS2.dim2.n0,class.dim2.n1,probass.dim2.n1.g1,probass.dim2.n1.g2,probass.dim2.n1.g3,NMDS1.dim2.n1,NMDS2.dim2.n1,class.dim2.n2,probass.dim2.n2.g1,probass.dim2.n2.g2,probass.dim2.n2.g3,NMDS1.dim2.n2,NMDS2.dim2.n2,class.dim2.n3,probass.dim2.n3.g1,probass.dim2.n3.g2,probass.dim2.n3.g3,NMDS1.dim2.n3,NMDS2.dim2.n3,class.dim2.n4,probass.dim2.n4.g1,probass.dim2.n4.g2,probass.dim2.n4.g3,NMDS1.dim2.n4,NMDS2.dim2.n4,class.dim3.n0,probass.dim3.n0.g1,probass.dim3.n0.g2,probass.dim3.n0.g3,NMDS1.dim3.n0,NMDS2.dim3.n0,NMDS3.dim3.n0,class.dim3.n1,probass.dim3.n1.g1,probass.dim3.n1.g2,probass.dim3.n1.g3,NMDS1.dim3.n1,NMDS2.dim3.n1,NMDS3.dim3.n1,class.dim3.n2,probass.dim3.n2.g1,probass.dim3.n2.g2,probass.dim3.n2.g3,NMDS1.dim3.n2,NMDS2.dim3.n2,NMDS3.dim3.n2,class.dim3.n3,probass.dim3.n3.g1,probass.dim3.n3.g2,probass.dim3.n3.g3,NMDS1.dim3.n3,NMDS2.dim3.n3,NMDS3.dim3.n3,class.dim3.n4,probass.dim3.n4.g1,probass.dim3.n4.g2,probass.dim3.n4.noise,NMDS1.dim3.n4,NMDS2.dim3.n4,NMDS3.dim3.n4
10,FZ128_E_discolor,FZ128,discolor,19,5.89,-73.06,3081,1,1,0,0,-0.332891397,0.123960212,1,1,0,0,-0.332891397,-0.123960212,1,1,0,0,0.332891397,-0.123960213,1,1,0,0,-0.332891397,0.123960212,1,1,0,0,-0.332891397,-0.123960212,1,1,0,0,-0.227947869,-0.092973083,0.073562321,1,1,0,0,0.227947869,0.092973083,-0.073562321,1,1,0,0,-0.227947869,-0.092973083,0.073562321,1,1,0,0,0.227947869,-0.092973083,0.073562321,1,0.999992182,0,7.82E-06,0.227947869,-0.092973083,-0.073562321
11,FZ129_E_discolor,FZ129,discolor,19,5.9,-73.06,3177,1,1,0,0,-0.332141467,0.126110157,1,1,0,0,-0.332141467,-0.126110156,1,1,0,0,0.332141467,-0.126110157,1,1,0,0,-0.332141467,0.126110157,1,1,0,0,-0.332141467,-0.126110157,1,1,0,0,-0.228817499,-0.092077872,0.074588018,1,1,0,0,0.228817499,0.092077872,-0.074588018,1,1,0,0,-0.228817499,-0.092077872,0.074588018,1,1,0,0,0.228817499,-0.092077872,0.074588018,1,0.999903961,0,9.60E-05,0.228817499,-0.092077872,-0.074588018
12,FZ83_E_discolor,FZ83,discolor,19,4.955555556,-74.16388889,2776,1,1,0,0,-0.333673732,0.124533951,1,1,0,0,-0.333673732,-0.124533952,1,1,0,0,0.333673732,-0.124533951,1,1,0,0,-0.333673732,0.124533951,1,1,0,0,-0.333673732,-0.124533951,1,1,0,0,-0.228692791,-0.092989551,0.073258983,1,1,0,0,0.228692791,0.092989551,-0.073258983,1,1,0,0,-0.228692791,-0.092989551,0.073258983,1,1,0,0,0.228692791,-0.092989551,0.073258983,1,0.999990726,0,9.27E-06,0.228692791,-0.092989551,-0.073258983
13,FZ84_E_discolor,FZ84,discolor,19,4.984722222,-74.14694444,2776,1,1,0,0,-0.33269598,0.125283382,1,1,0,0,-0.33269598,-0.125283382,1,1,0,0,0.33269598,-0.125283382,1,1,0,0,-0.33269598,0.125283382,1,1,0,0,-0.33269598,-0.125283382,1,1,0,0,-0.228860683,-0.092857652,0.072693206,1,1,0,0,0.228860683,0.092857652,-0.072693206,1,1,0,0,-0.228860683,-0.092857652,0.072693206,1,1,0,0,0.228860683,-0.092857652,0.072693206,1,0.999973192,0,2.68E-05,0.228860683,-0.092857652,-0.072693206
14,FZ85_E_discolor,FZ85,discolor,19,4.981388889,-74.20333333,3160,1,1,0,0,-0.332268004,0.124897312,1,1,0,0,-0.332268004,-0.124897312,1,1,0,0,0.332268004,-0.124897312,1,1,0,0,-0.332268004,0.124897312,1,1,0,0,-0.332268004,-0.124897312,1,1,0,0,-0.228090998,-0.093444372,0.074033212,1,1,0,0,0.228090998,0.093444372,-0.074033212,1,1,0,0,-0.228090998,-0.093444372,0.074033212,1,1,0,0,0.228090998,-0.093444372,0.074033212,1,0.999994899,0,5.10E-06,0.228090998,-0.093444372,-0.074033212
15,FZ164_E_resinosa,FZ164,resinosa,24,-13.48752778,-71.9905,3776,1,1,0,0,-0.332243779,0.124427409,1,1,0,0,-0.332243778,-0.124427408,1,1,0,0,0.332243778,-0.124427408,1,1,0,0,-0.332243779,0.124427409,1,1,0,0,-0.332243779,-0.124427409,1,1,0,0,-0.227727844,-0.091700359,0.073648074,1,1,0,0,0.227727844,0.091700359,-0.073648074,1,1,0,0,-0.227727844,-0.091700359,0.073648074,1,1,0,0,0.227727844,-0.091700359,0.073648074,1,0.99981814,0,0.00018186,0.227727844,-0.091700359,-0.073648074
16,FZ167_E_resinosa,FZ167,resinosa,24,-13.54269444,-71.94147222,3317,1,1,0,0,-0.332811391,0.124523046,1,1,0,0,-0.332811392,-0.124523047,1,1,0,0,0.332811392,-0.124523047,1,1,0,0,-0.332811392,0.124523046,1,1,0,0,-0.332811392,-0.124523046,1,1,0,0,-0.228057382,-0.094223967,0.073645888,1,1,0,0,0.228057382,0.094223967,-0.073645888,1,1,0,0,-0.228057382,-0.094223967,0.073645888,1,1,0,0,0.228057382,-0.094223967,0.073645888,1,0.999994189,0,5.81E-06,0.228057382,-0.094223967,-0.073645888
17,FZ174_E_resinosa,FZ174,resinosa,24,-14.08213889,-71.36888889,3553,1,1,0,0,-0.333124727,0.124788587,1,1,0,0,-0.333124727,-0.124788587,1,1,0,0,0.333124727,-0.124788587,1,1,0,0,-0.333124727,0.124788587,1,1,0,0,-0.333124727,-0.124788587,1,1,0,0,-0.22804219,-0.093611685,0.07449046,1,1,0,0,0.22804219,0.093611685,-0.07449046,1,1,0,0,-0.22804219,-0.093611685,0.07449046,1,1,0,0,0.22804219,-0.093611685,0.07449046,1,0.999992556,0,7.44E-06,0.22804219,-0.093611685,-0.07449046
18,FZ180_E_resinosa,FZ180,resinosa,24,-13.16013889,-72.28025,3694,1,1,0,0,-0.332720899,0.124640943,1,1,0,0,-0.332720899,-0.124640941,1,1,0,0,0.332720899,-0.124640941,1,1,0,0,-0.332720899,0.124640943,1,1,0,0,-0.332720899,-0.124640943,1,1,0,0,-0.229065478,-0.094767851,0.073174294,1,1,0,0,0.229065478,0.094767851,-0.073174294,1,1,0,0,-0.229065478,-0.094767851,0.073174294,1,1,0,0,0.229065478,-0.094767851,0.073174294,1,0.999975009,0,2.50E-05,0.229065478,-0.094767851,-0.073174294
19,FZ182_E_resinosa,FZ182,resinosa,24,-13.17722222,-72.28988889,3566,1,1,0,0,-0.332840723,0.124359415,1,1,0,0,-0.332840723,-0.124359415,1,1,0,0,0.332840723,-0.124359415,1,1,0,0,-0.332840723,0.124359415,1,1,0,0,-0.332840723,-0.124359415,1,1,0,0,-0.228205355,-0.094512311,0.0751699,1,1,0,0,0.228205355,0.094512311,-0.0751699,1,1,0,0,-0.228205355,-0.094512311,0.0751699,1,1,0,0,0.228205355,-0.094512311,0.0751699,1,0.999955838,0,4.42E-05,0.228205355,-0.094512311,-0.0751699
