MolecularSampleName,deme1,deme3,deme5,deme4,deme2
FZ314_E_schreiteri_Plate2,0.020242294,0.019953716,0.920278903,0.019722407,0.019802679
FZ313_E_schreiteri_Plate1,0.02132069,0.021173862,0.915302064,0.019668809,0.022534574
FZ284_E_schreiteri_Plate2,0.023080926,0.021692416,0.910455537,0.0213263,0.023444821
FZ312_E_schreiteri_Plate2,0.028286023,0.02889383,0.886219817,0.027715001,0.02888533
FZU10272_E_schreiteri_Plate2,0.028216588,0.028130607,0.887745722,0.026856345,0.029050739
FZ286_E_schreiteri_Plate2,0.030765898,0.028984513,0.880039397,0.030299802,0.029910389
FZ283_E_schreiteri_Plate2,0.046628096,0.043012425,0.819420322,0.043439053,0.047500103
FZU10132A_E_schreiteri_Plate3,0.047958978,0.051305767,0.798002498,0.050981204,0.051751553
FZU10403_E_schreiteri_Plate2,0.107522627,0.108781683,0.575270514,0.10041313,0.108012046
NL58_E_schreiteri_Plate3,0.107740303,0.109043344,0.556389086,0.113433362,0.113393905
FZ296_E_reticulata_Plate2,0.007653795,0.007914458,0.008445558,0.968323792,0.007662397
FZ300_E_reticulata_Plate2,0.009449687,0.009575605,0.009925512,0.961801548,0.009247649
FZ295_E_reticulata_Plate1,0.011566521,0.011604648,0.011735754,0.954131877,0.0109612
FZ293_E_reticulata_Plate2,0.018497462,0.019164551,0.019326441,0.924381029,0.018630517
FZ298_E_reticulata_Plate2,0.019260102,0.019825344,0.020746943,0.920279122,0.01988849
AL360_E_reticulata_Plate3,0.026644727,0.026420788,0.027650946,0.893245932,0.026037607
FZ294_E_reticulata_Plate3,0.032664702,0.033730014,0.033676438,0.867615605,0.03231324
FZ301_E_reticulata_Plate2,0.038997948,0.040667218,0.039951363,0.844220996,0.036162475
FZ297_E_reticulata_Plate2,0.150830392,0.163749512,0.154051235,0.367317997,0.164050864
FZ245_E_paniculata_Plate1,0.010903163,0.832909117,0.001085269,0.154074766,0.001027686
FZ247_E_paniculata_Plate1,0.043284654,0.798300582,0.006605012,0.150367152,0.001442601
JW11465_E_paniculata_Plate2,0.004403539,0.868568083,0.01986023,0.10371566,0.003452487
FZ271_E_paniculata_Plate2,0.006469496,0.974591333,0.00656933,0.00635677,0.006013071
FZ272_E_paniculata_Plate2,0.005928921,0.975602841,0.006160123,0.006118625,0.00618949
FZ200_E_paniculata_Plate2,0.006460617,0.973948065,0.006358717,0.006625235,0.006607366
FZ204_E_paniculata_Plate2,0.007153469,0.972344794,0.006453865,0.007005981,0.007041891
FZ267_E_paniculata_Plate2,0.012501902,0.950699076,0.012165821,0.012487591,0.012145611
FZ203_E_paniculata_Plate2,0.016531398,0.933966383,0.016362397,0.016736278,0.016403544
FZ266_E_paniculata_Plate2,0.019947981,0.920569963,0.020236671,0.019776698,0.019468688
FZ269_E_paniculata_Plate2,0.023340089,0.910888301,0.022183413,0.021806533,0.021781663
FZ202_E_paniculata_Plate2,0.02688442,0.88707863,0.027105068,0.03006799,0.028863892
FZ129_E_discolor_Plate2,0.027725527,0.025949935,0.025221097,0.02756865,0.893534791
FZ83_E_discolor_Plate2,0.01842262,0.017912855,0.01703768,0.019496398,0.927130446
FZ84_E_discolor_Plate2,0.017751073,0.017096844,0.016728912,0.018581484,0.929841688
FZ128_E_discolor_Plate2,0.016322395,0.015281739,0.014944858,0.016916957,0.936534051
FZ85_E_discolor_Plate2,0.016353639,0.015506057,0.014611141,0.016268966,0.937260197
FZ167_E_resinosa_Plate2,0.980313017,0.004875739,0.004855671,0.004808868,0.005146705
FZ240_E_piurensis_Plate2,0.978872455,0.005207958,0.005169979,0.005389354,0.005360254
FZ205_E_resinosa_Plate2,0.978052063,0.005386778,0.00532247,0.00564663,0.005592059
FZ174_E_resinosa_Plate2,0.977920499,0.005427858,0.005455921,0.005317504,0.005878218
FZ211_E_piurensis_Plate2,0.974487939,0.006601322,0.006244003,0.006403812,0.006262924
FZ208_E_piurensis_Plate1,0.973797244,0.006876361,0.006149607,0.006517513,0.006659274
FZ310_E_resinosa_Plate1,0.971917681,0.00708451,0.007209897,0.006553321,0.00723459
FZ210_E_piurensis_Plate2,0.960601339,0.010411639,0.009437584,0.009451257,0.010098182
FZ277_E_resinosa_Plate1,0.959168773,0.010061642,0.010395576,0.009847862,0.010526146
FZ236_E_piurensis_Plate2,0.955234027,0.011247816,0.011224041,0.011256428,0.011037689
FZ182_E_resinosa_Plate1,0.948332219,0.012694235,0.012643894,0.012887165,0.013442487
FZ164_E_resinosa_Plate2,0.950230342,0.012237925,0.011900583,0.011921875,0.013709276
FZ238_E_piurensis_Plate2,0.927445541,0.018551008,0.017903294,0.018375661,0.017724496
JW7805_E_resinosa_Plate2,0.924031908,0.018484499,0.018739422,0.019308635,0.019435536
FZ315_E_resinosa_Plate2,0.921791193,0.020051285,0.019499563,0.019111934,0.019546025
FZ237_E_piurensis_Plate2,0.917780234,0.01951174,0.020511294,0.021186518,0.021010215
FZ180_E_resinosa_Plate2,0.903572018,0.024580043,0.023658176,0.022787624,0.025402139
