MolecularSampleName,group1,group2,group3
AL360_E_reticulata_Plate3,0,1,0
FZ293_E_reticulata_Plate2,0,1,0
FZ294_E_reticulata_Plate3,0,1,0
FZ295_E_reticulata_Plate1,0,1,0
FZ296_E_reticulata_Plate2,0,1,0
FZ297_E_reticulata_Plate2,0,1,0
FZ298_E_reticulata_Plate2,0,1,0
FZ300_E_reticulata_Plate2,0,1,0
FZ301_E_reticulata_Plate2,0,1,0
FZ128_E_discolor_Plate2,1,0,0
FZ129_E_discolor_Plate2,1,0,0
FZ83_E_discolor_Plate2,1,0,0
FZ84_E_discolor_Plate2,1,0,0
FZ85_E_discolor_Plate2,1,0,0
FZ164_E_resinosa_Plate2,1,0,0
FZ167_E_resinosa_Plate2,1,0,0
FZ174_E_resinosa_Plate2,1,0,0
FZ180_E_resinosa_Plate2,1,0,0
FZ182_E_resinosa_Plate1,1,0,0
FZ205_E_resinosa_Plate2,1,0,0
FZ277_E_resinosa_Plate1,1,0,0
FZ310_E_resinosa_Plate1,1,0,0
FZ315_E_resinosa_Plate2,1,0,0
JW7805_E_resinosa_Plate2,1,0,0
FZ200_E_paniculata_Plate2,0,1,0
FZ202_E_paniculata_Plate2,0,1,0
FZ203_E_paniculata_Plate2,0,1,0
FZ204_E_paniculata_Plate2,0,1,0
FZ245_E_paniculata_Plate1,0.002,0.9051,0.0929
FZ247_E_paniculata_Plate1,0.005,0.8991,0.0959
FZ266_E_paniculata_Plate2,0,1,0
FZ267_E_paniculata_Plate2,0,1,0
FZ269_E_paniculata_Plate2,0,1,0
FZ271_E_paniculata_Plate2,0,1,0
FZ272_E_paniculata_Plate2,0,1,0
JW11465_E_paniculata_Plate2,0,1,0
FZ208_E_piurensis_Plate1,1,0,0
FZ210_E_piurensis_Plate2,1,0,0
FZ211_E_piurensis_Plate2,1,0,0
FZ236_E_piurensis_Plate2,1,0,0
FZ237_E_piurensis_Plate2,1,0,0
FZ238_E_piurensis_Plate2,1,0,0
FZ240_E_piurensis_Plate2,1,0,0
FZ283_E_schreiteri_Plate2,0,0,1
FZ284_E_schreiteri_Plate2,0,0,1
FZ286_E_schreiteri_Plate2,0,0,1
FZ312_E_schreiteri_Plate2,0,0,1
FZ313_E_schreiteri_Plate1,0,0,1
FZ314_E_schreiteri_Plate2,0,0,1
FZU10132A_E_schreiteri_Plate3,0,0,1
FZU10272_E_schreiteri_Plate2,0,0,1
FZU10403_E_schreiteri_Plate2,0,0,1
NL58_E_schreiteri_Plate3,0,0,1
