species,morpho_trait,min,max
discolor,CALYTUBLEN,0.5,1.5
paniculata,CALYTUBLEN,0.5,1.5
piurensis,CALYTUBLEN,0.1,1
resinosa,CALYTUBLEN,0.5,1.5
reticulata,CALYTUBLEN,0.1,1
schreiteri,CALYTUBLEN,0.5,1.5
discolor,FILLEN,4,5
paniculata,FILLEN,3,4
piurensis,FILLEN,6.5,7.5
resinosa,FILLEN,4,5
reticulata,FILLEN,2,3
schreiteri,FILLEN,4.5,5.5
discolor,LAMLEN,40,80
paniculata,LAMLEN,30,120
piurensis,LAMLEN,10,20
resinosa,LAMLEN,20,50
reticulata,LAMLEN,40,70
schreiteri,LAMLEN,40,90
discolor,LAMWID,12,25
paniculata,LAMWID,12,35
piurensis,LAMWID,6,10
resinosa,LAMWID,6,15
reticulata,LAMWID,15,25
schreiteri,LAMWID,10,18
discolor,OVALEN,1.5,2.5
paniculata,OVALEN,1.5,2
piurensis,OVALEN,2,3
resinosa,OVALEN,1.5,2.5
reticulata,OVALEN,1.5,2
schreiteri,OVALEN,1.5,2.5
discolor,PEDLEN,2,4
paniculata,PEDLEN,2,4
piurensis,PEDLEN,5,10
resinosa,PEDLEN,1,4
reticulata,PEDLEN,3,6
schreiteri,PEDLEN,4,6
discolor,PETLEN,5,6
paniculata,PETLEN,2.5,5
piurensis,PETLEN,7,8
resinosa,PETLEN,5,8
reticulata,PETLEN,2.5,3.5
schreiteri,PETLEN,5.5,7
discolor,STYLEN,2.5,3.5
paniculata,STYLEN,2,4
piurensis,STYLEN,4.5,5.5
resinosa,STYLEN,2,3
reticulata,STYLEN,1.5,2.5
schreiteri,STYLEN,3,4
