"","V1","V8","variable","value","uniqueID","col"
"1","EK17990","E. discolor","inHull_All_1","FALSE",1,"no assignment"
"2","EK18727","E. discolor","inHull_All_1","FALSE",2,"no assignment"
"3","FZ83","E. discolor","inHull_All_1","FALSE",3,"no assignment"
"4","FZ84","E. discolor","inHull_All_1","FALSE",4,"no assignment"
"5","JC13460","E. discolor","inHull_All_1","FALSE",5,"no assignment"
"6","AC13359","E. paniculata","inHull_All_1","FALSE",6,"no assignment"
"7","AG48084","E. paniculata","inHull_All_1","FALSE",7,"no assignment"
"8","AN394","E. paniculata","inHull_All_1","FALSE",8,"no assignment"
"9","AS14179","E. paniculata","inHull_All_1","FALSE",9,"no assignment"
"10","BH18666","E. paniculata","inHull_All_1","FALSE",10,"no assignment"
"11","BH6180","E. paniculata","inHull_All_1","FALSE",11,"no assignment"
"12","BR7415","E. paniculata","inHull_All_1","FALSE",12,"no assignment"
"13","CD9839","E. paniculata","inHull_All_1","FALSE",13,"no assignment"
"14","CR1019","E. paniculata","inHull_All_1","FALSE",14,"no assignment"
"15","DB56","E. paniculata","inHull_All_1","FALSE",15,"no assignment"
"16","DN14917","E. paniculata","inHull_All_1","FALSE",16,"no assignment"
"17","EK17141","E. paniculata","inHull_All_1","FALSE",17,"no assignment"
"18","EK20578","E. paniculata","inHull_All_1","FALSE",18,"no assignment"
"19","EP5779","E. paniculata","inHull_All_1","FALSE",19,"no assignment"
"20","FZ200","E. paniculata","inHull_All_1","FALSE",20,"no assignment"
"21","FZ203","E. paniculata","inHull_All_1","FALSE",21,"no assignment"
"22","FZ204","E. paniculata","inHull_All_1","FALSE",22,"no assignment"
"23","FZ245","E. paniculata","inHull_All_1","FALSE",23,"no assignment"
"24","FZ246","E. paniculata","inHull_All_1","FALSE",24,"no assignment"
"25","FZ247","E. paniculata","inHull_All_1","FALSE",25,"no assignment"
"26","FZ248","E. paniculata","inHull_All_1","FALSE",26,"no assignment"
"27","FZ254","E. paniculata","inHull_All_1","FALSE",27,"no assignment"
"28","FZ267","E. paniculata","inHull_All_1","FALSE",28,"no assignment"
"29","FZ269","E. paniculata","inHull_All_1","FALSE",29,"no assignment"
"30","FZ270","E. paniculata","inHull_All_1","FALSE",30,"no assignment"
"31","FZ271","E. paniculata","inHull_All_1","FALSE",31,"no assignment"
"32","FZ272","E. paniculata","inHull_All_1","FALSE",32,"no assignment"
"33","GC1765","E. paniculata","inHull_All_1","FALSE",33,"no assignment"
"34","GD19829","E. paniculata","inHull_All_1","FALSE",34,"no assignment"
"35","GL2651","E. paniculata","inHull_All_1","FALSE",35,"no assignment"
"36","HG12283","E. paniculata","inHull_All_1","FALSE",36,"no assignment"
"37","HS1748","E. paniculata","inHull_All_1","FALSE",37,"no assignment"
"38","Hv_8023","E. paniculata","inHull_All_1","FALSE",38,"no assignment"
"39","HV4434","E. paniculata","inHull_All_1","FALSE",39,"no assignment"
"40","Hv8197","E. paniculata","inHull_All_1","FALSE",40,"no assignment"
"41","IS4929","E. paniculata","inHull_All_1","FALSE",41,"no assignment"
"42","JC28192","E. paniculata","inHull_All_1","FALSE",42,"no assignment"
"43","JH1146","E. paniculata","inHull_All_1","FALSE",43,"no assignment"
"44","JP2912","E. paniculata","inHull_All_1","FALSE",44,"no assignment"
"45","JS10701","E. paniculata","inHull_All_1","FALSE",45,"no assignment"
"46","JS127754","E. paniculata","inHull_All_1","FALSE",46,"no assignment"
"47","JS18731","E. paniculata","inHull_All_1","FALSE",47,"no assignment"
"48","JT2968","E. paniculata","inHull_All_1","FALSE",48,"no assignment"
"49","JW11465","E. paniculata","inHull_All_1","FALSE",49,"no assignment"
"50","JW594","E. paniculata","inHull_All_1","FALSE",50,"no assignment"
"51","KV5689","E. paniculata","inHull_All_1","FALSE",51,"no assignment"
"52","KY4092","E. paniculata","inHull_All_1","FALSE",52,"no assignment"
"53","LH18441","E. paniculata","inHull_All_1","FALSE",53,"no assignment"
"54","LU4163","E. paniculata","inHull_All_1","FALSE",54,"no assignment"
"55","MC1182","E. paniculata","inHull_All_1","FALSE",55,"no assignment"
"56","MD2620","E. paniculata","inHull_All_1","FALSE",56,"no assignment"
"57","MW2000/891","E. paniculata","inHull_All_1","FALSE",57,"no assignment"
"58","PA6612","E. paniculata","inHull_All_1","FALSE",58,"no assignment"
"59","PHV6683","E. paniculata","inHull_All_1","FALSE",59,"no assignment"
"60","PJ169","E. paniculata","inHull_All_1","FALSE",60,"no assignment"
"61","RK541","E. paniculata","inHull_All_1","FALSE",61,"no assignment"
"62","RR3379","E. paniculata","inHull_All_1","FALSE",62,"no assignment"
"63","RV25391","E. paniculata","inHull_All_1","FALSE",63,"no assignment"
"64","SY359","E. paniculata","inHull_All_1","FALSE",64,"no assignment"
"65","TC21834","E. paniculata","inHull_All_1","FALSE",65,"no assignment"
"66","VZ2355","E. paniculata","inHull_All_1","FALSE",66,"no assignment"
"67","AS10370","E. piurensis","inHull_All_1","FALSE",67,"no assignment"
"68","AS3821","E. piurensis","inHull_All_1","FALSE",68,"no assignment"
"69","FZ211","E. piurensis","inHull_All_1","FALSE",69,"no assignment"
"70","FZ236","E. piurensis","inHull_All_1","FALSE",70,"no assignment"
"71","FZ239","E. piurensis","inHull_All_1","FALSE",71,"no assignment"
"72","FZ240","E. piurensis","inHull_All_1","FALSE",72,"no assignment"
"73","SL123","E. piurensis","inHull_All_1","FALSE",73,"no assignment"
"74","AG23305","E. resinosa","inHull_All_1","FALSE",74,"no assignment"
"75","CD5089","E. resinosa","inHull_All_1","FALSE",75,"no assignment"
"76","CO527","E. resinosa","inHull_All_1","FALSE",76,"no assignment"
"77","CP1050","E. resinosa","inHull_All_1","FALSE",77,"no assignment"
"78","DS10236","E. resinosa","inHull_All_1","FALSE",78,"no assignment"
"79","DS10599","E. resinosa","inHull_All_1","FALSE",79,"no assignment"
"80","DS10955","E. resinosa","inHull_All_1","FALSE",80,"no assignment"
"81","DS3356","E. resinosa","inHull_All_1","FALSE",81,"no assignment"
"82","EB572","E. resinosa","inHull_All_1","FALSE",82,"no assignment"
"83","EBB6926","E. resinosa","inHull_All_1","FALSE",83,"no assignment"
"84","FP14405","E. resinosa","inHull_All_1","FALSE",84,"no assignment"
"85","FW5273","E. resinosa","inHull_All_1","FALSE",85,"no assignment"
"86","FZ163","E. resinosa","inHull_All_1","FALSE",86,"no assignment"
"87","FZ165","E. resinosa","inHull_All_1","FALSE",87,"no assignment"
"88","FZ167","E. resinosa","inHull_All_1","FALSE",88,"no assignment"
"89","FZ174","E. resinosa","inHull_All_1","FALSE",89,"no assignment"
"90","FZ180","E. resinosa","inHull_All_1","FALSE",90,"no assignment"
"91","FZ182","E. resinosa","inHull_All_1","FALSE",91,"no assignment"
"92","FZ183","E. resinosa","inHull_All_1","FALSE",92,"no assignment"
"93","FZ191","E. resinosa","inHull_All_1","FALSE",93,"no assignment"
"94","FZ205","E. resinosa","inHull_All_1","FALSE",94,"no assignment"
"95","FZ287","E. resinosa","inHull_All_1","FALSE",95,"no assignment"
"96","FZ310","E. resinosa","inHull_All_1","FALSE",96,"no assignment"
"97","HS10647","E. resinosa","inHull_All_1","FALSE",97,"no assignment"
"98","JS15148","E. resinosa","inHull_All_1","FALSE",98,"no assignment"
"99","JS15923","E. resinosa","inHull_All_1","FALSE",99,"no assignment"
"100","JW7805","E. resinosa","inHull_All_1","FALSE",100,"no assignment"
"101","MC4122","E. resinosa","inHull_All_1","FALSE",101,"no assignment"
"102","ML35050","E. resinosa","inHull_All_1","FALSE",102,"no assignment"
"103","ML37126","E. resinosa","inHull_All_1","FALSE",103,"no assignment"
"104","MM2032","E. resinosa","inHull_All_1","FALSE",104,"no assignment"
"105","NA763","E. resinosa","inHull_All_1","FALSE",105,"no assignment"
"106","NR751","E. resinosa","inHull_All_1","FALSE",106,"no assignment"
"107","AJ3357","E. reticulata","inHull_All_1","FALSE",107,"no assignment"
"108","AL360","E. reticulata","inHull_All_1","FALSE",108,"no assignment"
"109","FZ299","E. reticulata","inHull_All_1","FALSE",109,"no assignment"
"110","GH2022","E. reticulata","inHull_All_1","FALSE",110,"no assignment"
"111","IV1724","E. reticulata","inHull_All_1","FALSE",111,"no assignment"
"112","IV745","E. reticulata","inHull_All_1","FALSE",112,"no assignment"
"113","JS8203","E. reticulata","inHull_All_1","FALSE",113,"no assignment"
"114","MS4032","E. reticulata","inHull_All_1","FALSE",114,"no assignment"
"115","MS4946","E. reticulata","inHull_All_1","FALSE",115,"no assignment"
"116","RB19296","E. reticulata","inHull_All_1","FALSE",116,"no assignment"
"117","SB9811","E. reticulata","inHull_All_1","FALSE",117,"no assignment"
"118","FV7657","E. schreiteri","inHull_All_1","FALSE",118,"no assignment"
"119","FZ292","E. schreiteri","inHull_All_1","FALSE",119,"no assignment"
"120","FZ312","E. schreiteri","inHull_All_1","FALSE",120,"no assignment"
"121","FZ313","E. schreiteri","inHull_All_1","FALSE",121,"no assignment"
"122","FZ314","E. schreiteri","inHull_All_1","FALSE",122,"no assignment"
"123","JS10947","E. schreiteri","inHull_All_1","FALSE",123,"no assignment"
"124","JS8624","E. schreiteri","inHull_All_1","FALSE",124,"no assignment"
"125","LN3807","E. schreiteri","inHull_All_1","FALSE",125,"no assignment"
"126","MC5281","E. schreiteri","inHull_All_1","FALSE",126,"no assignment"
"127","NL58","E. schreiteri","inHull_All_1","FALSE",127,"no assignment"
"128","SB9352","E. schreiteri","inHull_All_1","FALSE",128,"no assignment"
"129","WB6793","E. schreiteri","inHull_All_1","FALSE",129,"no assignment"
"130","WR1529","E. schreiteri","inHull_All_1","FALSE",130,"no assignment"
"131","EK17990","E. discolor","inHull_All_2","FALSE",1,"no assignment"
"132","EK18727","E. discolor","inHull_All_2","FALSE",2,"no assignment"
"133","FZ83","E. discolor","inHull_All_2","FALSE",3,"no assignment"
"134","FZ84","E. discolor","inHull_All_2","FALSE",4,"no assignment"
"135","JC13460","E. discolor","inHull_All_2","FALSE",5,"no assignment"
"136","AC13359","E. paniculata","inHull_All_2","FALSE",6,"no assignment"
"137","AG48084","E. paniculata","inHull_All_2","FALSE",7,"no assignment"
"138","AN394","E. paniculata","inHull_All_2","FALSE",8,"no assignment"
"139","AS14179","E. paniculata","inHull_All_2","FALSE",9,"no assignment"
"140","BH18666","E. paniculata","inHull_All_2","FALSE",10,"no assignment"
"141","BH6180","E. paniculata","inHull_All_2","FALSE",11,"no assignment"
"142","BR7415","E. paniculata","inHull_All_2","FALSE",12,"no assignment"
"143","CD9839","E. paniculata","inHull_All_2","FALSE",13,"no assignment"
"144","CR1019","E. paniculata","inHull_All_2","FALSE",14,"no assignment"
"145","DB56","E. paniculata","inHull_All_2","FALSE",15,"no assignment"
"146","DN14917","E. paniculata","inHull_All_2","FALSE",16,"no assignment"
"147","EK17141","E. paniculata","inHull_All_2","FALSE",17,"no assignment"
"148","EK20578","E. paniculata","inHull_All_2","FALSE",18,"no assignment"
"149","EP5779","E. paniculata","inHull_All_2","FALSE",19,"no assignment"
"150","FZ200","E. paniculata","inHull_All_2","FALSE",20,"no assignment"
"151","FZ203","E. paniculata","inHull_All_2","FALSE",21,"no assignment"
"152","FZ204","E. paniculata","inHull_All_2","FALSE",22,"no assignment"
"153","FZ245","E. paniculata","inHull_All_2","TRUE",23,"assignment"
"154","FZ246","E. paniculata","inHull_All_2","FALSE",24,"no assignment"
"155","FZ247","E. paniculata","inHull_All_2","FALSE",25,"no assignment"
"156","FZ248","E. paniculata","inHull_All_2","FALSE",26,"no assignment"
"157","FZ254","E. paniculata","inHull_All_2","FALSE",27,"no assignment"
"158","FZ267","E. paniculata","inHull_All_2","FALSE",28,"no assignment"
"159","FZ269","E. paniculata","inHull_All_2","FALSE",29,"no assignment"
"160","FZ270","E. paniculata","inHull_All_2","FALSE",30,"no assignment"
"161","FZ271","E. paniculata","inHull_All_2","FALSE",31,"no assignment"
"162","FZ272","E. paniculata","inHull_All_2","FALSE",32,"no assignment"
"163","GC1765","E. paniculata","inHull_All_2","FALSE",33,"no assignment"
"164","GD19829","E. paniculata","inHull_All_2","FALSE",34,"no assignment"
"165","GL2651","E. paniculata","inHull_All_2","FALSE",35,"no assignment"
"166","HG12283","E. paniculata","inHull_All_2","FALSE",36,"no assignment"
"167","HS1748","E. paniculata","inHull_All_2","FALSE",37,"no assignment"
"168","Hv_8023","E. paniculata","inHull_All_2","FALSE",38,"no assignment"
"169","HV4434","E. paniculata","inHull_All_2","FALSE",39,"no assignment"
"170","Hv8197","E. paniculata","inHull_All_2","FALSE",40,"no assignment"
"171","IS4929","E. paniculata","inHull_All_2","FALSE",41,"no assignment"
"172","JC28192","E. paniculata","inHull_All_2","FALSE",42,"no assignment"
"173","JH1146","E. paniculata","inHull_All_2","FALSE",43,"no assignment"
"174","JP2912","E. paniculata","inHull_All_2","FALSE",44,"no assignment"
"175","JS10701","E. paniculata","inHull_All_2","FALSE",45,"no assignment"
"176","JS127754","E. paniculata","inHull_All_2","FALSE",46,"no assignment"
"177","JS18731","E. paniculata","inHull_All_2","FALSE",47,"no assignment"
"178","JT2968","E. paniculata","inHull_All_2","FALSE",48,"no assignment"
"179","JW11465","E. paniculata","inHull_All_2","FALSE",49,"no assignment"
"180","JW594","E. paniculata","inHull_All_2","FALSE",50,"no assignment"
"181","KV5689","E. paniculata","inHull_All_2","FALSE",51,"no assignment"
"182","KY4092","E. paniculata","inHull_All_2","FALSE",52,"no assignment"
"183","LH18441","E. paniculata","inHull_All_2","FALSE",53,"no assignment"
"184","LU4163","E. paniculata","inHull_All_2","FALSE",54,"no assignment"
"185","MC1182","E. paniculata","inHull_All_2","FALSE",55,"no assignment"
"186","MD2620","E. paniculata","inHull_All_2","FALSE",56,"no assignment"
"187","MW2000/891","E. paniculata","inHull_All_2","FALSE",57,"no assignment"
"188","PA6612","E. paniculata","inHull_All_2","FALSE",58,"no assignment"
"189","PHV6683","E. paniculata","inHull_All_2","FALSE",59,"no assignment"
"190","PJ169","E. paniculata","inHull_All_2","FALSE",60,"no assignment"
"191","RK541","E. paniculata","inHull_All_2","FALSE",61,"no assignment"
"192","RR3379","E. paniculata","inHull_All_2","FALSE",62,"no assignment"
"193","RV25391","E. paniculata","inHull_All_2","FALSE",63,"no assignment"
"194","SY359","E. paniculata","inHull_All_2","FALSE",64,"no assignment"
"195","TC21834","E. paniculata","inHull_All_2","FALSE",65,"no assignment"
"196","VZ2355","E. paniculata","inHull_All_2","FALSE",66,"no assignment"
"197","AS10370","E. piurensis","inHull_All_2","FALSE",67,"no assignment"
"198","AS3821","E. piurensis","inHull_All_2","FALSE",68,"no assignment"
"199","FZ211","E. piurensis","inHull_All_2","TRUE",69,"assignment"
"200","FZ236","E. piurensis","inHull_All_2","FALSE",70,"no assignment"
"201","FZ239","E. piurensis","inHull_All_2","FALSE",71,"no assignment"
"202","FZ240","E. piurensis","inHull_All_2","FALSE",72,"no assignment"
"203","SL123","E. piurensis","inHull_All_2","FALSE",73,"no assignment"
"204","AG23305","E. resinosa","inHull_All_2","FALSE",74,"no assignment"
"205","CD5089","E. resinosa","inHull_All_2","FALSE",75,"no assignment"
"206","CO527","E. resinosa","inHull_All_2","FALSE",76,"no assignment"
"207","CP1050","E. resinosa","inHull_All_2","FALSE",77,"no assignment"
"208","DS10236","E. resinosa","inHull_All_2","FALSE",78,"no assignment"
"209","DS10599","E. resinosa","inHull_All_2","FALSE",79,"no assignment"
"210","DS10955","E. resinosa","inHull_All_2","FALSE",80,"no assignment"
"211","DS3356","E. resinosa","inHull_All_2","FALSE",81,"no assignment"
"212","EB572","E. resinosa","inHull_All_2","FALSE",82,"no assignment"
"213","EBB6926","E. resinosa","inHull_All_2","FALSE",83,"no assignment"
"214","FP14405","E. resinosa","inHull_All_2","FALSE",84,"no assignment"
"215","FW5273","E. resinosa","inHull_All_2","FALSE",85,"no assignment"
"216","FZ163","E. resinosa","inHull_All_2","FALSE",86,"no assignment"
"217","FZ165","E. resinosa","inHull_All_2","FALSE",87,"no assignment"
"218","FZ167","E. resinosa","inHull_All_2","FALSE",88,"no assignment"
"219","FZ174","E. resinosa","inHull_All_2","FALSE",89,"no assignment"
"220","FZ180","E. resinosa","inHull_All_2","FALSE",90,"no assignment"
"221","FZ182","E. resinosa","inHull_All_2","FALSE",91,"no assignment"
