"","X1","X2","value"
"1","discolor","discolor",1
"2","paniculata","discolor",0
"3","piurensis","discolor",0
"4","resinosa","discolor",0.0123456790123442
"5","reticulata","discolor",0
"6","schreiteri","discolor",0
"7","discolor","paniculata",0
"8","paniculata","paniculata",1
"9","piurensis","paniculata",0
"10","resinosa","paniculata",0
"11","reticulata","paniculata",0
"12","schreiteri","paniculata",0
"13","discolor","piurensis",0
"14","paniculata","piurensis",0
"15","piurensis","piurensis",1
"16","resinosa","piurensis",0
"17","reticulata","piurensis",0
"18","schreiteri","piurensis",0
"19","discolor","resinosa",0.0288461538461659
"20","paniculata","resinosa",0
"21","piurensis","resinosa",0
"22","resinosa","resinosa",1
"23","reticulata","resinosa",0
"24","schreiteri","resinosa",0
"25","discolor","reticulata",0
"26","paniculata","reticulata",0
"27","piurensis","reticulata",0
"28","resinosa","reticulata",0
"29","reticulata","reticulata",1
"30","schreiteri","reticulata",0
"31","discolor","schreiteri",0
"32","paniculata","schreiteri",0
"33","piurensis","schreiteri",0
"34","resinosa","schreiteri",0
"35","reticulata","schreiteri",0
"36","schreiteri","schreiteri",1
