clusterNum,error,iteration
3,0.70443,run2
3,0.72328,run10
3,0.73533,run3
3,0.75819,run9
3,0.78588,run4
2,0.78918,run6
2,0.79571,run5
3,0.80151,run1
2,0.80431,run10
3,0.80687,run8
2,0.81053,run9
3,0.81776,run5
2,0.81995,run8
2,0.82041,run3
2,0.83202,run1
2,0.83304,run4
2,0.83399,run2
3,0.8357,run6
2,0.83746,run7
3,0.85129,run7
1,1.15571,run8
1,1.17432,run9
1,1.1786,run6
1,1.18567,run2
1,1.18857,run3
1,1.19041,run4
1,1.20257,run10
1,1.2044,run5
1,1.21819,run7
1,1.22547,run1
