clusterNum,error,iteration
3,0.73413,run10
3,0.76114,run2
2,0.77357,run3
3,0.77436,run5
2,0.78213,run1
2,0.79105,run9
2,0.79767,run2
3,0.79931,run8
3,0.80164,run6
2,0.80831,run5
2,0.80903,run7
3,0.81353,run3
2,0.81471,run4
2,0.82466,run10
3,0.82791,run1
2,0.82898,run6
3,0.82901,run7
2,0.83635,run8
3,0.84584,run9
3,0.8809,run4
1,1.15983,run10
1,1.16463,run1
1,1.169,run3
1,1.1731,run7
1,1.17892,run5
1,1.17913,run2
1,1.18346,run6
1,1.18368,run8
1,1.18856,run4
1,1.20482,run9
