MolecularSampleName,taxon,country,Elevation,Latitude,Longitude
AN414_E_pendula_Plate3,pendula,Colombia,2400,5.833333333,-72.96666667
FZ186_E_herrerae_Plate1,herrerae,Peru,2768,-13.46777778,-72.49519444
FZ187_E_herrerae_Plate3,herrerae,Peru,2794,-13.46630556,-72.49686111
FZ188_E_herrerae_Plate3,herrerae,Peru,2805,-13.46625,-72.49680556
FZ189_E_herrerae_Plate3,herrerae,Peru,2810,-13.46583333,-72.49677778
FZ190_E_herrerae_Plate1,herrerae,Peru,2820,-13.46616667,-72.49694444
FZ206_E_pendula_Plate1,pendula,Peru,3100,-6.872138889,-78.11163889
FZ207_E_pendula_Plate3,pendula,Peru,3019,-6.860111111,-78.11513889
FZ227_E_pendula_Plate3,pendula,Peru,2306,-6.823444444,-77.95033333
FZ228_E_pendula_Plate3,pendula,Peru,2540,-7.266611111,-78.51205556
FZ230_E_pendula_Plate3,pendula,Peru,2540,-7.266611111,-78.51205556
FZ231_E_pendula_Plate3,pendula,Peru,2540,-7.266611111,-78.51205556
FZ235_E_pendula_Plate3,pendula,Peru,2007,-7.320944444,-78.80055556
FZ244_E_pendula_Plate3,pendula,Peru,2118,-7.072111111,-79.04830556
FZ90_E_pendula_Plate3,pendula,Colombia,2660,4.591666667,-74
