clusterNum,error,iteration
3,0.74431,run3
3,0.74817,run10
2,0.78926,run9
2,0.79298,run6
3,0.79498,run5
2,0.80022,run8
3,0.80223,run4
2,0.8051,run3
3,0.80533,run9
3,0.81189,run7
2,0.813,run7
2,0.81367,run4
2,0.81858,run1
2,0.81965,run2
2,0.82939,run5
2,0.82994,run10
3,0.85466,run6
3,0.8548,run8
3,0.86177,run1
3,0.88196,run2
1,1.14524,run10
1,1.16778,run6
1,1.17093,run4
1,1.17442,run9
1,1.17483,run5
1,1.18561,run7
1,1.18974,run3
1,1.19011,run1
1,1.20003,run8
1,1.20741,run2
