MolecularSampleName,deme3,deme2,deme1
AN414_E_pendula_Plate3,0.033396371,0.035083698,0.931519931
FZ206_E_pendula_Plate1,0.72415745,0.136578794,0.139263756
FZ207_E_pendula_Plate3,0.953214684,0.023170399,0.023614917
FZ227_E_pendula_Plate3,0.971672227,0.013928994,0.014398779
FZ228_E_pendula_Plate3,0.965839788,0.017001949,0.017158263
FZ230_E_pendula_Plate3,0.918055231,0.040411683,0.041533086
FZ231_E_pendula_Plate3,0.983898516,0.008040029,0.008061455
FZ235_E_pendula_Plate3,0.978757982,0.010373133,0.010868885
FZ244_E_pendula_Plate3,0.980910749,0.009525125,0.009564125
FZ90_E_pendula_Plate3,0.035377837,0.032855316,0.931766846
FZ186_E_herrerae_Plate1,0.009504826,0.980625783,0.009869391
FZ187_E_herrerae_Plate3,0.062856934,0.87439678,0.062746285
FZ188_E_herrerae_Plate3,0.007039614,0.985971882,0.006988504
FZ189_E_herrerae_Plate3,0.03853461,0.923468325,0.037997064
FZ190_E_herrerae_Plate1,0.012569741,0.97466916,0.012761099
