"","V1","V4","variable","value","uniqueID","col"
"1","AS8172","E. herrerae","inHull_All_1","FALSE",1,"no assignment"
"2","FZ186","E. herrerae","inHull_All_1","FALSE",2,"no assignment"
"3","FZ190","E. herrerae","inHull_All_1","FALSE",3,"no assignment"
"4","MW5820","E. herrerae","inHull_All_1","FALSE",4,"no assignment"
"5","WG5539","E. herrerae","inHull_All_1","FALSE",5,"no assignment"
"6","AG75032","E. pendula","inHull_All_1","FALSE",6,"no assignment"
"7","AH21395","E. pendula","inHull_All_1","FALSE",7,"no assignment"
"8","AN414","E. pendula","inHull_All_1","FALSE",8,"no assignment"
"9","CD9872","E. pendula","inHull_All_1","FALSE",9,"no assignment"
"10","DS10848","E. pendula","inHull_All_1","FALSE",10,"no assignment"
"11","FW34334","E. pendula","inHull_All_1","FALSE",11,"no assignment"
"12","FZ206","E. pendula","inHull_All_1","FALSE",12,"no assignment"
"13","FZ207","E. pendula","inHull_All_1","FALSE",13,"no assignment"
"14","FZ228","E. pendula","inHull_All_1","FALSE",14,"no assignment"
"15","FZ229","E. pendula","inHull_All_1","FALSE",15,"no assignment"
"16","FZ230","E. pendula","inHull_All_1","FALSE",16,"no assignment"
"17","FZ231","E. pendula","inHull_All_1","FALSE",17,"no assignment"
"18","FZ232","E. pendula","inHull_All_1","FALSE",18,"no assignment"
"19","FZ233","E. pendula","inHull_All_1","FALSE",19,"no assignment"
"20","FZ234","E. pendula","inHull_All_1","FALSE",20,"no assignment"
"21","FZ235","E. pendula","inHull_All_1","FALSE",21,"no assignment"
"22","FZ244","E. pendula","inHull_All_1","FALSE",22,"no assignment"
"23","IH6604","E. pendula","inHull_All_1","FALSE",23,"no assignment"
"24","JA1012","E. pendula","inHull_All_1","FALSE",24,"no assignment"
"25","JB2640","E. pendula","inHull_All_1","FALSE",25,"no assignment"
"26","JC9871","E. pendula","inHull_All_1","FALSE",26,"no assignment"
"27","JH714","E. pendula","inHull_All_1","FALSE",27,"no assignment"
"28","JL5220","E. pendula","inHull_All_1","FALSE",28,"no assignment"
"29","JS104901","E. pendula","inHull_All_1","FALSE",29,"no assignment"
"30","LA4940","E. pendula","inHull_All_1","FALSE",30,"no assignment"
"31","MW7204","E. pendula","inHull_All_1","FALSE",31,"no assignment"
"32","RL13025","E. pendula","inHull_All_1","FALSE",32,"no assignment"
"33","WC4029","E. pendula","inHull_All_1","FALSE",33,"no assignment"
"34","AS8172","E. herrerae","inHull_All_2","FALSE",1,"no assignment"
"35","FZ186","E. herrerae","inHull_All_2","FALSE",2,"no assignment"
"36","FZ190","E. herrerae","inHull_All_2","FALSE",3,"no assignment"
"37","MW5820","E. herrerae","inHull_All_2","FALSE",4,"no assignment"
"38","WG5539","E. herrerae","inHull_All_2","FALSE",5,"no assignment"
"39","AG75032","E. pendula","inHull_All_2","FALSE",6,"no assignment"
"40","AH21395","E. pendula","inHull_All_2","FALSE",7,"no assignment"
"41","AN414","E. pendula","inHull_All_2","FALSE",8,"no assignment"
"42","CD9872","E. pendula","inHull_All_2","FALSE",9,"no assignment"
"43","DS10848","E. pendula","inHull_All_2","FALSE",10,"no assignment"
"44","FW34334","E. pendula","inHull_All_2","FALSE",11,"no assignment"
"45","FZ206","E. pendula","inHull_All_2","FALSE",12,"no assignment"
"46","FZ207","E. pendula","inHull_All_2","FALSE",13,"no assignment"
"47","FZ228","E. pendula","inHull_All_2","FALSE",14,"no assignment"
"48","FZ229","E. pendula","inHull_All_2","FALSE",15,"no assignment"
"49","FZ230","E. pendula","inHull_All_2","FALSE",16,"no assignment"
"50","FZ231","E. pendula","inHull_All_2","FALSE",17,"no assignment"
"51","FZ232","E. pendula","inHull_All_2","FALSE",18,"no assignment"
"52","FZ233","E. pendula","inHull_All_2","FALSE",19,"no assignment"
"53","FZ234","E. pendula","inHull_All_2","FALSE",20,"no assignment"
"54","FZ235","E. pendula","inHull_All_2","FALSE",21,"no assignment"
"55","FZ244","E. pendula","inHull_All_2","FALSE",22,"no assignment"
"56","IH6604","E. pendula","inHull_All_2","FALSE",23,"no assignment"
"57","JA1012","E. pendula","inHull_All_2","FALSE",24,"no assignment"
"58","JB2640","E. pendula","inHull_All_2","FALSE",25,"no assignment"
"59","JC9871","E. pendula","inHull_All_2","FALSE",26,"no assignment"
"60","JH714","E. pendula","inHull_All_2","FALSE",27,"no assignment"
"61","JL5220","E. pendula","inHull_All_2","FALSE",28,"no assignment"
"62","JS104901","E. pendula","inHull_All_2","FALSE",29,"no assignment"
"63","LA4940","E. pendula","inHull_All_2","FALSE",30,"no assignment"
"64","MW7204","E. pendula","inHull_All_2","FALSE",31,"no assignment"
"65","RL13025","E. pendula","inHull_All_2","FALSE",32,"no assignment"
"66","WC4029","E. pendula","inHull_All_2","FALSE",33,"no assignment"
