clusterNum,error,iteration
3,0.38173,run5
3,0.38689,run9
3,0.38797,run8
3,0.38954,run6
3,0.39001,run10
3,0.39041,run2
3,0.39082,run4
3,0.39223,run1
3,0.40651,run3
3,0.40851,run7
2,0.42478,run7
2,0.42532,run8
2,0.4258,run4
2,0.42709,run2
2,0.43084,run6
2,0.43153,run10
2,0.43315,run5
2,0.43352,run1
2,0.43358,run9
2,0.4337,run3
1,0.57106,run5
1,0.57372,run1
1,0.57472,run6
1,0.57536,run3
1,0.57844,run9
1,0.57971,run8
1,0.57974,run7
1,0.58082,run10
1,0.58134,run2
1,0.5843,run4
