clusterNum,error,iteration
3,0.38331,run10
3,0.38645,run1
3,0.38718,run5
3,0.38825,run8
3,0.3886,run4
3,0.40046,run6
3,0.40384,run3
3,0.40514,run7
3,0.40968,run2
3,0.41512,run9
2,0.42566,run5
2,0.42717,run6
2,0.4273,run7
2,0.42919,run9
2,0.42991,run4
2,0.43004,run3
2,0.43207,run2
2,0.43269,run8
2,0.43514,run1
2,0.43685,run10
1,0.57113,run10
1,0.57511,run3
1,0.57561,run1
1,0.57568,run8
1,0.57674,run7
1,0.57757,run2
1,0.57769,run9
1,0.58304,run5
1,0.58486,run6
1,0.58859,run4
