SampleName,taxon,Country,Elevation,Latitude,Longitude,RMaverick,mPTP,NMMs,STRUCTURE,morphoSampled,F_MISS,chosenForBFD
BH23603_E_myrtilloides_Plate5,myrtilloides,Costa Rica,2800,9.6040844,-83.8297303,deme3,group1,3,group1,,0.0967935,0
CU1445_E_myrtilloides_Plate3,myrtilloides,Ecuador,3319,-3.105,-79.21722222,deme3,group1,3,group1,x,0.0955948,0
FZ130_E_myrtilloides_Plate5,myrtilloides,Colombia,3511,5.903361111,-73.07527778,deme3,group1,3,group1,,0.0578364,0
FZ131_E_myrtilloides_Plate1,myrtilloides,Colombia,3509,5.906083333,-73.07577778,deme3,group1,3,group1,,0.0872041,0
FZ132_E_myrtilloides_Plate5,myrtilloides,Colombia,3678,5.896444444,-73.05972222,deme3,group1,3,group1,,0.0524423,0
FZ134_E_myrtilloides_Plate5,myrtilloides,Colombia,3698,5.930583333,-73.08291667,deme3,group1,3,group1,,0.0497453,0
FZ154_E_myrtilloides_Plate5,myrtilloides,Colombia,3718,5.931861111,-73.0805,deme3,group1,3,group1,,0.0566377,0
FZ168_E_myrtilloides_Plate5,myrtilloides,Peru,3806,-14.06380556,-71.33736111,deme2,group4,1,group2,,0.030866,0
FZ169_E_myrtilloides_Plate5,myrtilloides,Peru,3902,-14.05761111,-71.33361111,deme2,group4,1,group2,,0.0344621,1
FZ170_E_myrtilloides_Plate5,myrtilloides,Peru,3900,-14.05802778,-71.33361111,deme2,group4,1,group2,,0.0359604,0
FZ171_E_myrtilloides_Plate5,myrtilloides,Peru,3796,-14.06516667,-71.33855556,deme2,group4,1,group2,,0.056338,0
FZ172_E_myrtilloides_Plate5,myrtilloides,Peru,3796,-14.06516667,-71.33855556,deme2,group4,1,group2,,0.0383578,0
FZ176_E_myrtilloides_Plate5,myrtilloides,Peru,3732,-13.15794444,-72.27794444,deme2,group4,1,group2,,0.0788133,0
FZ177_E_myrtilloides_Plate5,myrtilloides,Peru,3727,-13.1575,-72.27777778,deme2,group4,1,group2,x,0.0455499,1
FZ178_E_myrtilloides_Plate5,myrtilloides,Peru,3697,-13.15638889,-72.27947222,deme2,group4,1,group2,,0.050045,0
