MolecularSampleName,taxon,country,Elevation,Latitude,Longitude
BH23603_E_myrtilloides_Plate5,myrtilloides,Costa Rica,2800,9.6040844,-83.8297303
CU1445_E_myrtilloides_Plate3,myrtilloides,Ecuador,3319,-3.105,-79.21722222
FZ130_E_myrtilloides_Plate5,myrtilloides,Colombia,3511,5.903361111,-73.07527778
FZ131_E_myrtilloides_Plate1,myrtilloides,Colombia,3509,5.906083333,-73.07577778
FZ132_E_myrtilloides_Plate5,myrtilloides,Colombia,3678,5.896444444,-73.05972222
FZ134_E_myrtilloides_Plate5,myrtilloides,Colombia,3698,5.930583333,-73.08291667
FZ154_E_myrtilloides_Plate5,myrtilloides,Colombia,3718,5.931861111,-73.0805
FZ168_E_myrtilloides_Plate5,myrtilloides,Peru,3806,-14.06380556,-71.33736111
FZ169_E_myrtilloides_Plate5,myrtilloides,Peru,3902,-14.05761111,-71.33361111
FZ170_E_myrtilloides_Plate5,myrtilloides,Peru,3900,-14.05802778,-71.33361111
FZ171_E_myrtilloides_Plate5,myrtilloides,Peru,3796,-14.06516667,-71.33855556
FZ172_E_myrtilloides_Plate5,myrtilloides,Peru,3796,-14.06516667,-71.33855556
FZ176_E_myrtilloides_Plate5,myrtilloides,Peru,3732,-13.15794444,-72.27794444
FZ177_E_myrtilloides_Plate5,myrtilloides,Peru,3727,-13.1575,-72.27777778
FZ178_E_myrtilloides_Plate5,myrtilloides,Peru,3697,-13.15638889,-72.27947222
FZ179_E_myrtilloides_Plate1,myrtilloides,Peru,3694,-13.16013889,-72.28025
FZ181_E_myrtilloides_Plate5,myrtilloides,Peru,3566,-13.17722222,-72.28988889
FZ184_E_myrtilloides_Plate5,myrtilloides,Peru,3566,-13.17722222,-72.28988889
FZ192_E_myrtilloides_Plate5,myrtilloides,Peru,3445,-13.20111111,-71.64083333
FZ193_E_myrtilloides_Plate3,myrtilloides,Peru,3445,-13.20111111,-71.64083333
FZ194_E_myrtilloides_Plate5,myrtilloides,Peru,3445,-13.20111111,-71.64083333
FZ195_E_myrtilloides_Plate5,myrtilloides,Peru,3445,-13.20111111,-71.64083333
FZ197_E_myrtilloides_Plate3,myrtilloides,Peru,3490,-13.19944444,-71.62472222
FZ201_E_myrtilloides_Plate5,myrtilloides,Peru,3489,-13.20366667,-71.61452778
FZ219_E_myrtilloides_Plate1,myrtilloides,Peru,3600,-6.744444444,-77.88055556
FZ223_E_polifolia_Plate3,polifolia,Peru,3170,-6.712777778,-77.85361111
FZ224_E_polifolia_Plate1,polifolia,Peru,3170,-6.713055556,-77.85277778
FZ225_E_polifolia_Plate3,polifolia,Peru,3170,-6.713333333,-77.85361111
FZ226_E_polifolia_Plate1,polifolia,Peru,3170,-6.713055556,-77.85333333
FZ250_E_myrtilloides_Plate5,myrtilloides,Peru,2353,-5.380611111,-79.55683333
FZ252_E_myrtilloides_Plate5,myrtilloides,Peru,2351,-5.38,-79.55722222
FZ253_E_myrtilloides_Plate5,myrtilloides,Peru,2360,-5.379972222,-79.55708333
FZ263_E_myrtilloides_Plate5,myrtilloides,Bolivia,3416,-16.31483333,-67.92405556
FZ318_E_myrtilloides_Plate3,myrtilloides,Bolivia,3830,-16.19805556,-68.12222222
FZ321_E_myrtilloides_Plate1,myrtilloides,Bolivia,3835,-16.19694444,-68.12777778
FZ328_E_myrtilloides_Plate3,myrtilloides,Peru,3827,-16.38944444,-71.44416667
FZ86_E_myrtilloides_Plate3,myrtilloides,Colombia,3197,5.001111111,-74.18305556
FZ87_E_myrtilloides_Plate5,myrtilloides,Colombia,3360,4.566388889,-74.00111111
FZ89_E_myrtilloides_Plate5,myrtilloides,Colombia,2660,4.591666667,-74
JW7766_E_myrtilloides_Plate3,myrtilloides,Bolivia,3400,-18.96666667,-65.4
NR2822_E_myrtilloides_Plate3,myrtilloides,Bolivia,3650,-17.26916667,-66.32777778
RO334_E_myrtilloides_Plate3,myrtilloides,Costa Rica,2900,10.12222222,-84.10138889
