clusterNum,error,iteration
3,0.38327,run8
3,0.386,run6
3,0.38701,run3
3,0.38717,run2
3,0.38845,run9
3,0.38898,run4
3,0.38953,run7
3,0.39047,run10
3,0.39641,run5
3,0.4077,run1
2,0.42717,run6
2,0.42948,run9
2,0.42996,run1
2,0.43165,run10
2,0.43168,run5
2,0.43202,run7
2,0.43221,run2
2,0.43275,run8
2,0.4355,run4
2,0.43858,run3
1,0.57688,run6
1,0.57761,run4
1,0.57945,run3
1,0.57965,run10
1,0.58075,run9
1,0.58121,run1
1,0.58207,run8
1,0.5829,run2
1,0.58297,run7
1,0.58379,run5
