,SampleName,SpeciesID,SpecimenID,taxon,country,Elevation,Latitude,Longitude,class.dim2.n0,probass.dim2.n0.g1,probass.dim2.n0.g2,probass.dim2.n0.g3,NMDS1.dim2.n0,NMDS2.dim2.n0,class.dim3.n0,probass.dim3.n0.g1,probass.dim3.n0.g2,NMDS1.dim3.n0,NMDS2.dim3.n0,NMDS3.dim3.n0,class.dim4.n0,probass.dim4.n0.g1,probass.dim4.n0.g2,probass.dim4.n0.g3,NMDS1.dim4.n0,NMDS2.dim4.n0,NMDS3.dim4.n0,NMDS4.dim4.n0
1,BH23603_E_myrtilloides_Plate5,BH23603_E_myrtilloides,BH23603,myrtilloides,Costa Rica,2800,9.6040844,-83.8297303,3,0,0.000136014,0.999863986,0.133257834,0.003218552,1,1,0,-0.106252876,0.025172574,-0.016280342,3,0,2.16E-47,1,-0.094792182,0.004803321,0.024281689,-0.024127169
2,CU1445_E_myrtilloides_Plate3,CU1445_E_myrtilloides,CU1445,myrtilloides,Ecuador,3319,-3.105,-79.21722222,3,0,0.021027361,0.978972639,0.13305401,0.004189364,1,1,0,-0.103577147,0.030140992,-0.018502613,2,0,1,6.13E-95,-0.093830532,-0.023332163,0.028685389,0.007070685
3,FZ130_E_myrtilloides_Plate5,FZ130_E_myrtilloides,FZ130,myrtilloides,Colombia,3511,5.903361111,-73.07527778,3,0,2.85E-05,0.999971505,0.133388458,0.003660882,1,1,0,-0.106460959,0.023512415,-0.014975548,3,0,3.45E-42,1,-0.094269482,-0.00556453,0.027818343,-0.02449832
4,FZ131_E_myrtilloides_Plate1,FZ131_E_myrtilloides,FZ131,myrtilloides,Colombia,3509,5.906083333,-73.07577778,3,0,0.00367077,0.99632923,0.133080444,0.003362727,1,1,0,-0.105269462,0.023613432,-0.015721207,3,0,2.54E-37,1,-0.094243603,-0.006624019,0.026889299,-0.022352878
5,FZ132_E_myrtilloides_Plate5,FZ132_E_myrtilloides,FZ132,myrtilloides,Colombia,3678,5.896444444,-73.05972222,3,0,7.65E-05,0.999923538,0.133392883,0.004334496,1,1,0,-0.105468771,0.025729558,-0.014285133,3,0,2.07E-37,1,-0.094764683,-0.005148795,0.025900534,-0.022182423
6,FZ134_E_myrtilloides_Plate5,FZ134_E_myrtilloides,FZ134,myrtilloides,Colombia,3698,5.930583333,-73.08291667,3,0,0.265236639,0.734763361,0.132815949,0.003366127,1,1,0,-0.104960031,0.025180408,-0.013913307,3,0,1.28E-36,1,-0.094843544,-0.003122916,0.025602969,-0.021241147
7,FZ154_E_myrtilloides_Plate5,FZ154_E_myrtilloides,FZ154,myrtilloides,Colombia,3718,5.931861111,-73.0805,3,0,5.49E-05,0.999945065,0.133299019,0.003095939,1,1,0,-0.105669026,0.024268591,-0.017315282,3,0,2.20E-41,1,-0.093841818,-0.001301423,0.029394509,-0.021689909
8,FZ168_E_myrtilloides_Plate5,FZ168_E_myrtilloides,FZ168,myrtilloides,Peru,3806,-14.06380556,-71.33736111,1,1,0,0,-0.195374623,-0.005695143,2,0,1,0.149266814,-0.041449249,0.026385413,1,1,0,0,0.139634686,0.005958422,-0.026043606,-0.007907815
9,FZ169_E_myrtilloides_Plate5,FZ169_E_myrtilloides,FZ169,myrtilloides,Peru,3902,-14.05761111,-71.33361111,1,1,0,0,-0.195186225,-0.006373389,2,0,1,0.150778016,-0.039250182,0.025951055,1,1,0,0,0.140449045,0.004995397,-0.024775485,-0.006329534
10,FZ170_E_myrtilloides_Plate5,FZ170_E_myrtilloides,FZ170,myrtilloides,Peru,3900,-14.05802778,-71.33361111,1,1,0,0,-0.195214206,-0.006066166,2,0,1,0.152001879,-0.038351028,0.025767891,1,1,0,0,0.140762954,0.00486343,-0.021142359,-0.005817144
11,FZ171_E_myrtilloides_Plate5,FZ171_E_myrtilloides,FZ171,myrtilloides,Peru,3796,-14.06516667,-71.33855556,1,1,0,0,-0.195019579,-0.006046399,2,0,1,0.150788848,-0.040047647,0.023924455,1,1,0,0,0.14131971,0.007667653,-0.020029603,-0.006023468
12,FZ172_E_myrtilloides_Plate5,FZ172_E_myrtilloides,FZ172,myrtilloides,Peru,3796,-14.06516667,-71.33855556,1,1,0,0,-0.194798208,-0.005928028,2,0,1,0.149737681,-0.041991711,0.023416625,1,1,0,0,0.140234964,0.005407931,-0.023488385,-0.007800829
13,FZ176_E_myrtilloides_Plate5,FZ176_E_myrtilloides,FZ176,myrtilloides,Peru,3732,-13.15794444,-72.27794444,1,1,0,0,-0.195182567,-0.006102314,2,0,1,0.15147022,-0.037840931,0.024878726,1,1,0,0,0.139627997,0.006604084,-0.02483874,-0.003555437
14,FZ177_E_myrtilloides_Plate5,FZ177_E_myrtilloides,FZ177,myrtilloides,Peru,3727,-13.1575,-72.27777778,1,1,0,0,-0.195275166,-0.005322246,2,0,1,0.152162907,-0.040532109,0.022603689,1,1,0,0,0.141192909,0.007854037,-0.022148456,-0.00316681
15,FZ178_E_myrtilloides_Plate5,FZ178_E_myrtilloides,FZ178,myrtilloides,Peru,3697,-13.15638889,-72.27947222,1,1,0,0,-0.195343558,-0.00607672,2,0,1,0.151524129,-0.039697198,0.023573306,1,1,0,0,0.139350535,0.00849059,-0.026435488,-0.004772921
16,FZ179_E_myrtilloides_Plate1,FZ179_E_myrtilloides,FZ179,myrtilloides,Peru,3694,-13.16013889,-72.28025,1,1,0,0,-0.195363514,-0.005258297,2,0,1,0.150038771,-0.041748467,0.024806591,1,1,0,0,0.140649473,0.006200173,-0.023570261,-0.003524275
17,FZ181_E_myrtilloides_Plate5,FZ181_E_myrtilloides,FZ181,myrtilloides,Peru,3566,-13.17722222,-72.28988889,1,1,0,0,-0.19499816,-0.005785361,2,0,1,0.150166953,-0.042613259,0.023946371,1,1,0,0,0.140696819,0.007939921,-0.024348968,-0.005803398
18,FZ184_E_myrtilloides_Plate5,FZ184_E_myrtilloides,FZ184,myrtilloides,Peru,3566,-13.17722222,-72.28988889,1,1,0,0,-0.195347892,-0.006071285,2,0,1,0.150982817,-0.040424954,0.025130691,1,1,0,0,0.141566193,0.006453371,-0.021833481,-0.006645476
19,FZ192_E_myrtilloides_Plate5,FZ192_E_myrtilloides,FZ192,myrtilloides,Peru,3445,-13.20111111,-71.64083333,2,0,0.999993473,6.53E-06,0.132174938,0.004544135,1,1,0,-0.09964188,0.029493882,-0.022267012,2,0,1,1.95E-254,-0.092374044,0.008738409,0.016671245,0.022503939
20,FZ193_E_myrtilloides_Plate3,FZ193_E_myrtilloides,FZ193,myrtilloides,Peru,3445,-13.20111111,-71.64083333,2,0,0.991152792,0.008847208,0.132552275,0.004108646,1,1,0,-0.098528709,0.030066636,-0.021536716,2,0,1,8.61E-245,-0.09281815,0.011410075,0.016997563,0.021060366
21,FZ194_E_myrtilloides_Plate5,FZ194_E_myrtilloides,FZ194,myrtilloides,Peru,3445,-13.20111111,-71.64083333,2,0,0.999563378,0.000436622,0.132363594,0.003950633,1,1,0,-0.099552012,0.028724628,-0.022082795,2,0,1,3.48E-243,-0.093233369,0.008229439,0.017336377,0.020747715
22,FZ195_E_myrtilloides_Plate5,FZ195_E_myrtilloides,FZ195,myrtilloides,Peru,3445,-13.20111111,-71.64083333,2,0,0.999978756,2.12E-05,0.132164426,0.00368154,1,1,0,-0.09871017,0.029377733,-0.023152982,2,0,1,9.70E-274,-0.093330497,0.010707942,0.013853002,0.02176095
23,FZ197_E_myrtilloides_Plate3,FZ197_E_myrtilloides,FZ197,myrtilloides,Peru,3490,-13.19944444,-71.62472222,1,1,0,0,-0.19518227,-0.004949605,2,0,1,0.150713753,-0.039563951,0.023137035,1,1,0,0,0.140149443,0.002623132,-0.020862064,-0.006845149
24,FZ201_E_myrtilloides_Plate5,FZ201_E_myrtilloides,FZ201,myrtilloides,Peru,3489,-13.20366667,-71.61452778,2,0,0.999943115,5.69E-05,0.13220058,0.003454158,1,1,0,-0.098997025,0.030210224,-0.021572716,2,0,1,5.96E-235,-0.092658022,0.008955037,0.014097439,0.019042073
