,SampleName,SpeciesID,SpecimenID,Elevation,Latitude,Longitude,class.dim2.n0,probass.dim2.n0.g1,probass.dim2.n0.g2,probass.dim2.n0.g3,NMDS1.dim2.n0,NMDS2.dim2.n0
1,BH23603_E_myrtilloides_Plate5,BH23603_E_myrtilloides,BH23603,2800,9.6040844,-83.8297303,3,0,0.000136014,0.999863986,-0.133257834,0.003218552
2,CU1445_E_myrtilloides_Plate3,CU1445_E_myrtilloides,CU1445,3319,-3.105,-79.21722222,3,0,0.021027346,0.978972654,-0.13305401,0.004189364
3,FZ130_E_myrtilloides_Plate5,FZ130_E_myrtilloides,FZ130,3511,5.903361111,-73.07527778,3,0,2.85E-05,0.999971505,-0.133388458,0.003660882
4,FZ131_E_myrtilloides_Plate1,FZ131_E_myrtilloides,FZ131,3509,5.906083333,-73.07577778,3,0,0.003670772,0.996329228,-0.133080444,0.003362727
5,FZ132_E_myrtilloides_Plate5,FZ132_E_myrtilloides,FZ132,3678,5.896444444,-73.05972222,3,0,7.65E-05,0.999923538,-0.133392883,0.004334496
6,FZ134_E_myrtilloides_Plate5,FZ134_E_myrtilloides,FZ134,3698,5.930583333,-73.08291667,3,0,0.265236462,0.734763538,-0.132815949,0.003366127
7,FZ154_E_myrtilloides_Plate5,FZ154_E_myrtilloides,FZ154,3718,5.931861111,-73.0805,3,0,5.49E-05,0.999945065,-0.133299019,0.003095939
8,FZ168_E_myrtilloides_Plate5,FZ168_E_myrtilloides,FZ168,3806,-14.06380556,-71.33736111,1,1,0,0,0.195374623,-0.005695143
9,FZ169_E_myrtilloides_Plate5,FZ169_E_myrtilloides,FZ169,3902,-14.05761111,-71.33361111,1,1,0,0,0.195186225,-0.006373389
10,FZ170_E_myrtilloides_Plate5,FZ170_E_myrtilloides,FZ170,3900,-14.05802778,-71.33361111,1,1,0,0,0.195214206,-0.006066166
11,FZ171_E_myrtilloides_Plate5,FZ171_E_myrtilloides,FZ171,3796,-14.06516667,-71.33855556,1,1,0,0,0.195019579,-0.006046399
12,FZ172_E_myrtilloides_Plate5,FZ172_E_myrtilloides,FZ172,3796,-14.06516667,-71.33855556,1,1,0,0,0.194798208,-0.005928028
13,FZ176_E_myrtilloides_Plate5,FZ176_E_myrtilloides,FZ176,3732,-13.15794444,-72.27794444,1,1,0,0,0.195182567,-0.006102314
14,FZ177_E_myrtilloides_Plate5,FZ177_E_myrtilloides,FZ177,3727,-13.1575,-72.27777778,1,1,0,0,0.195275166,-0.005322246
15,FZ178_E_myrtilloides_Plate5,FZ178_E_myrtilloides,FZ178,3697,-13.15638889,-72.27947222,1,1,0,0,0.195343558,-0.00607672
16,FZ179_E_myrtilloides_Plate1,FZ179_E_myrtilloides,FZ179,3694,-13.16013889,-72.28025,1,1,0,0,0.195363514,-0.005258297
17,FZ181_E_myrtilloides_Plate5,FZ181_E_myrtilloides,FZ181,3566,-13.17722222,-72.28988889,1,1,0,0,0.19499816,-0.005785361
18,FZ184_E_myrtilloides_Plate5,FZ184_E_myrtilloides,FZ184,3566,-13.17722222,-72.28988889,1,1,0,0,0.195347892,-0.006071285
19,FZ192_E_myrtilloides_Plate5,FZ192_E_myrtilloides,FZ192,3445,-13.20111111,-71.64083333,2,0,0.999993473,6.53E-06,-0.132174938,0.004544135
20,FZ193_E_myrtilloides_Plate3,FZ193_E_myrtilloides,FZ193,3445,-13.20111111,-71.64083333,2,0,0.991152787,0.008847213,-0.132552275,0.004108646
21,FZ194_E_myrtilloides_Plate5,FZ194_E_myrtilloides,FZ194,3445,-13.20111111,-71.64083333,2,0,0.999563377,0.000436623,-0.132363594,0.003950633
22,FZ195_E_myrtilloides_Plate5,FZ195_E_myrtilloides,FZ195,3445,-13.20111111,-71.64083333,2,0,0.999978756,2.12E-05,-0.132164426,0.00368154
23,FZ197_E_myrtilloides_Plate3,FZ197_E_myrtilloides,FZ197,3490,-13.19944444,-71.62472222,1,1,0,0,0.19518227,-0.004949605
24,FZ201_E_myrtilloides_Plate5,FZ201_E_myrtilloides,FZ201,3489,-13.20366667,-71.61452778,2,0,0.999943115,5.69E-05,-0.13220058,0.003454158
25,FZ219_E_myrtilloides_Plate1,FZ219_E_myrtilloides,FZ219,3600,-6.744444444,-77.88055556,3,0,0.003244107,0.996755893,-0.133156518,0.004118315
26,FZ250_E_myrtilloides_Plate5,FZ250_E_myrtilloides,FZ250,2353,-5.380611111,-79.55683333,2,0,0.991512861,0.008487139,-0.132517088,0.003749394
27,FZ252_E_myrtilloides_Plate5,FZ252_E_myrtilloides,FZ252,2351,-5.38,-79.55722222,2,0,0.998178094,0.001821906,-0.132474449,0.004260529
28,FZ253_E_myrtilloides_Plate5,FZ253_E_myrtilloides,FZ253,2360,-5.379972222,-79.55708333,2,0,0.999914138,8.59E-05,-0.132279674,0.004060636
29,FZ263_E_myrtilloides_Plate5,FZ263_E_myrtilloides,FZ263,3416,-16.31483333,-67.92405556,2,0,0.999245611,0.000754389,-0.132445887,0.004506418
30,FZ318_E_myrtilloides_Plate3,FZ318_E_myrtilloides,FZ318,3830,-16.19805556,-68.12222222,1,1,0,0,0.195180987,-0.004923367
31,FZ321_E_myrtilloides_Plate1,FZ321_E_myrtilloides,FZ321,3835,-16.19694444,-68.12777778,1,1,0,0,0.195752501,-0.004265813
32,FZ328_E_myrtilloides_Plate3,FZ328_E_myrtilloides,FZ328,3827,-16.38944444,-71.44416667,1,1,0,0,0.194760691,-0.004693254
33,FZ86_E_myrtilloides_Plate3,FZ86_E_myrtilloides,FZ86,3197,5.001111111,-74.18305556,3,0,0.007595468,0.992404532,-0.133008919,0.003041483
34,FZ87_E_myrtilloides_Plate5,FZ87_E_myrtilloides,FZ87,3360,4.566388889,-74.00111111,3,0,0.00017377,0.99982623,-0.133302269,0.003860918
35,FZ89_E_myrtilloides_Plate5,FZ89_E_myrtilloides,FZ89,2660,4.591666667,-74,3,0,3.60E-07,0.99999964,-0.133615367,0.003380225
36,JW7766_E_myrtilloides_Plate3,JW7766_E_myrtilloides,JW7766,3400,-18.96666667,-65.4,1,1,0,0,0.195240183,-0.006920951
37,NR2822_E_myrtilloides_Plate3,NR2822_E_myrtilloides,NR2822,3650,-17.26916667,-66.32777778,1,1,0,0,0.195856712,-0.005382273
38,RO334_E_myrtilloides_Plate3,RO334_E_myrtilloides,RO334,2900,10.12222222,-84.10138889,3,0,1.20E-05,0.99998802,-0.133429161,0.003558386
39,FZ223_E_polifolia_Plate3,FZ223_E_polifolia,FZ223,3170,-6.712777778,-77.85361111,2,0,0.996959195,0.003040805,-0.132534164,0.004590106
40,FZ224_E_polifolia_Plate1,FZ224_E_polifolia,FZ224,3170,-6.713055556,-77.85277778,2,0,0.999999264,7.36E-07,-0.131981467,0.003804987
41,FZ225_E_polifolia_Plate3,FZ225_E_polifolia,FZ225,3170,-6.713333333,-77.85361111,2,0,0.999924608,7.54E-05,-0.13221773,0.003463812
42,FZ226_E_polifolia_Plate1,FZ226_E_polifolia,FZ226,3170,-6.713055556,-77.85333333,2,0,0.999794696,0.000205304,-0.132369939,0.004498201
