MolecularSampleName,deme3,deme2,deme1
BH23603_E_myrtilloides_Plate5,0.940726189,0.030893314,0.028380497
CU1445_E_myrtilloides_Plate3,0.930689937,0.033317466,0.035992597
FZ130_E_myrtilloides_Plate5,0.963391477,0.01876466,0.017843864
FZ131_E_myrtilloides_Plate1,0.943513825,0.028660083,0.027826091
FZ132_E_myrtilloides_Plate5,0.966809541,0.016978338,0.016212121
FZ134_E_myrtilloides_Plate5,0.968616835,0.0161363,0.015246865
FZ154_E_myrtilloides_Plate5,0.963735085,0.018574852,0.017690063
FZ168_E_myrtilloides_Plate5,0.010332663,0.980082228,0.009585109
FZ169_E_myrtilloides_Plate5,0.01116858,0.978272437,0.010558984
FZ170_E_myrtilloides_Plate5,0.011184814,0.978009933,0.010805253
FZ171_E_myrtilloides_Plate5,0.0205232,0.959788486,0.019688314
FZ172_E_myrtilloides_Plate5,0.011854481,0.976460149,0.01168537
FZ176_E_myrtilloides_Plate5,0.026882158,0.947449229,0.025668612
FZ177_E_myrtilloides_Plate5,0.014789578,0.971335796,0.013874626
FZ178_E_myrtilloides_Plate5,0.016217727,0.968879067,0.014903206
FZ179_E_myrtilloides_Plate1,0.148331064,0.711081592,0.140587343
FZ181_E_myrtilloides_Plate5,0.023654222,0.954239631,0.022106147
FZ184_E_myrtilloides_Plate5,0.018134602,0.964651431,0.017213967
FZ192_E_myrtilloides_Plate5,0.964725411,0.018357283,0.016917306
FZ193_E_myrtilloides_Plate3,0.956346489,0.022633617,0.021019894
FZ194_E_myrtilloides_Plate5,0.967214129,0.016926424,0.015859447
FZ195_E_myrtilloides_Plate5,0.965758734,0.017789067,0.016452199
FZ197_E_myrtilloides_Plate3,0.039012683,0.924394823,0.036592494
FZ201_E_myrtilloides_Plate5,0.936512535,0.032520225,0.03096724
FZ219_E_myrtilloides_Plate1,0.901280779,0.051618599,0.047100622
FZ223_E_polifolia_Plate3,0.927926067,0.036359764,0.035714169
FZ224_E_polifolia_Plate1,0.527243727,0.243779533,0.22897674
FZ225_E_polifolia_Plate3,0.942403434,0.029553001,0.028043565
FZ226_E_polifolia_Plate1,0.90104416,0.050463464,0.048492376
FZ250_E_myrtilloides_Plate5,0.963874146,0.018562007,0.017563846
FZ252_E_myrtilloides_Plate5,0.965729628,0.01760594,0.016664432
FZ253_E_myrtilloides_Plate5,0.965599795,0.017607013,0.016793192
FZ263_E_myrtilloides_Plate5,0.95511572,0.022765642,0.022118638
FZ318_E_myrtilloides_Plate3,0.021210543,0.959879565,0.018909893
FZ321_E_myrtilloides_Plate1,0.024952714,0.951457241,0.023590045
FZ328_E_myrtilloides_Plate3,0.058667784,0.885199531,0.056132685
FZ86_E_myrtilloides_Plate3,0.873104769,0.065939172,0.060956059
FZ87_E_myrtilloides_Plate5,0.871953415,0.065102246,0.062944339
FZ89_E_myrtilloides_Plate5,0.979626027,0.010449141,0.009924832
JW7766_E_myrtilloides_Plate3,0.031674394,0.941414008,0.026911597
NR2822_E_myrtilloides_Plate3,0.032249927,0.937860317,0.029889756
RO334_E_myrtilloides_Plate3,0.95172021,0.024745658,0.023534132
