species,morpho_trait,min,max
myrtilloides,LAMLEN,5,27
polifolia,LAMLEN,10,25
myrtilloides,LAMWID,3,13
polifolia,LAMWID,4,6
myrtilloides,PEDLEN,2,4
polifolia,PEDLEN,4,7
myrtilloides,OVALEN,2,3
polifolia,OVALEN,2.5,3.5
myrtilloides,CALYTUBLEN,1.5,2.5
polifolia,CALYTUBLEN,2.5,3.5
myrtilloides,CALLOBLEN,3,5
polifolia,CALLOBLEN,4.5,5.5
myrtilloides,PETLEN,6,10
polifolia,PETLEN,10,12
myrtilloides,PETWID,2,3
polifolia,PETWID,2.5,3
myrtilloides,FILLEN,7,9
polifolia,FILLEN,9.5,10.5
myrtilloides,ANTHLEN,2,3
polifolia,ANTHLEN,3.5,4.5
myrtilloides,STYLEN,5,7
polifolia,STYLEN,8,9
