clusterNum,error,iteration
1,1.25209,run1
2,0.4742,run1
3,0.50137,run1
1,1.26335,run2
2,0.47129,run2
3,0.48342,run2
1,1.25487,run3
2,0.43805,run3
3,0.48286,run3
1,1.27593,run4
2,0.45212,run4
3,0.49583,run4
1,1.25233,run5
2,0.47761,run5
3,0.51164,run5
1,1.24192,run6
2,0.45109,run6
3,0.49827,run6
1,1.26081,run7
2,0.46325,run7
3,0.49639,run7
1,1.24014,run8
2,0.45143,run8
3,0.49712,run8
1,1.25672,run9
2,0.44709,run9
3,0.48574,run9
1,1.2422,run10
2,0.45902,run10
3,0.50194,run10
