clusterNum,error,iteration
1,1.26193,run1
2,0.46615,run1
3,0.51917,run1
1,1.26532,run2
2,0.46085,run2
3,0.50918,run2
1,1.24859,run3
2,0.45479,run3
3,0.50528,run3
1,1.27122,run4
2,0.45778,run4
3,0.50401,run4
1,1.26182,run5
2,0.44288,run5
3,0.49326,run5
1,1.27616,run6
2,0.45181,run6
3,0.47157,run6
1,1.25465,run7
2,0.4837,run7
3,0.47483,run7
1,1.23865,run8
2,0.46445,run8
3,0.50868,run8
1,1.26172,run9
2,0.50511,run9
3,0.49948,run9
1,1.25909,run10
2,0.44901,run10
3,0.47021,run10
