MolecularSampleName,taxon,country,Elevation,Latitude,Longitude
FZ241_E_micrantha_Plate3,micrantha,Peru,2124,-7.074583333,-79.05105556
FZ242_E_micrantha_Plate1,micrantha,Peru,2124,-7.074611111,-79.05108333
FZ243_E_micrantha_Plate3,micrantha,Peru,2118,-7.072111111,-79.04830556
FZ245A_E_micrantha_Plate1,micrantha,Peru,2118,-7.072222222,-79.04833333
FZ289_E_millegrana_Plate1,millegrana,Bolivia,2756,-17.84316667,-65.46086111
FZ290_E_millegrana_Plate3,millegrana,Bolivia,2756,-17.84361111,-65.46111111
FZ291_E_millegrana_Plate3,millegrana,Bolivia,2752,-17.84641667,-65.45675
FZ311_E_millegrana_Plate3,millegrana,Bolivia,2663,-17.74541667,-64.93311111
FZU10219A_E_millegrana_Plate1,millegrana,Argentina,1650,-24.23444,-65.07917
FZU10362A_E_millegrana_Plate3,millegrana,Argentina,1625,-22.31194,-64.71444
FZU10362C_E_millegrana_Plate3,millegrana,Argentina,1625,-22.31194,-64.71444
FZU10398A_E_millegrana_Plate1,millegrana,Bolivia,2360,-21.44139,-64.38417
FZU10398D_E_millegrana_Plate3,millegrana,Bolivia,2360,-21.44139,-64.38417
FZU10413_E_millegrana_Plate3,millegrana,Bolivia,1160,-21.46472,-64.14306
