clusterNum,error,iteration
1,1.23867,run1
1,1.29614,run2
1,1.21626,run3
1,1.22234,run4
1,1.23286,run5
1,1.23647,run6
1,1.25205,run7
1,1.22996,run8
1,1.25741,run9
1,1.26347,run10
2,0.48513,run1
2,0.44167,run2
2,0.43888,run3
2,0.46977,run4
2,0.46081,run5
2,0.42932,run6
2,0.44218,run7
2,0.45976,run8
2,0.44015,run9
2,0.45372,run10
3,0.49974,run1
3,0.50406,run2
3,0.48078,run3
3,0.4977,run4
3,1.047,run5
3,0.49286,run6
3,0.51563,run7
3,0.49278,run8
3,0.49775,run9
3,0.49604,run10
