MolecularSampleName,deme1,deme2
FZ241_E_micrantha_Plate3,0.034789007,0.965210993
FZ242_E_micrantha_Plate1,0.020429901,0.979570099
FZ243_E_micrantha_Plate3,0.025956089,0.974043911
FZ245A_E_micrantha_Plate1,0.007406568,0.992593432
FZ289_E_millegrana_Plate1,0.992245135,0.007754865
FZ290_E_millegrana_Plate3,0.991158165,0.008841835
FZ291_E_millegrana_Plate3,0.977141977,0.022858023
FZ311_E_millegrana_Plate3,0.989103334,0.010896666
FZU10219A_E_millegrana_Plate1,0.773676463,0.226323537
FZU10362A_E_millegrana_Plate3,0.933633212,0.066366788
FZU10362C_E_millegrana_Plate3,0.962705496,0.037294504
FZU10398A_E_millegrana_Plate1,0.837520088,0.162479912
FZU10398D_E_millegrana_Plate3,0.994268329,0.005731671
FZU10413_E_millegrana_Plate3,0.995240835,0.004759165
