species,morpho_trait,min,max
micrantha,PETILEN,5,12
millegrana,PETILEN,8,16
micrantha,LAMLEN,50,140
millegrana,LAMLEN,50,125
micrantha,LAMWID,15,40
millegrana,LAMWID,15,55
micrantha,INFLLEN,80,200
millegrana,INFLLEN,70,150
micrantha,PEDLEN,1.5,3
millegrana,PEDLEN,1.5,3
micrantha,OVALEN,1,1.3
millegrana,OVALEN,1,2
micrantha,CALLOBLEN,0.1,1
millegrana,CALLOBLEN,0.8,1.8
micrantha,PETLEN,2,2.5
millegrana,PETLEN,3,3.5
micrantha,PETWID,0.7,1.7
millegrana,PETWID,1,2
micrantha,FILLEN,1.3,1.5
millegrana,FILLEN,2,3
micrantha,anthlen,0.1,1
millegrana,anthlen,0.1,1.1
micrantha,STYLEN,1,1.5
millegrana,STYLEN,1,2
