clusterNum,error,iteration
10,0.13288,run1
11,0.108,run1
12,0.12101,run1
13,0.12878,run1
14,0.12207,run1
15,0.10809,run1
1,0.32875,run1
2,0.28655,run1
3,0.23138,run1
4,0.18838,run1
5,0.16039,run1
6,0.1483,run1
7,0.14056,run1
8,0.12816,run1
9,0.12509,run1
10,0.11338,run2
11,0.12128,run2
12,0.10933,run2
13,0.10782,run2
14,0.09893,run2
15,0.11369,run2
1,0.32425,run2
2,0.26642,run2
3,0.24408,run2
4,0.20071,run2
5,0.16301,run2
6,0.14891,run2
7,0.13973,run2
8,0.12001,run2
9,0.12004,run2
10,0.116,run3
11,0.11175,run3
12,0.12187,run3
13,0.10839,run3
14,0.12394,run3
15,0.11641,run3
1,0.32546,run3
2,0.29171,run3
3,0.22739,run3
4,0.19632,run3
5,0.1643,run3
6,0.15779,run3
7,0.13666,run3
8,0.13659,run3
9,0.12864,run3
10,0.11703,run4
11,0.12535,run4
12,0.11224,run4
13,0.11418,run4
14,0.10629,run4
15,0.09367,run4
1,0.33128,run4
2,0.26961,run4
3,0.25442,run4
4,0.18517,run4
5,0.17514,run4
6,0.15659,run4
7,0.12773,run4
8,0.13222,run4
9,0.13002,run4
10,0.11408,run5
11,0.12208,run5
12,0.11808,run5
13,0.09709,run5
14,0.1113,run5
15,0.09132,run5
1,0.32667,run5
2,0.26561,run5
3,0.2384,run5
4,0.1883,run5
5,0.16758,run5
6,0.1636,run5
7,0.13645,run5
8,0.13141,run5
9,0.11916,run5
10,0.11856,run6
11,0.11635,run6
12,0.10892,run6
13,0.11384,run6
14,0.1127,run6
15,0.10834,run6
1,0.32561,run6
2,0.26856,run6
3,0.24378,run6
4,0.19177,run6
5,0.16439,run6
6,0.14529,run6
7,0.13203,run6
8,0.13297,run6
9,0.11438,run6
10,0.12451,run7
11,0.11864,run7
12,0.09736,run7
13,0.11233,run7
14,0.11998,run7
15,0.11185,run7
1,0.33045,run7
2,0.2702,run7
3,0.22359,run7
4,0.19106,run7
5,0.18485,run7
6,0.14467,run7
7,0.13791,run7
8,0.11668,run7
9,0.12263,run7
10,0.09947,run8
11,0.11995,run8
12,0.12003,run8
13,0.11822,run8
14,0.09822,run8
15,0.10771,run8
1,0.32546,run8
2,0.26616,run8
3,0.24925,run8
4,0.19234,run8
5,0.16314,run8
6,0.15495,run8
7,0.15824,run8
8,0.11834,run8
9,0.11741,run8
10,0.11146,run9
11,0.12147,run9
12,0.11714,run9
13,0.10573,run9
14,0.10622,run9
15,0.09486,run9
1,0.32813,run9
2,0.29928,run9
3,0.2255,run9
4,0.19287,run9
5,0.17713,run9
6,0.158,run9
7,0.13103,run9
8,0.14858,run9
9,0.12302,run9
10,0.12323,run10
11,0.1134,run10
12,0.10906,run10
13,0.10766,run10
14,0.12373,run10
15,0.11836,run10
1,0.32876,run10
2,0.27778,run10
3,0.22347,run10
4,0.1971,run10
5,0.17334,run10
6,0.14784,run10
7,0.13703,run10
8,0.11498,run10
9,0.11818,run10
