clusterNum,error,iteration
10,0.12023,run1
11,0.12486,run1
12,0.12465,run1
13,0.10343,run1
14,0.10487,run1
15,0.10688,run1
1,0.32944,run1
2,0.28483,run1
3,0.23366,run1
4,0.20282,run1
5,0.16223,run1
6,0.14957,run1
7,0.13289,run1
8,0.13656,run1
9,0.11992,run1
10,0.12368,run2
11,0.12084,run2
12,0.12306,run2
13,0.12004,run2
14,0.11016,run2
15,0.1247,run2
1,0.32888,run2
2,0.27669,run2
3,0.24999,run2
4,0.18991,run2
5,0.16362,run2
6,0.15042,run2
7,0.13661,run2
8,0.12734,run2
9,0.12025,run2
10,0.11681,run3
11,0.11654,run3
12,0.1146,run3
13,0.12205,run3
14,0.10317,run3
15,0.12034,run3
1,0.32854,run3
2,0.27943,run3
3,0.21628,run3
4,0.19635,run3
5,0.17663,run3
6,0.15368,run3
7,0.14448,run3
8,0.15619,run3
9,0.11779,run3
10,0.11972,run4
11,0.11333,run4
12,0.1023,run4
13,0.10082,run4
14,0.09962,run4
15,0.1131,run4
1,0.33338,run4
2,0.27396,run4
3,0.21889,run4
4,0.19685,run4
5,0.16437,run4
6,0.15383,run4
7,0.13444,run4
8,0.12335,run4
9,0.11971,run4
10,0.12001,run5
11,0.11857,run5
12,0.11144,run5
13,0.10487,run5
14,0.10128,run5
15,0.12075,run5
1,0.33357,run5
2,0.27782,run5
3,0.22646,run5
4,0.19887,run5
5,0.17705,run5
6,0.16933,run5
7,0.13818,run5
8,0.12145,run5
9,0.11633,run5
10,0.1238,run6
11,0.11084,run6
12,0.11441,run6
13,0.113,run6
14,0.09893,run6
15,0.11053,run6
1,0.33107,run6
2,0.28128,run6
3,0.24101,run6
4,0.21596,run6
5,0.1781,run6
6,0.14762,run6
7,0.15268,run6
8,0.13247,run6
9,0.11706,run6
10,0.11456,run7
11,0.11597,run7
12,0.11494,run7
13,0.1018,run7
14,0.11213,run7
15,0.10775,run7
1,0.33013,run7
2,0.28563,run7
3,0.22872,run7
4,0.19683,run7
5,0.18234,run7
6,0.14382,run7
7,0.1377,run7
8,0.12128,run7
9,0.11762,run7
10,0.10292,run8
11,0.11994,run8
12,0.11187,run8
13,0.12146,run8
14,0.12327,run8
15,0.09545,run8
1,0.3307,run8
2,0.26801,run8
3,0.21743,run8
4,0.19208,run8
5,0.18175,run8
6,0.14885,run8
7,0.15557,run8
8,0.12177,run8
9,0.13203,run8
10,0.12029,run9
11,0.11096,run9
12,0.11437,run9
13,0.12477,run9
14,0.11249,run9
15,0.11565,run9
1,0.32943,run9
2,0.29614,run9
3,0.23124,run9
4,0.20366,run9
5,0.17818,run9
6,0.15471,run9
7,0.15517,run9
8,0.13682,run9
9,0.12466,run9
10,0.12127,run10
11,0.12672,run10
12,0.09722,run10
13,0.12406,run10
14,0.09753,run10
15,0.10468,run10
1,0.33302,run10
2,0.26192,run10
3,0.23766,run10
4,0.19077,run10
5,0.16503,run10
6,0.14796,run10
7,0.14173,run10
8,0.12124,run10
9,0.12034,run10
