MolecularSampleName,taxon,country,Elevation,Latitude,Longitude
FZ123_E_illinita_Plate3,illinita,Chile,960,-33.72916667,-70.47055556
FZ124_E_illinita_Plate3,illinita,Chile,950,-33.72916667,-70.47083333
FZ127_E_illinita_Plate1,illinita,Chile,722,-33.0125,-70.90055556
FZ281_E_hypoglauca_Plate3,hypoglauca,Bolivia,3352,-17.79208333,-65.4875
FZ304_E_hypoglauca_Plate1,hypoglauca,Bolivia,2843,-17.82852778,-64.7185
FZ305_E_hypoglauca_Plate4,hypoglauca,Bolivia,2846,-17.83041667,-64.71869444
FZ306_E_hypoglauca_Plate3,hypoglauca,Bolivia,2850,-17.83041667,-64.71869444
FZ308_E_hypoglauca_Plate3,hypoglauca,Bolivia,2928,-17.83686111,-64.72677778
FZ322_E_angustifolia_Plate3,angustifolia,Peru,2594,-16.55633333,-71.44552778
FZ323_E_angustifolia_Plate3,angustifolia,Peru,2579,-16.55994444,-71.44852778
FZ324_E_angustifolia_Plate1,angustifolia,Peru,2585,-16.55994444,-71.44852778
FZ326_E_angustifolia_Plate3,angustifolia,Peru,2590,-16.5615,-71.44619444
FZ327_E_angustifolia_Plate3,angustifolia,Peru,2684,-16.56,-71.44
FZ353_E_illinita_Plate1,illinita,Chile,1872,-33.32291667,-70.32758333
FZ539_E_illinita_Plate1,illinita,Chile,920,-33.72941667,-70.47116667
FZ540_E_illinita_Plate3,illinita,Chile,920,-33.72961111,-70.47097222
FZU10003A_E_tucumanensis_Plate1,tucumanensis,Argentina,900,-27.06,-65.67
FZU10003B_E_tucumanensis_Plate3,tucumanensis,Argentina,900,-27.06,-65.67
FZU10117A_E_tucumanensis_Plate1,tucumanensis,Argentina,1900,-25.73,-65.48
FZU10117C_E_tucumanensis_Plate3,tucumanensis,Argentina,1900,-25.73,-65.48
FZU10330_E_hypoglauca_Plate1,hypoglauca,Argentina,2810,-23.61,-65.91
FZU10377A_E_tucumanensis_Plate3,tucumanensis,Argentina,1690,-22.33,-64.72
FZU10406A_E_tucumanensis_Plate3,tucumanensis,Bolivia,1670,-21.43,-64.27
FZU10406C_E_tucumanensis_Plate3,tucumanensis,Bolivia,1670,-21.43,-64.27
FZU10426D_E_hypoglauca_Plate3,hypoglauca,Bolivia,3033,-21.48,-64.87
FZU10434A_E_hypoglauca_Plate3,hypoglauca,Bolivia,3398,-21.47,-64.89
IA1263_E_tucumanensis_Plate3,tucumanensis,Argentina,1300,-22.17,-64.68
JW11630_E_tucumanensis_Plate3,tucumanensis,Bolivia,2000,-21.42,-64.3
JW9552_E_hypoglauca_Plate3,hypoglauca,Bolivia,3300,-21.47,-64.89
LF10_E_farinacea_Plate2,farinacea,Brazil,927,-25.51266667,-49.054
LF15_E_farinacea_Plate2,farinacea,Brazil,914,-25.49,-49.04
LF16_E_bifida_Plate1,bifida,Brazil,914,-25.49,-49.04
LF18_E_bifida_Plate2,bifida,Brazil,914,-25.49,-49.04
LF33_E_bifida_Plate2,bifida,Brazil,709,-27.67,-49.21
LF39_E_bifida_Plate1,bifida,Brazil,1194,-28.06,-49.49
LF42_E_petrophila_Plate1,petrophila,Brazil,1130,-28.05591667,-49.36675
LF44_E_petrophila_Plate4,petrophila,Brazil,1128,-28.05583333,-49.36666667
LF45_E_petrophila_Plate1,petrophila,Brazil,1131,-28.05591667,-49.36669444
LF46_E_bifida_Plate3,bifida,Brazil,1130,-28.06,-49.37
LF51_E_ledifolia_Plate2,ledifolia,Brazil,1108,-27.84102778,-49.64888889
LF52_E_ledifolia_Plate2,ledifolia,Brazil,1110,-27.84097222,-49.64888889
LF53_E_ledifolia_Plate2,ledifolia,Brazil,1109,-27.84102778,-49.64894444
LF54_E_ledifolia_Plate2,ledifolia,Brazil,1109,-27.84102778,-49.64897222
LF55_E_ledifolia_Plate2,ledifolia,Brazil,1109,-27.84102778,-49.64888889
LF56_E_ledifolia_Plate5,ledifolia,Brazil,1108,-27.84083333,-49.64886111
LF57_E_ledifolia_Plate2,ledifolia,Brazil,1108,-27.84083333,-49.64886111
LF59_E_ledifolia_Plate2,ledifolia,Brazil,1109,-27.84102778,-49.64891667
LF6_E_bifida_Plate2,bifida,Brazil,906,-25.43,-49.27
LF60_E_ledifolia_Plate1,ledifolia,Brazil,1109,-27.84083333,-49.64886111
LF61_E_bifida_Plate2,bifida,Brazil,1116,-27.89,-50.14
LF63_E_farinacea_Plate1,farinacea,Brazil,1116,-27.89,-50.14
LF64_E_farinacea_Plate2,farinacea,Brazil,1116,-27.89,-50.14
LF72_E_megapotamica_Plate2,megapotamica,Brazil,780,-26.09997222,-49.82508333
LF73_E_megapotamica_Plate2,megapotamica,Brazil,780,-26.09997222,-49.82508333
LF75_E_megapotamica_Plate1,megapotamica,Brazil,761,-25.87819444,-50.37886111
LF76_E_megapotamica_Plate2,megapotamica,Brazil,761,-25.87819444,-50.37886111
LF77_E_megapotamica_Plate2,megapotamica,Brazil,761,-25.87819444,-50.37886111
LF78_E_megapotamica_Plate2,megapotamica,Brazil,761,-25.87819444,-50.37886111
LF80_E_farinacea_Plate2,farinacea,Brazil,958,-25.47,-49.77
LF81_E_farinacea_Plate2,farinacea,Brazil,958,-25.47,-49.77
LF82_E_laevis_Plate1,laevis,Brazil,1823,-25.24083333,-48.8305
LF83_E_laevis_Plate2,laevis,Brazil,1823,-25.24083333,-48.8305
LF84_E_laevis_Plate2,laevis,Brazil,1823,-25.24083333,-48.8305
LF85_E_laevis_Plate2,laevis,Brazil,1823,-25.24083333,-48.8305
LF86_E_laevis_Plate2,laevis,Brazil,1823,-25.24083333,-48.8305
LF87_E_laevis_Plate3,laevis,Brazil,1823,-25.24086111,-48.8305
MG6302_E_angustifolia_Plate3,angustifolia,Chile,1800,-18.83305556,-69.74527778
MN33903_E_hypoglauca_Plate3,hypoglauca,Bolivia,2200,-18.56666667,-64.05
PB512_E_illinita_Plate3,illinita,Chile,2650,-30.14361111,-70.04861111
RK10198_E_angustifolia_Plate3,angustifolia,Chile,2000,-31.38,-69.7
RW18130_E_angustifolia_Plate3,angustifolia,Chile,2400,-29.95,-70.55
