clusterNum,error,iteration
10,0.12064,run1
11,0.11877,run1
12,0.12052,run1
13,0.10419,run1
14,0.13377,run1
15,0.12691,run1
1,0.32949,run1
2,0.26874,run1
3,0.22443,run1
4,0.19409,run1
5,0.16204,run1
6,0.15196,run1
7,0.14298,run1
8,0.12334,run1
9,0.11793,run1
10,0.11893,run2
11,0.11602,run2
12,0.12515,run2
13,0.11727,run2
14,0.09884,run2
15,0.13041,run2
1,0.32929,run2
2,0.27571,run2
3,0.21472,run2
4,0.198,run2
5,0.16845,run2
6,0.14973,run2
7,0.13821,run2
8,0.13762,run2
9,0.1276,run2
10,0.10292,run3
11,0.11868,run3
12,0.12133,run3
13,0.09726,run3
14,0.11261,run3
15,0.09696,run3
1,0.3274,run3
2,0.28127,run3
3,0.24252,run3
4,0.20144,run3
5,0.16571,run3
6,0.15444,run3
7,0.13783,run3
8,0.13895,run3
9,0.13479,run3
10,0.11908,run4
11,0.1223,run4
12,0.10899,run4
13,0.11346,run4
14,0.10772,run4
15,0.1201,run4
1,0.32801,run4
2,0.28796,run4
3,0.2356,run4
4,0.20033,run4
5,0.15785,run4
6,0.16093,run4
7,0.13823,run4
8,0.11923,run4
9,0.11675,run4
10,0.12512,run5
11,0.09789,run5
12,0.12487,run5
13,0.10517,run5
14,0.10601,run5
15,0.12064,run5
1,0.32636,run5
2,0.27989,run5
3,0.22835,run5
4,0.19471,run5
5,0.16436,run5
6,0.19675,run5
7,0.13429,run5
8,0.12137,run5
9,0.12725,run5
10,0.12752,run6
11,0.1189,run6
12,0.09983,run6
13,0.13291,run6
14,0.12223,run6
15,0.09354,run6
1,0.32838,run6
2,0.27972,run6
3,0.23335,run6
4,0.19883,run6
5,0.17636,run6
6,0.14822,run6
7,0.14194,run6
8,0.12259,run6
9,0.12066,run6
10,0.10765,run7
11,0.12107,run7
12,0.10153,run7
13,0.10516,run7
14,0.1224,run7
15,0.12133,run7
1,0.32894,run7
2,0.29303,run7
3,0.22009,run7
4,0.1999,run7
5,0.16413,run7
6,0.15451,run7
7,0.13689,run7
8,0.12064,run7
9,0.13159,run7
10,0.12556,run8
11,0.11109,run8
12,0.11891,run8
13,0.10141,run8
14,0.13027,run8
15,0.12427,run8
1,0.33094,run8
2,0.27305,run8
3,0.24686,run8
4,0.19448,run8
5,0.17842,run8
6,0.16341,run8
7,0.13352,run8
8,0.13722,run8
9,0.13507,run8
10,0.11709,run9
11,0.10979,run9
12,0.11296,run9
13,0.10491,run9
14,0.12785,run9
15,0.12029,run9
1,0.32962,run9
2,0.2637,run9
3,0.22487,run9
4,0.21671,run9
5,0.17511,run9
6,0.1612,run9
7,0.13829,run9
8,0.12409,run9
9,0.12784,run9
10,0.11708,run10
11,0.10527,run10
12,0.12948,run10
13,0.10303,run10
14,0.11088,run10
15,0.1363,run10
1,0.32888,run10
2,0.28274,run10
3,0.23272,run10
4,0.2029,run10
5,0.16177,run10
6,0.16209,run10
7,0.14286,run10
8,0.13286,run10
9,0.12244,run10
