,SampleName,SpeciesID,SpecimenID,taxon,country,Elevation,Latitude,Longitude,class.dim2.n0,probass.dim2.n0.g1,probass.dim2.n0.g2,probass.dim2.n0.g3,probass.dim2.n0.g4,probass.dim2.n0.g5,probass.dim2.n0.g6,probass.dim2.n0.g7,NMDS1.dim2.n0,NMDS2.dim2.n0,class.dim3.n0,probass.dim3.n0.g1,probass.dim3.n0.g2,probass.dim3.n0.g3,probass.dim3.n0.g4,probass.dim3.n0.g5,probass.dim3.n0.g6,probass.dim3.n0.g7,probass.dim3.n0.g8,NMDS1.dim3.n0,NMDS2.dim3.n0,NMDS3.dim3.n0,class.dim4.n0,probass.dim4.n0.g1,probass.dim4.n0.g2,probass.dim4.n0.g3,probass.dim4.n0.g4,probass.dim4.n0.g5,probass.dim4.n0.g6,probass.dim4.n0.g7,probass.dim4.n0.g8,probass.dim4.n0.g9,NMDS1.dim4.n0,NMDS2.dim4.n0,NMDS3.dim4.n0,NMDS4.dim4.n0
1,FZ123_E_illinita_Plate3,FZ123_E_illinita,FZ123,illinita,Chile,960,-33.72916667,-70.47055556,5,5.34E-219,9.98E-155,0,0,1,1.07E-204,0,0.059730812,-0.03021778,6,1.87E-205,4.96E-305,0,1.47E-244,0,1,1.16E-134,2.89E-22,-0.142155015,-0.092085094,-0.037721776,7,0,3.10E-211,0,0,1.36E-217,6.18E-277,1,0,7.52E-41,-0.084976345,0.028603447,-0.038563325,0.029837113
2,FZ124_E_illinita_Plate3,FZ124_E_illinita,FZ124,illinita,Chile,950,-33.72916667,-70.47083333,5,2.74E-201,1.76E-148,0,0,1,5.59E-195,4.19E-299,0.0582301,-0.025588071,6,2.17E-183,1.11E-279,0,5.20E-230,0,1,1.56E-112,1.51E-13,-0.142135635,-0.081314886,-0.028269128,7,0,4.76E-196,0,4.43E-307,5.86E-199,1.18E-250,1,0,9.19E-30,-0.084318973,0.026375678,-0.034037362,0.02215917
3,FZ127_E_illinita_Plate1,FZ127_E_illinita,FZ127,illinita,Chile,722,-33.0125,-70.90055556,5,7.81E-279,1.53E-189,0,0,1,1.01E-160,0,0.067843714,-0.03098601,6,6.41E-232,0,0,3.13E-281,0,1,2.21E-122,6.75E-21,-0.161344248,-0.089520097,-0.03014528,7,0,1.96E-230,0,0,6.59E-241,2.20E-234,1,0,3.56E-29,-0.092736003,0.030690043,-0.03089859,0.032382257
4,FZ353_E_illinita_Plate1,FZ353_E_illinita,FZ353,illinita,Chile,1872,-33.32291667,-70.32758333,5,2.29E-177,1.07E-136,0,0,1,9.52E-204,6.54E-283,0.055281879,-0.022355301,6,7.81E-158,3.38E-251,0,2.28E-205,0,0.999999876,3.59E-100,1.24E-07,-0.135956038,-0.071971197,-0.026231717,7,0,4.47E-171,0,1.36E-286,1.73E-175,5.39E-230,1,0,2.88E-22,-0.081094865,0.021901414,-0.029418921,0.021949518
5,FZ539_E_illinita_Plate1,FZ539_E_illinita,FZ539,illinita,Chile,920,-33.72941667,-70.47116667,5,2.94E-188,5.84E-140,0,0,1,5.75E-212,1.55E-288,0.056132838,-0.026023465,6,7.53E-179,3.16E-272,0,3.60E-223,0,1,9.73E-118,1.30E-14,-0.136996131,-0.08473485,-0.029103161,7,0,1.19E-186,0,4.41E-293,9.09E-192,2.76E-260,1,0,3.43E-33,-0.081281462,0.026166933,-0.034780088,0.025747036
6,FZ540_E_illinita_Plate3,FZ540_E_illinita,FZ540,illinita,Chile,920,-33.72961111,-70.47097222,5,2.54E-212,5.96E-156,0,0,1,1.20E-179,3.74E-308,0.060035463,-0.024853742,6,8.64E-194,1.13E-295,0,8.55E-239,0,1,1.45E-114,2.35E-15,-0.147010127,-0.079092585,-0.033103738,7,0,3.87E-202,0,0,1.35E-207,4.15E-251,1,0,5.27E-32,-0.085925783,0.02388777,-0.03455324,0.026573443
7,PB512_E_illinita_Plate3,PB512_E_illinita,PB512,illinita,Chile,2650,-30.14361111,-70.04861111,5,1.88E-203,8.13E-165,0,0,1,1.20E-114,0,0.061546178,-0.00816512,8,1.77E-139,8.52E-238,0,1.04E-213,0,1.18E-19,2.31E-43,1,-0.156460866,-0.029651502,-0.001576536,9,0,6.79E-175,0,0,1.49E-182,1.15E-97,1.35E-35,0,1,-0.090060495,0.014304887,0.001533981,0.011049036
8,FZ281_E_hypoglauca_Plate3,FZ281_E_hypoglauca,FZ281,hypoglauca,Bolivia,3352,-17.79208333,-65.4875,2,9.57E-31,1,8.01E-121,7.58E-281,2.69E-56,0,4.12E-46,-0.012522863,-0.017802866,2,1.25E-24,1,2.59E-114,1.96E-70,3.07E-106,5.85E-280,2.54E-294,1.28E-221,0.033206429,-0.037894716,0.03137874,1,1,4.59E-47,5.76E-106,4.83E-106,2.05E-52,0,0,6.58E-119,3.96E-304,0.021265593,0.032048903,-0.002067583,0.001045825
9,FZ304_E_hypoglauca_Plate1,FZ304_E_hypoglauca,FZ304,hypoglauca,Bolivia,2843,-17.82852778,-64.7185,2,1.95E-49,1,5.30E-120,0,1.40E-62,0,1.90E-42,-0.016068138,-0.024972669,2,4.04E-38,1,1.19E-121,7.86E-79,1.64E-103,2.60E-301,0,5.82E-248,0.049711493,-0.057393074,0.033858189,1,1,1.21E-74,5.63E-118,3.94E-112,2.68E-81,0,0,9.90E-124,0,0.030427188,0.039000749,-0.008696569,0.005685373
10,FZ305_E_hypoglauca_Plate4,FZ305_E_hypoglauca,FZ305,hypoglauca,Bolivia,2846,-17.83041667,-64.71869444,2,1.52E-64,1,2.59E-117,0,4.02E-67,0,2.19E-38,-0.019115206,-0.02948636,2,4.97E-48,1,2.20E-118,4.88E-91,4.00E-99,0,0,2.07E-267,0.057388085,-0.065801781,0.04204373,1,1,7.95E-90,1.22E-116,4.91E-125,2.48E-96,0,0,1.03E-121,0,0.035095489,0.04404146,-0.008449722,0.004754322
11,FZ306_E_hypoglauca_Plate3,FZ306_E_hypoglauca,FZ306,hypoglauca,Bolivia,2850,-17.83041667,-64.71869444,2,2.65E-38,1,1.01E-113,0,3.00E-60,0,1.54E-42,-0.014825804,-0.019451009,2,8.59E-31,1,1.46E-108,9.84E-76,3.42E-98,7.61E-299,0,1.03E-239,0.041136489,-0.041210537,0.03382663,1,1,2.54E-58,2.62E-105,1.35E-107,3.78E-65,0,0,1.82E-113,0,0.026575616,0.033246595,-0.00408708,0.003987747
12,FZ308_E_hypoglauca_Plate3,FZ308_E_hypoglauca,FZ308,hypoglauca,Bolivia,2928,-17.83686111,-64.72677778,2,3.40E-42,1,3.20E-113,0,1.28E-61,0,1.14E-41,-0.015605854,-0.020877445,2,5.02E-33,1,3.10E-111,6.48E-76,5.67E-98,9.36E-302,0,2.72E-244,0.044816187,-0.04545777,0.032954966,1,1,1.71E-62,4.00E-109,1.63E-108,3.82E-70,0,0,7.68E-115,0,0.027826881,0.03462996,-0.005359085,0.005784102
13,FZU10330_E_hypoglauca_Plate1,FZU10330_E_hypoglauca,FZU10330,hypoglauca,Argentina,2810,-23.61,-65.91,2,1.16E-41,1,6.49E-138,0,1.25E-56,0,1.46E-49,-0.012362929,-0.025542611,2,2.38E-32,1,2.60E-142,4.82E-78,2.79E-128,1.27E-262,2.19E-300,8.75E-213,0.034769246,-0.062828085,0.036647838,1,1,3.15E-68,9.29E-136,3.86E-112,1.36E-70,0,0,8.86E-151,0,0.022620127,0.042940564,-0.010304161,0.000326727
14,FZU10426D_E_hypoglauca_Plate3,FZU10426D_E_hypoglauca,FZU10426D,hypoglauca,Bolivia,3033,-21.48,-64.87,2,1.13E-49,1,1.06E-114,0,1.22E-63,0,1.05E-40,-0.016782424,-0.023969716,2,2.28E-36,1,6.77E-125,1.37E-73,6.01E-104,2.61E-297,0,5.58E-246,0.050988383,-0.057881475,0.029107496,1,1,3.31E-77,6.44E-119,2.22E-100,5.93E-78,0,0,8.04E-135,0,0.030957831,0.036986922,-0.013239669,-0.000818699
