MolecularSampleName,deme4,deme3,deme5,deme1,deme2
FZ123_E_illinita_Plate3,0.033280247,0.0326215,0.031928263,0.873950769,0.02821922
FZ124_E_illinita_Plate3,0.038539063,0.037499495,0.03714801,0.853231948,0.033581484
FZ127_E_illinita_Plate1,0.127196591,0.128575435,0.126949005,0.501195602,0.116083368
FZ353_E_illinita_Plate1,0.034247754,0.033273192,0.033519202,0.868831412,0.03012844
FZ539_E_illinita_Plate1,0.044734034,0.043521038,0.043628129,0.82795725,0.040159549
FZ540_E_illinita_Plate3,0.035058384,0.034124169,0.033927017,0.865531227,0.031359203
PB512_E_illinita_Plate3,0.15519365,0.154359108,0.151751098,0.397457154,0.14123899
FZ281_E_hypoglauca_Plate3,0.010374373,0.95990238,0.009903408,0.010309752,0.009510087
FZ304_E_hypoglauca_Plate1,0.006774014,0.973275193,0.006810465,0.006833811,0.006306517
FZ305_E_hypoglauca_Plate4,0.006013386,0.976744746,0.005891491,0.005920947,0.00542943
FZ306_E_hypoglauca_Plate3,0.007180442,0.972037358,0.007114157,0.007059024,0.00660902
FZ308_E_hypoglauca_Plate3,0.012553134,0.951281439,0.012506448,0.01199083,0.011668149
FZU10330_E_hypoglauca_Plate1,0.130731932,0.509198348,0.125329642,0.119699478,0.1150406
FZU10426D_E_hypoglauca_Plate3,0.030436141,0.881964708,0.030445197,0.029639516,0.027514439
FZU10434A_E_hypoglauca_Plate3,0.013511856,0.947387983,0.013621095,0.013044456,0.012434609
JW9552_E_hypoglauca_Plate3,0.077102066,0.70586517,0.075367195,0.074370339,0.06729523
MN33903_E_hypoglauca_Plate3,0.008112204,0.968557101,0.008107977,0.007731179,0.007491539
FZ322_E_angustifolia_Plate3,0.0320107,0.031672638,0.032111613,0.874756888,0.029448162
FZ323_E_angustifolia_Plate3,0.032546585,0.033443143,0.032485649,0.871651331,0.029873293
FZ324_E_angustifolia_Plate1,0.064997369,0.065406005,0.063930321,0.746344016,0.059322289
FZ326_E_angustifolia_Plate3,0.032159548,0.032719094,0.031641971,0.873907148,0.02957224
FZ327_E_angustifolia_Plate3,0.03789852,0.037078561,0.037563424,0.852694032,0.034765462
MG6302_E_angustifolia_Plate3,0.141749237,0.140294458,0.138959786,0.448816253,0.130180266
RK10198_E_angustifolia_Plate3,0.034309364,0.033414896,0.03291093,0.868420075,0.030944736
RW18130_E_angustifolia_Plate3,0.081174117,0.078659303,0.079825679,0.686472353,0.073868549
FZU10003A_E_tucumanensis_Plate1,0.051430288,0.796529344,0.051278586,0.052323577,0.048438206
FZU10003B_E_tucumanensis_Plate3,0.012355851,0.952565856,0.012166333,0.011792614,0.011119346
FZU10117A_E_tucumanensis_Plate1,0.065316696,0.749074099,0.064465238,0.061405339,0.059738629
FZU10117C_E_tucumanensis_Plate3,0.011940262,0.952584175,0.012186044,0.012153796,0.011135723
FZU10377A_E_tucumanensis_Plate3,0.007277777,0.971615553,0.007194365,0.007153835,0.00675847
FZU10406A_E_tucumanensis_Plate3,0.067745339,0.732201477,0.068489079,0.067935842,0.063628263
FZU10406C_E_tucumanensis_Plate3,0.018474717,0.928802976,0.018143075,0.017915155,0.016664077
IA1263_E_tucumanensis_Plate3,0.006054593,0.976721604,0.006003922,0.005804368,0.005415512
JW11630_E_tucumanensis_Plate3,0.004778266,0.981151391,0.004860483,0.004726563,0.004483297
LF10_E_farinacea_Plate2,0.965802797,0.008850243,0.008659663,0.008652108,0.00803519
LF15_E_farinacea_Plate2,0.927551541,0.018950749,0.018179195,0.018233543,0.017084972
LF63_E_farinacea_Plate1,0.963802521,0.009410552,0.009234837,0.009133502,0.008418588
LF64_E_farinacea_Plate2,0.941162276,0.015202571,0.014998698,0.014806696,0.01382976
LF80_E_farinacea_Plate2,0.957527339,0.010969273,0.010893902,0.010580186,0.010029299
LF81_E_farinacea_Plate2,0.966599375,0.008836253,0.008478203,0.008388472,0.007697697
WP152_E_farinacea_Plate2,0.966095637,0.00866227,0.00871698,0.008642754,0.007882359
WP154_E_farinacea_Plate2,0.956560069,0.011287587,0.01103102,0.010755265,0.010366058
WP158_E_farinacea_Plate2,0.962327853,0.009756208,0.009624841,0.009441237,0.008849861
WP160_E_farinacea_Plate2,0.965165909,0.008957612,0.008934476,0.008720018,0.008221986
LF16_E_bifida_Plate1,0.010167608,0.010094841,0.960476037,0.009881448,0.009380066
LF18_E_bifida_Plate2,0.013683638,0.013345924,0.947091595,0.013077241,0.012801602
LF33_E_bifida_Plate2,0.013205027,0.012958064,0.949048534,0.012622281,0.012166093
LF39_E_bifida_Plate1,0.011431221,0.011576119,0.955218507,0.01121347,0.010560683
LF46_E_bifida_Plate3,0.020161264,0.01993771,0.922484841,0.018996839,0.018419346
LF61_E_bifida_Plate2,0.0152095,0.01511283,0.940949788,0.01450301,0.014224873
LF6_E_bifida_Plate2,0.011307539,0.011112456,0.95625681,0.011056957,0.010266239
WP155_E_bifida_Plate2,0.01640095,0.016074862,0.936168053,0.016305785,0.01505035
WP163_E_bifida_Plate2,0.021310333,0.020839682,0.917508221,0.020765408,0.019576356
WP169_E_bifida_Plate1,0.027668803,0.027710723,0.893165044,0.026599989,0.024855441
LF42_E_petrophila_Plate1,0.963370068,0.009307324,0.009637001,0.009127901,0.008557706
LF44_E_petrophila_Plate4,0.958115146,0.010572998,0.011066268,0.010400685,0.009844902
LF45_E_petrophila_Plate1,0.967963764,0.008035778,0.008455804,0.008014619,0.007530036
LF51_E_ledifolia_Plate2,0.958242785,0.010668402,0.010726992,0.010840415,0.009521406
LF52_E_ledifolia_Plate2,0.971964659,0.007175537,0.007197096,0.007213577,0.006449131
LF53_E_ledifolia_Plate2,0.897305476,0.026779891,0.026144233,0.025734984,0.024035416
LF54_E_ledifolia_Plate2,0.972821078,0.006989382,0.006841517,0.006972233,0.006375789
LF55_E_ledifolia_Plate2,0.964321614,0.00919074,0.009056387,0.009194267,0.008236992
LF56_E_ledifolia_Plate5,0.914794696,0.02154163,0.022041898,0.021571623,0.020050154
LF57_E_ledifolia_Plate2,0.973873798,0.006690107,0.006616928,0.006751889,0.006067278
LF59_E_ledifolia_Plate2,0.966125535,0.008693872,0.008643963,0.008663847,0.007872783
LF60_E_ledifolia_Plate1,0.854700254,0.036881036,0.036278325,0.037416654,0.03472373
LF72_E_megapotamica_Plate2,0.02854992,0.027373597,0.892226598,0.027307823,0.024542062
LF73_E_megapotamica_Plate2,0.021602672,0.020946092,0.917554803,0.020564161,0.019332272
LF75_E_megapotamica_Plate1,0.015018502,0.014567261,0.943067289,0.014113898,0.013233049
LF76_E_megapotamica_Plate2,0.057692643,0.059738606,0.770869652,0.058370034,0.053329065
LF77_E_megapotamica_Plate2,0.015631298,0.015041004,0.940410299,0.015023943,0.013893456
LF78_E_megapotamica_Plate2,0.04437663,0.044483692,0.827022855,0.043009935,0.041106887
LF82_E_laevis_Plate1,0.968964098,0.007751213,0.008092454,0.007762258,0.007429978
LF83_E_laevis_Plate2,0.977655794,0.005693528,0.005789019,0.005560303,0.005301357
LF84_E_laevis_Plate2,0.934724253,0.016833226,0.016561573,0.016638784,0.015242165
LF85_E_laevis_Plate2,0.909556253,0.023793156,0.02255266,0.023116115,0.020981817
LF86_E_laevis_Plate2,0.973873502,0.006783923,0.006636994,0.00656513,0.00614045
LF87_E_laevis_Plate3,0.971985066,0.007079811,0.007039874,0.007143784,0.006751465
WP164_E_laevis_Plate2,0.821311856,0.044737855,0.045022196,0.047319269,0.041608825
WP165_E_laevis_Plate2,0.942990886,0.014757291,0.014474108,0.0145777,0.013200015
WP167_E_laevis_Plate3,0.893447047,0.026845395,0.027592036,0.026603448,0.025512074
WP168_E_laevis_Plate2,0.815559533,0.047063649,0.046650153,0.046573765,0.0441529
