MolecularSampleName,group1,group2,group3,group4
FZ123_E_illinita_Plate3,1,0,0,0
FZ124_E_illinita_Plate3,1,0,0,0
FZ127_E_illinita_Plate1,1,0,0,0
FZ353_E_illinita_Plate1,1,0,0,0
FZ539_E_illinita_Plate1,1,0,0,0
FZ540_E_illinita_Plate3,1,0,0,0
PB512_E_illinita_Plate3,0.9999,0,0,0.0001
FZ281_E_hypoglauca_Plate3,0.0007,0.0008,0.9985,0
FZ304_E_hypoglauca_Plate1,0,0,1,0
FZ305_E_hypoglauca_Plate4,0,0,1,0
FZ306_E_hypoglauca_Plate3,0,0,1,0
FZ308_E_hypoglauca_Plate3,0,0,1,0
FZU10330_E_hypoglauca_Plate1,0,0,0.9997,0.0003
FZU10426D_E_hypoglauca_Plate3,0,0.0002,0.9998,0
FZU10434A_E_hypoglauca_Plate3,0,0,1,0
JW9552_E_hypoglauca_Plate3,0,0.0002,0.9998,0
MN33903_E_hypoglauca_Plate3,0,0.009,0.991,0
FZ322_E_angustifolia_Plate3,1,0,0,0
FZ323_E_angustifolia_Plate3,1,0,0,0
FZ324_E_angustifolia_Plate1,1,0,0,0
FZ326_E_angustifolia_Plate3,1,0,0,0
FZ327_E_angustifolia_Plate3,1,0,0,0
MG6302_E_angustifolia_Plate3,1,0,0,0
RK10198_E_angustifolia_Plate3,0.9648,0.0004,0.0334,0.0014
RW18130_E_angustifolia_Plate3,1,0,0,0
FZU10003A_E_tucumanensis_Plate1,0,0,1,0
FZU10003B_E_tucumanensis_Plate3,0,0,1,0
FZU10117A_E_tucumanensis_Plate1,0,0,1,0
FZU10117C_E_tucumanensis_Plate3,0,0,1,0
FZU10377A_E_tucumanensis_Plate3,0,0,1,0
FZU10406A_E_tucumanensis_Plate3,0,0,1,0
FZU10406C_E_tucumanensis_Plate3,0,0,1,0
IA1263_E_tucumanensis_Plate3,0,0,1,0
JW11630_E_tucumanensis_Plate3,0,0,1,0
LF10_E_farinacea_Plate2,0.0997,0.2999,0.1999,0.4005
LF15_E_farinacea_Plate2,0.0993,0.2993,0.197,0.4044
LF63_E_farinacea_Plate1,0.0984,0.2999,0.1983,0.4034
LF64_E_farinacea_Plate2,0.0994,0.3,0.199,0.4016
LF80_E_farinacea_Plate2,0.0997,0.3,0.1999,0.4004
LF81_E_farinacea_Plate2,0.0998,0.3002,0.1996,0.4004
WP152_E_farinacea_Plate2,0.0999,0.2999,0.1998,0.4004
WP154_E_farinacea_Plate2,0.0994,0.2998,0.1995,0.4013
WP158_E_farinacea_Plate2,0.0999,0.2999,0.1998,0.4004
WP160_E_farinacea_Plate2,0.0999,0.2999,0.1998,0.4004
LF16_E_bifida_Plate1,0,0.8,0.2,0
LF18_E_bifida_Plate2,0,0.8,0.2,0
LF33_E_bifida_Plate2,0,0.8,0.2,0
LF39_E_bifida_Plate1,0,0.7992,0.2008,0
LF46_E_bifida_Plate3,0,0.8,0.2,0
LF61_E_bifida_Plate2,0,0.8,0.2,0
LF6_E_bifida_Plate2,0,0.799,0.201,0
WP155_E_bifida_Plate2,0,0.8,0.2,0
WP163_E_bifida_Plate2,0,0.8,0.2,0
WP169_E_bifida_Plate1,0,0.8,0.2,0
LF42_E_petrophila_Plate1,0,0,0,1
LF44_E_petrophila_Plate4,0.0004,0.0001,0,0.9995
LF45_E_petrophila_Plate1,0,0,0,1
LF51_E_ledifolia_Plate2,0,0,0,1
LF52_E_ledifolia_Plate2,0,0,0,1
LF53_E_ledifolia_Plate2,0,0,0,1
LF54_E_ledifolia_Plate2,0,0,0.0002,0.9998
LF55_E_ledifolia_Plate2,0,0,0,1
LF56_E_ledifolia_Plate5,0,0,0,1
LF57_E_ledifolia_Plate2,0,0,0,1
LF59_E_ledifolia_Plate2,0,0,0,1
LF60_E_ledifolia_Plate1,0,0,0,1
LF72_E_megapotamica_Plate2,0,0.8,0.2,0
LF73_E_megapotamica_Plate2,0,0.8,0.2,0
LF75_E_megapotamica_Plate1,0,0.7991,0.2007,0.0002
LF76_E_megapotamica_Plate2,0,0.8,0.2,0
LF77_E_megapotamica_Plate2,0,0.7996,0.2,0.0004
LF78_E_megapotamica_Plate2,0,0.8,0.2,0
LF82_E_laevis_Plate1,0,0,0,1
LF83_E_laevis_Plate2,0,0,0,1
LF84_E_laevis_Plate2,0,0,0,1
LF85_E_laevis_Plate2,0,0,0,1
LF86_E_laevis_Plate2,0,0,0,1
LF87_E_laevis_Plate3,0,0,0,1
WP164_E_laevis_Plate2,0.0006,0.0028,0.0004,0.9962
WP165_E_laevis_Plate2,0.002,0.0074,0.0007,0.9899
WP167_E_laevis_Plate3,0.0003,0.0105,0.0008,0.9884
WP168_E_laevis_Plate2,0,0.0006,0.0006,0.9988
