"","numMorphGroups","BIC.Best.Model.Per.G","taxonBIC","morphoGroupsBIC","deltaBIC_naive","deltaBIC_taxon","deltaBIC_morphoGroups"
"1",1,-269.570883903735,NA,NA,500.818717688524,NA,NA
"2",2,-57.0052132120998,NA,NA,288.253046996889,NA,NA
"3",3,44.9396655508322,NA,NA,186.308168233958,NA,NA
"4",4,85.1161266394199,NA,NA,146.13170714537,NA,NA
"5",5,98.9407938493695,NA,NA,132.30703993542,NA,NA
"6",6,101.065559954418,NA,NA,130.182273830372,NA,NA
"7",7,202.026926408158,NA,NA,29.2209073766319,NA,NA
"8",8,231.24783378479,NA,NA,0,NA,NA
"9",9,132.410805135297,NA,NA,98.8370286494924,NA,NA
"10",10,87.9069924224412,-517.763470397108,200.303756567664,143.340841362348,749.011304181897,30.9440772171258
"11",11,127.766292062887,NA,NA,103.481541721903,NA,NA
"12",12,105.502292579056,NA,NA,125.745541205734,NA,NA
"13",13,63.9315874320208,NA,NA,167.316246352769,NA,NA
"14",14,93.5817793273991,NA,NA,137.666054457391,NA,NA
"15",15,82.9189488251687,NA,NA,148.328884959621,NA,NA
