"","V1","V12","variable","value","uniqueID","col"
"1","EW183","E. angustifolia","inHull_All_1","FALSE",1,"no assignment"
"2","FZ322","E. angustifolia","inHull_All_1","FALSE",2,"no assignment"
"3","FZ323","E. angustifolia","inHull_All_1","FALSE",3,"no assignment"
"4","FZ324","E. angustifolia","inHull_All_1","FALSE",4,"no assignment"
"5","FZ325","E. angustifolia","inHull_All_1","FALSE",5,"no assignment"
"6","FZ326","E. angustifolia","inHull_All_1","FALSE",6,"no assignment"
"7","FZ327","E. angustifolia","inHull_All_1","FALSE",7,"no assignment"
"8","IJ5864","E. angustifolia","inHull_All_1","FALSE",8,"no assignment"
"9","MG6297","E. angustifolia","inHull_All_1","FALSE",9,"no assignment"
"10","MG6302","E. angustifolia","inHull_All_1","FALSE",10,"no assignment"
"11","MG6562","E. angustifolia","inHull_All_1","FALSE",11,"no assignment"
"12","OZ3990","E. angustifolia","inHull_All_1","FALSE",12,"no assignment"
"13","RK7653","E. angustifolia","inHull_All_1","FALSE",13,"no assignment"
"14","RW18130","E. angustifolia","inHull_All_1","FALSE",14,"no assignment"
"15","AB11510","E. bifida","inHull_All_1","FALSE",15,"no assignment"
"16","AG6890","E. bifida","inHull_All_1","FALSE",16,"no assignment"
"17","AK22941","E. bifida","inHull_All_1","FALSE",17,"no assignment"
"18","AK23025","E. bifida","inHull_All_1","FALSE",18,"no assignment"
"19","AK35523","E. bifida","inHull_All_1","FALSE",19,"no assignment"
"20","AVEsc2","E. bifida","inHull_All_1","FALSE",20,"no assignment"
"21","BR3907","E. bifida","inHull_All_1","FALSE",21,"no assignment"
"22","CC507","E. bifida","inHull_All_1","FALSE",22,"no assignment"
"23","CO6589","E. bifida","inHull_All_1","FALSE",23,"no assignment"
"24","EP7047","E. bifida","inHull_All_1","FALSE",24,"no assignment"
"25","EP8355","E. bifida","inHull_All_1","FALSE",25,"no assignment"
"26","FM2376","E. bifida","inHull_All_1","FALSE",26,"no assignment"
"27","GH18306","E. bifida","inHull_All_1","FALSE",27,"no assignment"
"28","GH18331","E. bifida","inHull_All_1","FALSE",28,"no assignment"
"29","GH18425","E. bifida","inHull_All_1","FALSE",29,"no assignment"
"30","GH26215","E. bifida","inHull_All_1","FALSE",30,"no assignment"
"31","GH31430","E. bifida","inHull_All_1","FALSE",31,"no assignment"
"32","HL550","E. bifida","inHull_All_1","FALSE",32,"no assignment"
"33","JB5177","E. bifida","inHull_All_1","FALSE",33,"no assignment"
"34","JK1721","E. bifida","inHull_All_1","FALSE",34,"no assignment"
"35","JM14715","E. bifida","inHull_All_1","FALSE",35,"no assignment"
"36","LF16","E. bifida","inHull_All_1","FALSE",36,"no assignment"
"37","LF18","E. bifida","inHull_All_1","FALSE",37,"no assignment"
"38","LF33","E. bifida","inHull_All_1","FALSE",38,"no assignment"
"39","LF39","E. bifida","inHull_All_1","FALSE",39,"no assignment"
"40","LF46","E. bifida","inHull_All_1","FALSE",40,"no assignment"
"41","LF6","E. bifida","inHull_All_1","FALSE",41,"no assignment"
"42","LF61","E. bifida","inHull_All_1","FALSE",42,"no assignment"
"43","LS10571","E. bifida","inHull_All_1","FALSE",43,"no assignment"
"44","LS11641","E. bifida","inHull_All_1","FALSE",44,"no assignment"
"45","MR221","E. bifida","inHull_All_1","FALSE",45,"no assignment"
"46","PJ34248","E. bifida","inHull_All_1","FALSE",46,"no assignment"
"47","PR11764","E. bifida","inHull_All_1","FALSE",47,"no assignment"
"48","PR12237","E. bifida","inHull_All_1","FALSE",48,"no assignment"
"49","PR6686","E. bifida","inHull_All_1","FALSE",49,"no assignment"
"50","RB93","E. bifida","inHull_All_1","FALSE",50,"no assignment"
"51","RD10799","E. bifida","inHull_All_1","FALSE",51,"no assignment"
"52","RD1744","E. bifida","inHull_All_1","FALSE",52,"no assignment"
"53","RW423","E. bifida","inHull_All_1","FALSE",53,"no assignment"
"54","RW5162","E. bifida","inHull_All_1","FALSE",54,"no assignment"
"55","RW5166","E. bifida","inHull_All_1","FALSE",55,"no assignment"
"56","WP155","E. bifida","inHull_All_1","FALSE",56,"no assignment"
"57","WP163","E. bifida","inHull_All_1","FALSE",57,"no assignment"
"58","WP169","E. bifida","inHull_All_1","FALSE",58,"no assignment"
"59","AK42087","E. farinacea","inHull_All_1","FALSE",59,"no assignment"
"60","BR49669","E. farinacea","inHull_All_1","FALSE",60,"no assignment"
"61","GH10795","E. farinacea","inHull_All_1","FALSE",61,"no assignment"
"62","GH11940","E. farinacea","inHull_All_1","FALSE",62,"no assignment"
"63","GH17979","E. farinacea","inHull_All_1","FALSE",63,"no assignment"
"64","GH18054","E. farinacea","inHull_All_1","FALSE",64,"no assignment"
"65","GH18440","E. farinacea","inHull_All_1","FALSE",65,"no assignment"
"66","GH25426","E. farinacea","inHull_All_1","FALSE",66,"no assignment"
"67","JS38","E. farinacea","inHull_All_1","FALSE",67,"no assignment"
"68","LF10","E. farinacea","inHull_All_1","FALSE",68,"no assignment"
"69","LS9075","E. farinacea","inHull_All_1","FALSE",69,"no assignment"
"70","MK902","E. farinacea","inHull_All_1","FALSE",70,"no assignment"
"71","NS5746","E. farinacea","inHull_All_1","FALSE",71,"no assignment"
"72","PD15954","E. farinacea","inHull_All_1","FALSE",72,"no assignment"
"73","SX262","E. farinacea","inHull_All_1","FALSE",73,"no assignment"
"74","VN108","E. farinacea","inHull_All_1","FALSE",74,"no assignment"
"75","WP159","E. farinacea","inHull_All_1","FALSE",75,"no assignment"
"76","AC1193","E. hypoglauca","inHull_All_1","FALSE",76,"no assignment"
"77","CD3771","E. hypoglauca","inHull_All_1","FALSE",77,"no assignment"
"78","DS152","E. hypoglauca","inHull_All_1","FALSE",78,"no assignment"
"79","EF3538","E. hypoglauca","inHull_All_1","FALSE",79,"no assignment"
"80","FZ304","E. hypoglauca","inHull_All_1","FALSE",80,"no assignment"
"81","FZ307","E. hypoglauca","inHull_All_1","FALSE",81,"no assignment"
"82","FZU10330","E. hypoglauca","inHull_All_1","FALSE",82,"no assignment"
"83","FZU10426A","E. hypoglauca","inHull_All_1","FALSE",83,"no assignment"
"84","FZU10426D","E. hypoglauca","inHull_All_1","FALSE",84,"no assignment"
"85","FZU10434A","E. hypoglauca","inHull_All_1","FALSE",85,"no assignment"
"86","HF5850","E. hypoglauca","inHull_All_1","FALSE",86,"no assignment"
"87","HS3739","E. hypoglauca","inHull_All_1","FALSE",87,"no assignment"
"88","JG587","E. hypoglauca","inHull_All_1","FALSE",88,"no assignment"
"89","JT229","E. hypoglauca","inHull_All_1","FALSE",89,"no assignment"
"90","JW10607","E. hypoglauca","inHull_All_1","FALSE",90,"no assignment"
"91","JW8943","E. hypoglauca","inHull_All_1","FALSE",91,"no assignment"
"92","JW9552","E. hypoglauca","inHull_All_1","FALSE",92,"no assignment"
"93","KF2441","E. hypoglauca","inHull_All_1","FALSE",93,"no assignment"
"94","MC6241","E. hypoglauca","inHull_All_1","FALSE",94,"no assignment"
"95","MN33903","E. hypoglauca","inHull_All_1","FALSE",95,"no assignment"
"96","MS5081","E. hypoglauca","inHull_All_1","FALSE",96,"no assignment"
"97","SV9001","E. hypoglauca","inHull_All_1","FALSE",97,"no assignment"
"98","CB984","E. illinita","inHull_All_1","FALSE",98,"no assignment"
"99","CSs.n.","E. illinita","inHull_All_1","FALSE",99,"no assignment"
"100","EK5378","E. illinita","inHull_All_1","FALSE",100,"no assignment"
"101","EK5390","E. illinita","inHull_All_1","FALSE",101,"no assignment"
"102","EK838","E. illinita","inHull_All_1","FALSE",102,"no assignment"
"103","EW579","E. illinita","inHull_All_1","FALSE",103,"no assignment"
"104","FZ539","E. illinita","inHull_All_1","FALSE",104,"no assignment"
"105","FZ540","E. illinita","inHull_All_1","FALSE",105,"no assignment"
"106","FZ541","E. illinita","inHull_All_1","FALSE",106,"no assignment"
"107","GH405A","E. illinita","inHull_All_1","FALSE",107,"no assignment"
"108","GH405B","E. illinita","inHull_All_1","FALSE",108,"no assignment"
"109","GL5551","E. illinita","inHull_All_1","FALSE",109,"no assignment"
"110","JW5200","E. illinita","inHull_All_1","FALSE",110,"no assignment"
"111","LL5949","E. illinita","inHull_All_1","FALSE",111,"no assignment"
"112","MG25","E. illinita","inHull_All_1","FALSE",112,"no assignment"
"113","MG5435","E. illinita","inHull_All_1","FALSE",113,"no assignment"
"114","MG5655","E. illinita","inHull_All_1","FALSE",114,"no assignment"
"115","MG5665","E. illinita","inHull_All_1","FALSE",115,"no assignment"
"116","OZ6524","E. illinita","inHull_All_1","FALSE",116,"no assignment"
"117","PB4","E. illinita","inHull_All_1","FALSE",117,"no assignment"
"118","PB512","E. illinita","inHull_All_1","FALSE",118,"no assignment"
"119","AB10830","E. laevis","inHull_All_1","FALSE",119,"no assignment"
"120","AS75","E. laevis","inHull_All_1","FALSE",120,"no assignment"
"121","B19021","E. laevis","inHull_All_1","FALSE",121,"no assignment"
"122","BL734","E. laevis","inHull_All_1","FALSE",122,"no assignment"
"123","BLs.n.","E. laevis","inHull_All_1","FALSE",123,"no assignment"
"124","EB383","E. laevis","inHull_All_1","FALSE",124,"no assignment"
