"","X1","X2","value"
"1","angustifolia","angustifolia",1
"2","bifida","angustifolia",0
"3","farinacea","angustifolia",0
"4","hypoglauca","angustifolia",0
"5","illinita","angustifolia",0
"6","laevis","angustifolia",0
"7","ledifolia","angustifolia",0
"8","megapotamica","angustifolia",0
"9","petrophila","angustifolia",0
"10","tucumanensis","angustifolia",0
"11","angustifolia","bifida",0
"12","bifida","bifida",1
"13","farinacea","bifida",0
"14","hypoglauca","bifida",0
"15","illinita","bifida",0
"16","laevis","bifida",0
"17","ledifolia","bifida",0
"18","megapotamica","bifida",0
"19","petrophila","bifida",0
"20","tucumanensis","bifida",0
"21","angustifolia","farinacea",0
"22","bifida","farinacea",0
"23","farinacea","farinacea",1
"24","hypoglauca","farinacea",0
"25","illinita","farinacea",0
"26","laevis","farinacea",0
"27","ledifolia","farinacea",0
"28","megapotamica","farinacea",0
"29","petrophila","farinacea",0
"30","tucumanensis","farinacea",0
"31","angustifolia","hypoglauca",0
"32","bifida","hypoglauca",0
"33","farinacea","hypoglauca",0
"34","hypoglauca","hypoglauca",1
"35","illinita","hypoglauca",0
"36","laevis","hypoglauca",0
"37","ledifolia","hypoglauca",0
"38","megapotamica","hypoglauca",0
"39","petrophila","hypoglauca",0
"40","tucumanensis","hypoglauca",0
"41","angustifolia","illinita",0
"42","bifida","illinita",0
"43","farinacea","illinita",0
"44","hypoglauca","illinita",0
"45","illinita","illinita",1
"46","laevis","illinita",0
"47","ledifolia","illinita",0
"48","megapotamica","illinita",0
"49","petrophila","illinita",0
"50","tucumanensis","illinita",0
"51","angustifolia","laevis",0
"52","bifida","laevis",0
"53","farinacea","laevis",0
"54","hypoglauca","laevis",0
"55","illinita","laevis",0
"56","laevis","laevis",1
"57","ledifolia","laevis",0
"58","megapotamica","laevis",0
"59","petrophila","laevis",0
"60","tucumanensis","laevis",0
"61","angustifolia","ledifolia",0
"62","bifida","ledifolia",0
"63","farinacea","ledifolia",0
"64","hypoglauca","ledifolia",0
"65","illinita","ledifolia",0
"66","laevis","ledifolia",0
"67","ledifolia","ledifolia",1
"68","megapotamica","ledifolia",0
"69","petrophila","ledifolia",0
"70","tucumanensis","ledifolia",0
"71","angustifolia","megapotamica",0
"72","bifida","megapotamica",0
"73","farinacea","megapotamica",0
"74","hypoglauca","megapotamica",0
"75","illinita","megapotamica",0
"76","laevis","megapotamica",0
"77","ledifolia","megapotamica",0
"78","megapotamica","megapotamica",1
"79","petrophila","megapotamica",0
"80","tucumanensis","megapotamica",0
"81","angustifolia","petrophila",0
"82","bifida","petrophila",0
"83","farinacea","petrophila",0
"84","hypoglauca","petrophila",0
"85","illinita","petrophila",0
"86","laevis","petrophila",0
"87","ledifolia","petrophila",0
"88","megapotamica","petrophila",0
"89","petrophila","petrophila",1
"90","tucumanensis","petrophila",0
"91","angustifolia","tucumanensis",0
"92","bifida","tucumanensis",0
"93","farinacea","tucumanensis",0
"94","hypoglauca","tucumanensis",0
"95","illinita","tucumanensis",0
"96","laevis","tucumanensis",0
"97","ledifolia","tucumanensis",0
"98","megapotamica","tucumanensis",0
"99","petrophila","tucumanensis",0
"100","tucumanensis","tucumanensis",1
