clusterNum,error,iteration
10,0.15382,run1
11,0.1466,run1
1,0.24835,run1
2,0.20857,run1
3,0.18512,run1
4,0.17498,run1
5,0.17217,run1
6,0.16197,run1
7,0.15419,run1
8,0.15967,run1
9,0.15611,run1
10,0.15162,run2
11,0.14661,run2
1,0.24788,run2
2,0.20545,run2
3,0.18504,run2
4,0.18447,run2
5,0.16346,run2
6,0.16064,run2
7,0.15785,run2
8,0.15522,run2
9,0.1544,run2
10,0.15524,run3
11,0.15368,run3
1,0.24937,run3
2,0.20875,run3
3,0.1917,run3
4,0.16973,run3
5,0.15954,run3
6,0.1606,run3
7,0.15097,run3
8,0.16175,run3
9,0.15153,run3
10,0.16462,run4
11,0.15841,run4
1,0.25026,run4
2,0.20607,run4
3,0.1862,run4
4,0.17334,run4
5,0.16555,run4
6,0.16228,run4
7,0.1558,run4
8,0.15546,run4
9,0.15275,run4
10,0.15008,run5
11,0.15008,run5
1,0.24803,run5
2,0.20437,run5
3,0.18507,run5
4,0.16584,run5
5,0.16514,run5
6,0.15711,run5
7,0.15998,run5
8,0.15686,run5
9,0.16066,run5
10,0.15754,run6
11,0.15068,run6
1,0.25277,run6
2,0.20529,run6
3,0.18865,run6
4,0.16899,run6
5,0.16744,run6
6,0.16322,run6
7,0.1582,run6
8,0.15729,run6
9,0.15973,run6
10,0.16588,run7
11,0.15172,run7
1,0.24894,run7
2,0.20487,run7
3,0.18298,run7
4,0.18599,run7
5,0.16104,run7
6,0.16286,run7
7,0.15855,run7
8,0.15283,run7
9,0.15104,run7
10,0.15339,run8
11,0.15007,run8
1,0.24817,run8
2,0.20754,run8
3,0.19762,run8
4,0.18325,run8
5,0.16699,run8
6,0.15895,run8
7,0.15865,run8
8,0.15734,run8
9,0.1565,run8
10,0.15193,run9
11,0.14901,run9
1,0.24911,run9
2,0.20898,run9
3,0.18747,run9
4,0.17346,run9
5,0.15977,run9
6,0.16052,run9
7,0.16102,run9
8,0.14862,run9
9,0.1482,run9
10,0.16034,run10
11,0.16156,run10
1,0.24976,run10
2,0.20997,run10
3,0.18872,run10
4,0.17955,run10
5,0.16103,run10
6,0.16515,run10
7,0.15571,run10
8,0.15725,run10
9,0.149,run10
