clusterNum,error,iteration
10,0.15414,run1
11,0.15615,run1
1,0.25233,run1
2,0.21052,run1
3,0.20065,run1
4,0.17566,run1
5,0.17084,run1
6,0.15606,run1
7,0.15785,run1
8,0.15169,run1
9,0.16201,run1
10,0.15635,run2
11,0.15732,run2
1,0.25236,run2
2,0.21279,run2
3,0.19534,run2
4,0.18079,run2
5,0.16718,run2
6,0.16537,run2
7,0.16512,run2
8,0.15368,run2
9,0.15526,run2
10,0.15695,run3
11,0.15375,run3
1,0.25169,run3
2,0.2081,run3
3,0.19046,run3
4,0.17324,run3
5,0.15785,run3
6,0.15764,run3
7,0.16681,run3
8,0.15301,run3
9,0.16264,run3
10,0.15304,run4
11,0.15033,run4
1,0.25438,run4
2,0.20857,run4
3,0.19002,run4
4,0.16985,run4
5,0.16523,run4
6,0.16203,run4
7,0.15872,run4
8,0.16007,run4
9,0.15983,run4
10,0.15559,run5
11,0.1535,run5
1,0.24933,run5
2,0.20942,run5
3,0.18589,run5
4,0.17171,run5
5,0.16956,run5
6,0.15817,run5
7,0.16125,run5
8,0.15529,run5
9,0.15651,run5
10,0.16124,run6
11,0.15841,run6
1,0.25144,run6
2,0.20928,run6
3,0.18889,run6
4,0.16908,run6
5,0.17226,run6
6,0.15914,run6
7,0.16276,run6
8,0.16174,run6
9,0.15822,run6
10,0.16341,run7
11,0.16257,run7
1,0.25177,run7
2,0.21362,run7
3,0.18706,run7
4,0.17164,run7
5,0.16629,run7
6,0.16428,run7
7,0.16663,run7
8,0.15441,run7
9,0.15802,run7
10,0.15788,run8
11,0.14967,run8
1,0.24765,run8
2,0.20763,run8
3,0.19563,run8
4,0.17558,run8
5,0.16753,run8
6,0.15944,run8
7,0.16918,run8
8,0.15394,run8
9,0.15752,run8
10,0.16181,run9
11,0.15858,run9
1,0.25502,run9
2,0.20898,run9
3,0.19221,run9
4,0.17188,run9
5,0.16332,run9
6,0.15895,run9
7,0.15312,run9
8,0.16087,run9
9,0.14864,run9
10,0.15175,run10
11,0.15248,run10
1,0.25185,run10
2,0.21051,run10
3,0.19741,run10
4,0.16991,run10
5,0.17272,run10
6,0.16093,run10
7,0.16178,run10
8,0.15363,run10
9,0.16612,run10
