MolecularSampleName,taxon,country,Elevation,Latitude,Longitude
CC2_E_rubra_Plate4,rubra,Chile,10,-41.39527778,-73.83333333
FZ100_E_leucantha_Plate4,leucantha,Chile,171,-39.96055556,-73.34777778
FZ101_E_rubra_Plate5,rubra,Chile,56,-41.3166667,-72.9833333
FZ102_E_rubra_Plate5,rubra,Chile,309,-41.1333333,-72.4166667
FZ103_E_rubra_Plate5,rubra,Chile,204,-41.1363889,-72.3991666
FZ104_E_rosea_Plate5,rosea,Chile,908,-41.1383333,-72.5355555
FZ105_E_rosea_Plate5,rosea,Chile,922,-41.14027,-72.53472
FZ106_E_rubra_Plate4,rubra,Chile,62,-41.22638889,-72.63833333
FZ107_E_rubra_Plate5,rubra,Chile,201,-39.4955555,-72.1541667
FZ110_E_rubra_Plate5,rubra,Chile,232,-39.6458333,-72.3208334
FZ112_E_alpina_Plate5,alpina,Chile,1050,-40.77527,-72.20388
FZ113_E_rosea_Plate5,rosea,Chile,721,-40.77,-72.27111
FZ114_E_rosea_Plate4,rosea,Chile,721,-40.77,-72.27111111
FZ115_E_rosea_Plate5,rosea,Chile,721,-40.77,-72.27111
FZ116_E_leucantha_Plate1,leucantha,Chile,90,-39.99833333,-73.00055556
FZ119_E_rubra_Plate4,rubra,Chile,954,-33.72916667,-70.47055556
FZ125_E_revoluta_Plate4,revoluta,Chile,1642,-32.99583333,-71.02944444
FZ126_E_myrtoidea_Plate4,myrtoidea,Chile,1650,-32.99305556,-71.02944444
FZ330_E_myrtoidea_Plate4,myrtoidea,Chile,1945,-33.3105556,-70.3252778
FZ331_E_alpina_Plate4,alpina,Chile,2033,-33.30055556,-70.31805556
FZ332_E_alpina_Plate5,alpina,Chile,2033,-33.30055,-70.31805
FZ333_E_myrtoidea_Plate4,myrtoidea,Chile,2034,-33.3005556,-70.3180556
FZ334_E_alpina_Plate5,alpina,Chile,2034,-33.30055,-70.31805
FZ335_E_alpina_Plate5,alpina,Chile,2037,-33.3,-70.31777
FZ336_E_alpina_Plate5,alpina,Chile,2008,-33.29666,-70.315
FZ337_E_alpina_Plate5,alpina,Chile,2005,-33.2966666,-70.315
FZ338_E_alpina_Plate4,alpina,Chile,1980,-33.29638889,-70.31444444
FZ347_E_myrtoidea_Plate1,myrtoidea,Chile,2086,-33.3002778,-70.3177778
FZ348_E_myrtoidea_Plate4,myrtoidea,Chile,2060,-33.3027778,-70.3197223
FZ352_E_myrtoidea_Plate5,myrtoidea,Chile,1901,-33.3177778,-70.3255556
FZ359_E_revoluta_Plate4,revoluta,Chile,399,-37.63666667,-72.78555556
FZ360_E_revoluta_Plate1,revoluta,Chile,375,-37.6483333,-72.7597222
FZ362_E_leucantha_Plate4,leucantha,Chile,773,-37.76861,-72.80083
FZ363_E_leucantha_Plate5,leucantha,Chile,773,-37.60194,-72.80083
