clusterNum,error,iteration
10,0.15656,run1
11,0.15036,run1
1,0.25231,run1
2,0.21055,run1
3,0.19002,run1
4,0.16576,run1
5,0.16219,run1
6,0.164,run1
7,0.16109,run1
8,0.15147,run1
9,0.15603,run1
10,0.15106,run2
11,0.15123,run2
1,0.25448,run2
2,0.20781,run2
3,0.18609,run2
4,0.16991,run2
5,0.16466,run2
6,0.1712,run2
7,0.15441,run2
8,0.1551,run2
9,0.14995,run2
10,0.15729,run3
11,0.15855,run3
1,0.25127,run3
2,0.20966,run3
3,0.19016,run3
4,0.17622,run3
5,0.16453,run3
6,0.16118,run3
7,0.154,run3
8,0.16128,run3
9,0.15197,run3
10,0.1512,run4
11,0.15527,run4
1,0.25464,run4
2,0.20981,run4
3,0.19397,run4
4,0.172,run4
5,0.16898,run4
6,0.15723,run4
7,0.16793,run4
8,0.15605,run4
9,0.15789,run4
10,0.15356,run5
11,0.15823,run5
1,0.25087,run5
2,0.21023,run5
3,0.187,run5
4,0.17043,run5
5,0.16308,run5
6,0.16091,run5
7,0.15793,run5
8,0.16303,run5
9,0.15525,run5
10,0.15153,run6
11,0.15011,run6
1,0.25407,run6
2,0.20814,run6
3,0.18544,run6
4,0.17015,run6
5,0.1619,run6
6,0.16556,run6
7,0.15464,run6
8,0.15795,run6
9,0.15619,run6
10,0.15015,run7
11,0.15352,run7
1,0.25255,run7
2,0.21503,run7
3,0.19963,run7
4,0.17248,run7
5,0.16603,run7
6,0.16293,run7
7,0.15603,run7
8,0.15765,run7
9,0.15859,run7
10,0.15428,run8
11,0.15416,run8
1,0.2525,run8
2,0.21367,run8
3,0.18222,run8
4,0.17013,run8
5,0.17153,run8
6,0.15805,run8
7,0.15753,run8
8,0.15933,run8
9,0.15327,run8
10,0.1541,run9
11,0.15984,run9
1,0.25287,run9
2,0.2086,run9
3,0.19071,run9
4,0.17033,run9
5,0.16458,run9
6,0.16642,run9
7,0.15977,run9
8,0.15883,run9
9,0.15335,run9
10,0.15549,run10
11,0.14794,run10
1,0.25159,run10
2,0.20922,run10
3,0.18841,run10
4,0.17135,run10
5,0.16225,run10
6,0.16176,run10
7,0.15746,run10
8,0.15558,run10
9,0.15396,run10
