,SampleName,SpeciesID,SpecimenID,taxon,country,Elevation,Latitude,Longitude,class.dim2.n0,probass.dim2.n0.g1,probass.dim2.n0.g2,probass.dim2.n0.g3,probass.dim2.n0.g4,probass.dim2.n0.g5,probass.dim2.n0.g6,NMDS1.dim2.n0,NMDS2.dim2.n0,class.dim3.n0,probass.dim3.n0.g1,probass.dim3.n0.g2,probass.dim3.n0.g3,probass.dim3.n0.g4,probass.dim3.n0.g5,probass.dim3.n0.g6,probass.dim3.n0.g7,probass.dim3.n0.g8,probass.dim3.n0.g9,NMDS1.dim3.n0,NMDS2.dim3.n0,NMDS3.dim3.n0,class.dim4.n0,probass.dim4.n0.g1,probass.dim4.n0.g2,probass.dim4.n0.g3,probass.dim4.n0.g4,probass.dim4.n0.g5,probass.dim4.n0.g6,probass.dim4.n0.g7,probass.dim4.n0.g8,probass.dim4.n0.g9,probass.dim4.n0.g10,NMDS1.dim4.n0,NMDS2.dim4.n0,NMDS3.dim4.n0,NMDS4.dim4.n0,class.dim5.n0,probass.dim5.n0.g1,probass.dim5.n0.g2,probass.dim5.n0.g3,probass.dim5.n0.g4,probass.dim5.n0.g5,probass.dim5.n0.g6,probass.dim5.n0.g7,probass.dim5.n0.g8,probass.dim5.n0.g9,NMDS1.dim5.n0,NMDS2.dim5.n0,NMDS3.dim5.n0,NMDS4.dim5.n0,NMDS5.dim5.n0,class.dim6.n0,probass.dim6.n0.g1,probass.dim6.n0.g2,probass.dim6.n0.g3,probass.dim6.n0.g4,probass.dim6.n0.g5,probass.dim6.n0.g6,probass.dim6.n0.g7,probass.dim6.n0.g8,probass.dim6.n0.g9,NMDS1.dim6.n0,NMDS2.dim6.n0,NMDS3.dim6.n0,NMDS4.dim6.n0,NMDS5.dim6.n0,NMDS6.dim6.n0,class.dim7.n0,probass.dim7.n0.g1,probass.dim7.n0.g2,probass.dim7.n0.g3,probass.dim7.n0.g4,probass.dim7.n0.g5,probass.dim7.n0.g6,probass.dim7.n0.g7,probass.dim7.n0.g8,probass.dim7.n0.g9,probass.dim7.n0.g10,NMDS1.dim7.n0,NMDS2.dim7.n0,NMDS3.dim7.n0,NMDS4.dim7.n0,NMDS5.dim7.n0,NMDS6.dim7.n0,NMDS7.dim7.n0,class.dim8.n0,probass.dim8.n0.g1,probass.dim8.n0.g2,probass.dim8.n0.g3,probass.dim8.n0.g4,probass.dim8.n0.g5,probass.dim8.n0.g6,probass.dim8.n0.g7,probass.dim8.n0.g8,probass.dim8.n0.g9,probass.dim8.n0.g10,NMDS1.dim8.n0,NMDS2.dim8.n0,NMDS3.dim8.n0,NMDS4.dim8.n0,NMDS5.dim8.n0,NMDS6.dim8.n0,NMDS7.dim8.n0,NMDS8.dim8.n0
1,CC2_E_rubra_Plate4,CC2_E_rubra,CC2,rubra,Chile,10,-41.39527778,-73.83333333,2,0.037670918,0.961759536,9.49E-68,0.000569546,3.02E-19,1.16E-229,0.039134827,-0.073584549,3,7.52E-07,1.76E-87,0.946062095,8.66E-40,0.053937124,2.96E-08,1.56E-196,2.85E-47,1.64E-30,-0.023409419,-0.042327095,0.031051328,3,7.84E-107,0.000762428,0.99923757,2.55E-39,7.86E-27,2.32E-09,0,7.68E-24,4.70E-25,0,-0.016548187,0.004599628,-0.025730309,-0.016239577,3,4.10E-06,1.01E-114,0.999569404,3.43E-29,0.000426494,0,9.14E-40,8.13E-26,0,-0.032229441,0.044279718,0.000386941,-0.05137741,-0.021489581,4,1.80E-155,7.87E-17,0.002103733,0.997896267,7.82E-50,0,5.81E-43,4.94E-52,0,0.017310758,0.029961248,-0.022730568,0.017967681,-0.005388544,-0.010997322,3,1.51E-11,3.91E-148,0.999890807,0.000109193,0,2.42E-127,2.24E-50,2.36E-47,0,0,-0.018344656,-0.030352051,0.023441764,0.018026674,-0.006330178,-0.001886024,-0.015092725,3,2.47E-11,5.79E-156,0.999983271,1.67E-05,0,5.34E-293,6.08E-49,3.29E-52,0,2.18E-151,-0.033830705,-0.038972641,0.042817613,0.016705383,0.010059772,-0.013706406,-0.003476371,0.001261607
2,FZ101_E_rubra_Plate5,FZ101_E_rubra,FZ101,rubra,Chile,56,-41.3166667,-72.9833333,2,0.024390311,0.974633853,2.84E-64,0.000975835,1.67E-19,3.65E-240,0.032599147,-0.075526107,3,7.38E-08,6.82E-85,0.994849182,5.75E-43,0.005150718,2.60E-08,1.10E-215,1.00E-50,8.22E-31,-0.019221306,-0.047094431,0.027664812,3,3.27E-103,0.00026417,0.999735828,1.55E-39,2.19E-29,1.77E-09,0,9.34E-23,3.77E-25,0,-0.01490984,0.007955698,-0.026467805,-0.014879266,3,2.34E-07,3.12E-111,0.999979193,1.05E-29,2.06E-05,0,8.76E-39,3.21E-28,0,-0.025350452,0.041475162,-0.001346662,-0.047917721,-0.037009746,4,3.08E-154,9.79E-19,0.000228499,0.999771501,1.12E-50,0,1.37E-44,1.34E-51,0,0.016141222,0.03014283,-0.025337653,0.018485779,0.00076302,-0.002581221,3,3.85E-13,8.51E-145,0.999996724,3.28E-06,0,9.14E-128,4.76E-52,4.22E-49,0,0,-0.016495038,-0.0306141,0.024552852,0.021935288,0.003827288,-0.006845811,-0.003200499,3,9.91E-13,3.32E-141,0.999999419,5.81E-07,0,1.32E-283,6.63E-48,2.03E-51,0,1.22E-154,-0.022185683,-0.036564024,0.043176604,0.024485491,-0.000140406,-0.010890955,-0.018697623,0.013367296
3,FZ102_E_rubra_Plate5,FZ102_E_rubra,FZ102,rubra,Chile,309,-41.1333333,-72.4166667,2,0.001486873,0.998325255,1.89E-71,0.000187872,2.23E-23,1.24E-301,0.035296039,-0.097928548,3,9.10E-10,3.46E-92,0.999897606,7.30E-50,0.000102393,5.38E-10,1.52E-254,9.40E-52,2.77E-35,-0.019730384,-0.057470702,0.023582808,3,1.52E-103,0.0001713,0.999824928,2.97E-38,3.97E-36,3.77E-06,0,1.58E-18,1.02E-31,0,-0.013105999,0.016322385,-0.030614996,-0.001518382,3,2.81E-07,3.36E-111,0.999562386,2.42E-35,0.000437333,0,1.01E-30,1.56E-35,0,-0.023113538,0.061369306,0.001788921,-0.019345988,-0.044193607,4,9.81E-159,1.17E-19,0.000880683,0.999119317,9.96E-60,0,2.15E-54,3.04E-44,0,0.015659374,0.037799255,-0.022629703,-0.001277965,0.011978218,-0.002030646,3,1.57E-13,3.53E-153,0.999883692,0.000116308,0,8.48E-150,1.05E-64,4.66E-41,0,0,-0.016418303,-0.039433129,0.023626522,0.001044915,0.011847822,0.000715332,-0.000445416,3,2.25E-13,1.20E-149,0.999905558,9.44E-05,0,0,1.29E-36,1.06E-62,0,1.00E-194,-0.018140044,-0.051267114,0.036704009,-0.001164476,-0.019219473,-0.008404267,-0.022723119,0.0028435
4,FZ103_E_rubra_Plate5,FZ103_E_rubra,FZ103,rubra,Chile,204,-41.1363889,-72.3991666,2,0.000224263,0.999020986,3.32E-64,0.000754751,5.61E-25,0,0.017580879,-0.108078087,3,6.06E-12,1.62E-89,0.999975142,2.09E-54,2.49E-05,1.45E-09,3.92E-296,1.95E-78,2.12E-34,-0.011164828,-0.064414345,0.026459916,3,1.02E-103,3.49E-05,0.999965146,5.36E-47,4.07E-37,9.31E-11,0,2.02E-23,2.01E-25,0,-0.01168804,0.016072241,-0.030901109,-0.016014649,3,1.50E-08,1.58E-109,0.999997152,1.04E-35,2.83E-06,0,1.45E-39,2.50E-29,0,-0.016805479,0.051339124,-0.012736158,-0.047744372,-0.047459668,4,6.15E-150,2.50E-22,7.90E-05,0.999921014,3.29E-58,0,2.28E-48,1.35E-51,0,0.010307192,0.035600381,-0.027172172,0.018738171,0.013536785,-0.005478057,3,7.68E-15,9.07E-147,0.999999725,2.75E-07,0,7.47E-144,2.93E-60,6.15E-47,0,0,-0.012245061,-0.035692656,0.026319065,0.01853593,0.013533893,0.006907945,-0.013789589,3,3.87E-15,1.35E-152,0.999999966,3.40E-08,0,0,4.69E-48,1.34E-64,0,3.99E-179,-0.021182297,-0.047317731,0.049381039,0.024578805,-0.016613194,0.000671899,-0.000788401,0.001232726
5,FZ106_E_rubra_Plate4,FZ106_E_rubra,FZ106,rubra,Chile,62,-41.22638889,-72.63833333,2,0.005540422,0.994387859,3.87E-78,7.17E-05,2.44E-22,4.88E-271,0.049261904,-0.090999662,3,5.14E-09,1.07E-99,0.999495491,1.28E-47,0.000504504,5.98E-11,8.78E-236,4.06E-41,4.98E-37,-0.027560077,-0.053859634,0.027289822,3,4.38E-114,9.71E-05,0.999902873,1.41E-40,3.55E-33,1.15E-09,0,3.73E-25,4.00E-29,0,-0.018053432,0.011481056,-0.028498579,-0.013362677,3,2.30E-07,1.03E-120,0.99996735,3.59E-34,3.24E-05,0,1.03E-40,2.77E-31,0,-0.033101933,0.05238453,-0.004733336,-0.04327614,-0.034613563,4,1.92E-169,3.58E-19,0.000171111,0.999828889,8.32E-58,0,1.71E-50,8.42E-56,0,0.019211886,0.03604656,-0.022728927,0.015193432,0.001079009,-0.005416132,3,1.64E-13,1.51E-159,0.99999758,2.42E-06,0,9.19E-143,1.69E-59,4.26E-50,0,0,-0.019796711,-0.035898044,0.023369618,0.016391391,0.002429163,0.002881458,-0.01054117,3,1.70E-13,1.45E-162,0.999999486,5.14E-07,0,0,2.63E-50,3.68E-61,0,1.12E-174,-0.031500021,-0.046616125,0.041968499,0.018976324,-0.004546827,-0.003553376,-0.007492619,0.008342417
6,FZ107_E_rubra_Plate5,FZ107_E_rubra,FZ107,rubra,Chile,201,-39.4955555,-72.1541667,2,0.000290464,0.9996735,1.89E-81,3.60E-05,5.07E-26,0,0.044739958,-0.112485993,3,1.76E-11,2.83E-107,0.999991131,1.35E-56,8.87E-06,2.56E-12,3.52E-295,1.24E-54,1.27E-41,-0.025349363,-0.06784956,0.022648326,3,1.11E-117,2.39E-05,0.999976114,5.31E-45,2.18E-39,1.61E-09,0,3.32E-25,7.73E-32,0,-0.016717452,0.01784585,-0.032611791,-0.010529481,3,1.66E-08,6.22E-121,0.999995718,4.12E-36,4.27E-06,0,8.80E-40,4.77E-37,0,-0.022289692,0.051645692,-0.007032209,-0.034016987,-0.062285304,4,1.92E-170,1.27E-22,5.12E-05,0.99994884,3.72E-59,0,3.43E-56,1.10E-54,0,0.017084742,0.036328856,-0.028533267,0.012691475,0.015466768,0.006700202,3,2.00E-15,4.64E-161,0.999999791,2.09E-07,0,9.39E-147,1.82E-64,5.75E-51,0,0,-0.016951251,-0.037047117,0.027060048,0.017953795,0.015899623,0.006933236,0.003469685,3,2.49E-15,3.28E-155,0.999999976,2.37E-08,0,0,1.34E-47,1.34E-62,0,7.56E-180,-0.018832067,-0.04295016,0.048379201,0.019812931,-0.017953534,-0.00245796,-0.030757189,-0.005407
7,FZ110_E_rubra_Plate5,FZ110_E_rubra,FZ110,rubra,Chile,232,-39.6458333,-72.3208334,2,2.46E-05,0.999972821,2.31E-102,2.53E-06,2.61E-30,0,0.065317103,-0.135274657,3,2.06E-13,2.85E-127,0.99999289,3.45E-62,7.11E-06,7.75E-15,0,1.28E-67,5.80E-48,-0.033295686,-0.076436395,0.02978478,3,1.34E-137,1.10E-05,0.999988977,2.01E-52,2.45E-41,8.13E-11,0,2.60E-31,5.32E-35,0,-0.021335779,0.016720245,-0.036549199,-0.014963205,3,2.09E-09,1.45E-140,0.999998537,4.61E-39,1.46E-06,0,3.24E-49,7.75E-39,0,-0.031994172,0.056962425,-0.006967051,-0.048656076,-0.060149208,4,3.55E-198,1.13E-24,5.78E-05,0.999942185,1.85E-64,0,1.68E-60,1.58E-67,0,0.021920271,0.040900395,-0.030983448,0.018601426,0.006938332,0.005621709,3,2.27E-16,9.09E-183,0.999999945,5.53E-08,0,1.12E-156,1.96E-67,4.64E-61,0,0,-0.020799798,-0.039543342,0.02943889,0.025057946,0.008639043,0.00926289,-7.10E-05,3,6.63E-16,3.41E-176,0.999999977,2.28E-08,0,0,5.78E-58,2.89E-66,0,2.87E-194,-0.027011517,-0.051087107,0.049050478,0.028480514,-0.009257868,0.012070512,-0.022159922,0.011042544
8,FZ119_E_rubra_Plate4,FZ119_E_rubra,FZ119,rubra,Chile,954,-33.72916667,-70.47055556,2,2.56E-05,0.999969023,2.79E-96,5.33E-06,7.53E-30,0,0.057143709,-0.133309723,3,1.23E-13,3.05E-119,0.999732258,1.88E-55,0.000267742,9.22E-14,4.63E-302,6.03E-79,7.46E-42,-0.029434443,-0.064791439,0.047440432,3,1.80E-130,1.19E-05,0.999984612,3.47E-51,2.55E-41,3.45E-06,0,1.17E-24,3.74E-39,0,-0.017192818,0.016216847,-0.040327771,-0.001205268,3,6.39E-09,1.90E-138,0.998502713,3.46E-39,0.00149728,0,1.50E-39,3.87E-40,0,-0.031571932,0.076769867,0.015043914,-0.032710016,-0.041234777,4,1.56E-193,6.59E-25,0.001294018,0.998705982,7.41E-65,0,1.85E-65,3.67E-56,0,0.02050587,0.042066149,-0.032122461,-0.004169469,0.008605488,-0.008335881,3,1.22E-16,1.46E-186,0.999658498,0.000341502,0,5.56E-160,3.69E-68,2.36E-54,0,0,-0.020112027,-0.042240214,0.034208315,0.004867372,-0.001748403,-0.004888523,0.009118392,3,7.40E-14,4.84E-163,0.999439584,0.000560416,0,0,1.40E-41,1.74E-58,0,8.55E-190,-0.01850003,-0.045604469,0.045636108,-0.006567662,-0.004543778,-0.020288566,-0.045767353,-0.007299013
9,FZ406_E_rubra_Plate1,FZ406_E_rubra,FZ406,rubra,Chile,803,-37.39333333,-71.46277778,2,0.000144775,0.99982348,1.81E-82,3.17E-05,6.79E-27,0,0.043805133,-0.117522305,3,2.16E-12,1.22E-105,0.999882596,3.60E-53,0.000117404,4.34E-12,1.85E-282,3.82E-69,2.56E-38,-0.02342204,-0.061522105,0.038685262,3,4.36E-123,5.36E-06,0.999994627,1.80E-53,5.90E-33,1.10E-08,0,2.00E-26,8.31E-32,0,-0.016014929,0.005118502,-0.037531427,-0.012440263,3,6.10E-09,3.28E-123,0.999990578,1.24E-30,9.42E-06,0,3.06E-40,2.01E-37,0,-0.017348612,0.042099756,0.008167155,-0.040416199,-0.068337684,4,4.47E-170,1.56E-23,0.00025701,0.99974299,1.78E-50,0,1.33E-56,2.49E-53,0,0.017616697,0.029128395,-0.036092747,0.011202849,0.016667039,0.008945752,3,1.05E-15,3.23E-160,0.999998427,1.57E-06,0,1.83E-127,3.17E-64,2.93E-50,0,0,-0.01729214,-0.030200541,0.033508772,0.017278723,0.01905176,0.005242833,0.009388697,3,7.78E-15,3.58E-148,0.999999738,2.62E-07,0,3.50E-291,1.32E-45,3.23E-63,0,1.82E-165,-0.012999762,-0.038239189,0.051650795,0.01843819,-0.024082346,0.00993127,-0.031285858,0.010687131
10,FZ425_E_rubra_Plate4,FZ425_E_rubra,FZ425,rubra,Chile,798,-38.53947222,-71.67588889,2,9.04E-05,0.999899421,1.66E-90,1.02E-05,5.17E-28,0,0.0536441,-0.12319495,3,8.59E-13,1.97E-115,0.999977375,4.37E-57,2.26E-05,1.55E-13,1.69E-302,1.01E-63,6.47E-43,-0.028627793,-0.067854158,0.034097629,3,2.40E-129,3.35E-06,0.999996608,7.28E-53,9.74E-37,4.52E-08,0,7.49E-27,1.33E-35,0,-0.017742469,0.009509466,-0.039076995,-0.008472658,3,9.17E-09,8.38E-129,0.99994314,7.16E-33,5.69E-05,0,2.52E-38,6.30E-42,0,-0.019991845,0.050527552,0.011803181,-0.028282062,-0.071868174,4,8.60E-174,3.96E-24,0.00037218,0.99962782,7.64E-54,0,4.18E-62,4.66E-53,0,0.017791394,0.031642598,-0.03550702,0.005674106,0.0227145,-0.001869995,3,1.36E-15,3.26E-167,0.999994107,5.89E-06,0,1.65E-135,2.28E-74,8.36E-48,0,0,-0.019156871,-0.033218161,0.033155342,0.007066936,0.024922024,0.006720765,-0.004330925,3,2.96E-15,3.42E-166,0.999999437,5.63E-07,0,0,4.68E-45,1.26E-73,0,5.88E-177,-0.02137909,-0.04514733,0.053279949,0.008456961,-0.031186129,0.012470087,-0.015431934,-0.001190516
