MolecularSampleName,deme4,deme2,deme1,deme3
CC2_E_rubra_Plate4,0.940536831,0.019783373,0.02023898,0.019440817
FZ101_E_rubra_Plate5,0.84663971,0.050109424,0.05536356,0.047887306
FZ102_E_rubra_Plate5,0.84476424,0.052164335,0.054207316,0.04886411
FZ103_E_rubra_Plate5,0.888608108,0.038158167,0.037166841,0.036066884
FZ106_E_rubra_Plate4,0.935378176,0.021589544,0.022285269,0.020747011
FZ107_E_rubra_Plate5,0.668777904,0.109988524,0.108545027,0.112688545
FZ110_E_rubra_Plate5,0.926231046,0.024466953,0.025200156,0.024101844
FZ119_E_rubra_Plate4,0.890594006,0.034739895,0.036257066,0.038409033
FZ406_E_rubra_Plate1,0.935676529,0.02234385,0.021547232,0.020432389
FZ425_E_rubra_Plate4,0.955725484,0.01477568,0.015209497,0.014289339
FZ439_E_rubra_Plate1,0.970689323,0.009610644,0.010556458,0.009143575
FZ440_E_rubra_Plate5,0.978547324,0.007106303,0.007600232,0.006746141
FZ441_E_rubra_Plate4,0.988218687,0.004110708,0.003983129,0.003687475
FZ442_E_rubra_Plate4,0.99136597,0.002846591,0.003093957,0.002693483
FZ443_E_rubra_Plate4,0.986271043,0.004688962,0.004622769,0.004417226
FZ444_E_rubra_Plate4,0.990621555,0.003155826,0.003263073,0.002959545
FZ445_E_rubra_Plate4,0.986176166,0.004760603,0.0048241,0.004239131
FZ446_E_rubra_Plate4,0.988719908,0.003885097,0.003782599,0.003612396
FZ447_E_rubra_Plate4,0.984907446,0.005150373,0.005102498,0.004839683
FZ500_E_rubra_Plate4,0.9621396,0.0126315,0.01275335,0.01247555
FZ533_E_rubra_Plate1,0.953406878,0.015665005,0.015859008,0.015069109
FZ97_E_rubra_Plate5,0.729108031,0.095566756,0.086175349,0.089149864
FZ98_E_rubra_Plate5,0.894755548,0.03623775,0.036766879,0.032239823
PHV318_E_rubra_Plate4,0.388863871,0.207707054,0.205577122,0.197851953
FZ100_E_leucantha_Plate4,0.033071629,0.957753407,0.004959243,0.004215721
FZ116_E_leucantha_Plate1,0.157222979,0.596692,0.122816558,0.123268464
FZ362_E_leucantha_Plate4,0.1684312,0.172388123,0.491519824,0.167660853
FZ363_E_leucantha_Plate5,0.11400795,0.115824499,0.659872105,0.110295447
FZ367_E_leucantha_Plate4,0.023544583,0.02230345,0.933055205,0.021096762
FZ368_E_leucantha_Plate5,0.017161134,0.159041163,0.809264991,0.014532711
FZ383_E_leucantha_Plate1,0.161055819,0.54587815,0.156932079,0.136133951
FZ384_E_leucantha_Plate4,0.178291826,0.787571084,0.018108304,0.016028786
FZ385_E_leucantha_Plate4,0.210241474,0.764904481,0.011506836,0.01334721
FZ390_E_leucantha_Plate4,0.300108628,0.676406471,0.013497485,0.009987415
FZ104_E_rosea_Plate5,0.714324834,0.098965851,0.097540134,0.089169181
FZ105_E_rosea_Plate5,0.735289328,0.087326249,0.090183897,0.087200526
FZ113_E_rosea_Plate5,0.825720968,0.05738976,0.060098446,0.056790825
FZ114_E_rosea_Plate4,0.968238921,0.010518144,0.010959356,0.010283579
FZ115_E_rosea_Plate5,0.835106636,0.055593432,0.056789976,0.052509956
FZ366_E_rosea_Plate4,0.505267988,0.005017909,0.486006231,0.003707872
FZ379_E_rosea_Plate1,0.915793933,0.027139408,0.029876795,0.027189865
FZ395_E_rosea_Plate4,0.97964938,0.006691062,0.007041099,0.006618459
FZ426_E_rosea_Plate4,0.938420599,0.020396065,0.021474977,0.019708359
FZ427_E_rosea_Plate4,0.979965596,0.006715824,0.00694476,0.00637382
FZ428_E_rosea_Plate4,0.966137686,0.011203009,0.011780847,0.010878458
FZ456_E_rosea_Plate1,0.977469843,0.007720634,0.007633992,0.007175531
FZ457_E_rosea_Plate4,0.936730544,0.021982124,0.020832312,0.02045502
FZ466_E_rosea_Plate4,0.966164242,0.013030887,0.011064658,0.009740212
FZ467_E_rosea_Plate5,0.961619402,0.014279232,0.012528929,0.011572438
FZ477_E_rosea_Plate4,0.959298407,0.013447103,0.014003017,0.013251473
FZ478_E_rosea_Plate5,0.971708658,0.009809529,0.009617684,0.00886413
FZ510_E_rosea_Plate4,0.899993857,0.034369471,0.033643057,0.031993615
FZ527_E_rosea_Plate1,0.454981088,0.510963702,0.016382031,0.017673179
FZ532_E_rosea_Plate4,0.971557814,0.010288384,0.009327869,0.008825933
FZ112_E_alpina_Plate5,0.852546831,0.0528171,0.042614137,0.052021933
FZ331_E_alpina_Plate4,0.444105427,0.54306482,0.006557902,0.006271852
FZ332_E_alpina_Plate5,0.43126069,0.523048712,0.023304171,0.022386427
FZ334_E_alpina_Plate5,0.42294933,0.43896558,0.071699661,0.066385429
FZ335_E_alpina_Plate5,0.362585073,0.312265041,0.172828561,0.152321325
FZ336_E_alpina_Plate5,0.313663639,0.631843431,0.028094887,0.026398043
FZ337_E_alpina_Plate5,0.300535993,0.544884872,0.07025902,0.084320115
FZ338_E_alpina_Plate4,0.886458009,0.023130272,0.025279649,0.065132069
FZ400_E_alpina_Plate4,0.912228704,0.019576401,0.016932967,0.051261928
FZ416_E_alpina_Plate5,0.573522256,0.145796446,0.14013291,0.140548388
FZ422_E_alpina_Plate5,0.823835422,0.058268998,0.043885836,0.074009744
FZ424_E_alpina_Plate4,0.958524964,0.013680761,0.01403332,0.013760955
FZ479_E_alpina_Plate4,0.986527476,0.005003447,0.004356078,0.004113
FZ489_E_alpina_Plate4,0.975876783,0.008129562,0.008176421,0.007817234
FZ518_E_alpina_Plate4,0.888043328,0.024859042,0.029927437,0.057170193
FZ523_E_alpina_Plate1,0.906362875,0.026786105,0.025308789,0.04154223
FZ92_E_alpina_Plate5,0.362100567,0.56425902,0.04443485,0.029205562
FZ94_E_alpina_Plate5,0.907435023,0.01786641,0.019194948,0.055503618
PHV336_E_alpina_Plate4,0.854490939,0.029649468,0.035246268,0.080613325
FZ125_E_revoluta_Plate4,0.017640524,0.948974085,0.017084247,0.016301144
FZ359_E_revoluta_Plate4,0.008345869,0.97590314,0.00817197,0.007579021
FZ360_E_revoluta_Plate1,0.096973169,0.726964465,0.089687739,0.086374626
FZ365_E_revoluta_Plate4,0.00960412,0.971957562,0.009393653,0.009044664
FZ413_E_revoluta_Plate5,0.014984128,0.956498724,0.014084153,0.014432995
FZ454_E_revoluta_Plate4,0.008606968,0.974399661,0.008670496,0.008322875
FZ491_E_revoluta_Plate1,0.00630444,0.981549851,0.006267646,0.005878063
FZ495_E_revoluta_Plate4,0.008451616,0.97570395,0.008164942,0.007679492
FZ499_E_revoluta_Plate4,0.00595947,0.982355749,0.005820562,0.00586422
FZ501_E_revoluta_Plate4,0.078010962,0.770370508,0.078567841,0.073050689
FZ503_E_revoluta_Plate4,0.006809284,0.980276922,0.006583214,0.00633058
FZ126_E_myrtoidea_Plate4,0.011762454,0.965743342,0.011506654,0.01098755
FZ330_E_myrtoidea_Plate4,0.00710485,0.979048255,0.007265363,0.006581532
FZ333_E_myrtoidea_Plate4,0.022130935,0.932347087,0.023310404,0.022211574
FZ347_E_myrtoidea_Plate1,0.014807792,0.956408419,0.014968754,0.013815035
FZ348_E_myrtoidea_Plate4,0.00953999,0.972000874,0.009344724,0.009114411
FZ352_E_myrtoidea_Plate5,0.017391458,0.948532762,0.017229294,0.016846486
FZ496_E_myrtoidea_Plate4,0.008097131,0.976871304,0.007624481,0.007407084
FZ497_E_myrtoidea_Plate4,0.008199242,0.976389032,0.007755716,0.007656011
FZ542_E_myrtoidea_Plate1,0.151371887,0.572309489,0.146881864,0.129436759
FZ544_E_myrtoidea_Plate4,0.009057275,0.973526572,0.008971876,0.008444276
FZ429_E_florida_Plate1,0.0197196,0.019617699,0.941921699,0.018741001
FZ430_E_florida_Plate4,0.023715397,0.023283603,0.931194974,0.021806026
FZ431_E_florida_Plate1,0.192694675,0.185695859,0.446049839,0.175559627
FZ432_E_florida_Plate4,0.057919292,0.05697085,0.831224601,0.053885257
FZ433_E_florida_Plate4,0.020548252,0.020197113,0.939797741,0.019456894
FZ434_E_florida_Plate4,0.021458072,0.021112866,0.937294514,0.020134547
FZ435_E_florida_Plate4,0.021502516,0.021555938,0.936794439,0.020147107
FZ436_E_florida_Plate4,0.390114666,0.002153857,0.605693785,0.002037692
FZ437_E_florida_Plate4,0.371346933,0.017155541,0.583007337,0.028490189
FZ438_E_florida_Plate4,0.376934803,0.010083651,0.603685494,0.009296053
FZ448_E_florida_Plate4,0.392345252,0.017733987,0.571338825,0.018581936
FZ449_E_florida_Plate4,0.393188267,0.003656983,0.599099626,0.004055123
FZ450_E_florida_Plate5,0.385991937,0.004454575,0.607482663,0.002070825
FZ451_E_florida_Plate4,0.444016747,0.003015968,0.551338552,0.001628733
FZ452_E_florida_Plate4,0.438073419,0.006821414,0.550638548,0.004466619
