MolecularSampleName,group1,group2
CC2_E_rubra_Plate4,0.999,0.001
FZ101_E_rubra_Plate5,0.998,0.002
FZ102_E_rubra_Plate5,0.999,0.001
FZ103_E_rubra_Plate5,0.996,0.004
FZ106_E_rubra_Plate4,0.999,0.001
FZ107_E_rubra_Plate5,0.999,0.001
FZ110_E_rubra_Plate5,0.999,0.001
FZ119_E_rubra_Plate4,0.997,0.003
FZ406_E_rubra_Plate1,0.995,0.005
FZ425_E_rubra_Plate4,0.999,0.001
FZ439_E_rubra_Plate1,0.999,0.001
FZ440_E_rubra_Plate5,1,0
FZ441_E_rubra_Plate4,1,0
FZ442_E_rubra_Plate4,1,0
FZ443_E_rubra_Plate4,1,0
FZ444_E_rubra_Plate4,1,0
FZ445_E_rubra_Plate4,0.9998,0.0002
FZ446_E_rubra_Plate4,1,0
FZ447_E_rubra_Plate4,1,0
FZ500_E_rubra_Plate4,0.9937,0.0063
FZ533_E_rubra_Plate1,0.999,0.001
FZ97_E_rubra_Plate5,0.999,0.001
FZ98_E_rubra_Plate5,0.9954,0.0046
PHV318_E_rubra_Plate4,0.998,0.002
FZ100_E_leucantha_Plate4,0.115,0.885
FZ116_E_leucantha_Plate1,0.1578,0.8422
FZ362_E_leucantha_Plate4,0.991,0.009
FZ363_E_leucantha_Plate5,0.9346,0.0654
FZ367_E_leucantha_Plate4,0.998,0.002
FZ368_E_leucantha_Plate5,0.8391,0.1609
FZ383_E_leucantha_Plate1,0.1659,0.8341
FZ384_E_leucantha_Plate4,0.2308,0.7692
FZ385_E_leucantha_Plate4,0.256,0.744
FZ390_E_leucantha_Plate4,0.3333,0.6667
FZ104_E_rosea_Plate5,0.998,0.002
FZ105_E_rosea_Plate5,0.999,0.001
FZ113_E_rosea_Plate5,0.999,0.001
FZ114_E_rosea_Plate4,0.999,0.001
FZ115_E_rosea_Plate5,0.997,0.003
FZ366_E_rosea_Plate4,0.996,0.004
FZ379_E_rosea_Plate1,0.998,0.002
FZ395_E_rosea_Plate4,0.999,0.001
FZ426_E_rosea_Plate4,0.999,0.001
FZ427_E_rosea_Plate4,0.999,0.001
FZ428_E_rosea_Plate4,1,0
FZ456_E_rosea_Plate1,0.9991,0.0009
FZ457_E_rosea_Plate4,0.998,0.002
FZ466_E_rosea_Plate4,0.9402,0.0598
FZ467_E_rosea_Plate5,0.9461,0.0539
FZ477_E_rosea_Plate4,0.999,0.001
FZ478_E_rosea_Plate5,0.999,0.001
FZ510_E_rosea_Plate4,0.999,0.001
FZ527_E_rosea_Plate1,0.4727,0.5273
FZ532_E_rosea_Plate4,0.9955,0.0045
FZ112_E_alpina_Plate5,0.999,0.001
FZ331_E_alpina_Plate4,0.4881,0.5119
FZ332_E_alpina_Plate5,0.4835,0.5165
FZ334_E_alpina_Plate5,0.6028,0.3972
FZ335_E_alpina_Plate5,0.5569,0.4431
FZ336_E_alpina_Plate5,0.3746,0.6254
FZ337_E_alpina_Plate5,0.4057,0.5943
FZ338_E_alpina_Plate4,0.9945,0.0055
FZ400_E_alpina_Plate4,0.998,0.002
FZ416_E_alpina_Plate5,0.9889,0.0111
FZ422_E_alpina_Plate5,0.999,0.001
FZ424_E_alpina_Plate4,0.999,0.001
FZ479_E_alpina_Plate4,0.993,0.007
FZ489_E_alpina_Plate4,0.995,0.005
FZ518_E_alpina_Plate4,0.999,0.001
FZ523_E_alpina_Plate1,0.999,0.001
FZ92_E_alpina_Plate5,0.4323,0.5677
FZ94_E_alpina_Plate5,0.995,0.005
PHV336_E_alpina_Plate4,0.9986,0.0014
FZ125_E_revoluta_Plate4,0.001,0.999
FZ359_E_revoluta_Plate4,0,1
FZ360_E_revoluta_Plate1,0.001,0.999
FZ365_E_revoluta_Plate4,0,1
FZ413_E_revoluta_Plate5,0.001,0.999
FZ454_E_revoluta_Plate4,0,1
FZ491_E_revoluta_Plate1,0,1
FZ495_E_revoluta_Plate4,0.001,0.999
FZ499_E_revoluta_Plate4,0,1
FZ501_E_revoluta_Plate4,0,1
FZ503_E_revoluta_Plate4,0,1
FZ126_E_myrtoidea_Plate4,0,1
FZ330_E_myrtoidea_Plate4,0.001,0.999
FZ333_E_myrtoidea_Plate4,0,1
FZ347_E_myrtoidea_Plate1,0,1
FZ348_E_myrtoidea_Plate4,0,1
FZ352_E_myrtoidea_Plate5,0.0001,0.9999
FZ496_E_myrtoidea_Plate4,0.001,0.999
FZ497_E_myrtoidea_Plate4,0.001,0.999
FZ542_E_myrtoidea_Plate1,0.001,0.999
FZ544_E_myrtoidea_Plate4,0,1
FZ429_E_florida_Plate1,0.999,0.001
FZ430_E_florida_Plate4,0.999,0.001
FZ431_E_florida_Plate1,0.997,0.003
FZ432_E_florida_Plate4,0.999,0.001
FZ433_E_florida_Plate4,0.999,0.001
FZ434_E_florida_Plate4,0.999,0.001
FZ435_E_florida_Plate4,0.999,0.001
FZ436_E_florida_Plate4,1,0
FZ437_E_florida_Plate4,1,0
FZ438_E_florida_Plate4,1,0
FZ448_E_florida_Plate4,1,0
FZ449_E_florida_Plate4,1,0
FZ450_E_florida_Plate5,1,0
FZ451_E_florida_Plate4,0.999,0.001
FZ452_E_florida_Plate4,0.999,0.001
