species,morpho_trait,min,max
alpina,LAMLEN,7,40
florida,LAMLEN,15,25
leucantha,LAMLEN,10,35
myrtoidea,LAMLEN,25,45
revoluta,LAMLEN,20,60
rosea,LAMLEN,10,40
rubra,LAMLEN,12,80
alpina,LAMWID,3,15
florida,LAMWID,3,5
leucantha,LAMWID,6,12
myrtoidea,LAMWID,10,22
revoluta,LAMWID,12,25
rosea,LAMWID,4,13
rubra,LAMWID,5,45
alpina,INFLLEN,20,70
florida,INFLLEN,25,45
leucantha,INFLLEN,25,65
myrtoidea,INFLLEN,20,70
revoluta,INFLLEN,35,60
rosea,INFLLEN,30,70
rubra,INFLLEN,10,120
alpina,PEDLEN,1.5,5
florida,PEDLEN,1,2.5
leucantha,PEDLEN,1,3
myrtoidea,PEDLEN,0.1,2
revoluta,PEDLEN,2,4
rosea,PEDLEN,3,7
rubra,PEDLEN,3,15
alpina,CALYTUBLEN,0.5,1.5
florida,CALYTUBLEN,1,2
leucantha,CALYTUBLEN,0.5,1.5
myrtoidea,CALYTUBLEN,1.5,2
revoluta,CALYTUBLEN,1,2
rosea,CALYTUBLEN,1,1.7
rubra,CALYTUBLEN,1,2
alpina,CALLOBLEN,1.5,3
florida,CALLOBLEN,0.5,1.5
leucantha,CALLOBLEN,0.5,0.7
myrtoidea,CALLOBLEN,0.7,1.2
revoluta,CALLOBLEN,1.5,2
rosea,CALLOBLEN,1,2
rubra,CALLOBLEN,1.5,5
alpina,PETLEN,8,18
florida,PETLEN,5.5,7
leucantha,PETLEN,5,7.5
myrtoidea,PETLEN,8.5,9.5
revoluta,PETLEN,11,12
rosea,PETLEN,7,11
rubra,PETLEN,8,18
alpina,PETWID,1,3
florida,PETWID,2,2.5
leucantha,PETWID,2,3
myrtoidea,PETWID,1.5,2.5
revoluta,PETWID,2,3
rosea,PETWID,2,3
rubra,PETWID,1.5,2.5
alpina,FILLEN,6,13
florida,FILLEN,4,5
leucantha,FILLEN,5,5.5
myrtoidea,FILLEN,6.5,7.5
revoluta,FILLEN,8.5,9.5
rosea,FILLEN,6,10
rubra,FILLEN,9,14
alpina,ANTHLEN,1.5,2.5
florida,ANTHLEN,1,1.5
leucantha,ANTHLEN,0.7,1.7
myrtoidea,ANTHLEN,1,2
revoluta,ANTHLEN,2,3
rosea,ANTHLEN,1.5,2
rubra,ANTHLEN,2.5,3
alpina,STYLEN,6,14
florida,STYLEN,4.5,5.5
leucantha,STYLEN,5,7
myrtoidea,STYLEN,6.5,7.5
revoluta,STYLEN,8,12
rosea,STYLEN,7,10
rubra,STYLEN,9,14
