"","numMorphGroups","BIC.Best.Model.Per.G","taxonBIC","morphoGroupsBIC","deltaBIC_naive","deltaBIC_taxon","deltaBIC_morphoGroups"
"1",1,-694.814515999785,NA,NA,178.091114046486,NA,NA
"2",2,-609.14104898273,NA,NA,92.417647029432,NA,NA
"3",3,-585.375057463237,NA,NA,68.6516555099386,NA,NA
"4",4,-580.289679784015,NA,-648.039034421326,63.5662778307168,NA,131.315632468028
"5",5,-589.016730439705,NA,NA,72.2933284864064,NA,NA
"6",6,-582.988906060499,NA,NA,66.2655041072006,NA,NA
"7",7,-564.054364232015,-791.453468557276,NA,47.3309622787162,274.730066603977,NA
"8",8,-516.723401953298,NA,NA,0,NA,NA
"9",9,-536.716681916108,NA,NA,19.9932799628098,NA,NA
"10",10,-537.108589502417,NA,NA,20.385187549119,NA,NA
