"","X1","X2","value"
"1","alpina","alpina",1
"2","florida","alpina",0
"3","leucantha","alpina",0
"4","myrtoidea","alpina",0
"5","revoluta","alpina",0.0576923076919824
"6","rosea","alpina",0.133928571428312
"7","rubra","alpina",0.0029411764705525
"8","alpina","florida",0
"9","florida","florida",1
"10","leucantha","florida",0
"11","myrtoidea","florida",0
"12","revoluta","florida",0
"13","rosea","florida",0
"14","rubra","florida",0
"15","alpina","leucantha",0
"16","florida","leucantha",0
"17","leucantha","leucantha",1
"18","myrtoidea","leucantha",0
"19","revoluta","leucantha",0
"20","rosea","leucantha",0
"21","rubra","leucantha",0
"22","alpina","myrtoidea",0
"23","florida","myrtoidea",0
"24","leucantha","myrtoidea",0
"25","myrtoidea","myrtoidea",1
"26","revoluta","myrtoidea",0
"27","rosea","myrtoidea",0
"28","rubra","myrtoidea",0
"29","alpina","revoluta",5.15357658210553e-05
"30","florida","revoluta",0
"31","leucantha","revoluta",0
"32","myrtoidea","revoluta",0
"33","revoluta","revoluta",1
"34","rosea","revoluta",0
"35","rubra","revoluta",6.8277310923612e-06
"36","alpina","rosea",0.00208719851576534
"37","florida","rosea",0
"38","leucantha","rosea",0
"39","myrtoidea","rosea",0
"40","revoluta","rosea",0
"41","rosea","rosea",1
"42","rubra","rosea",1.6470588235226e-05
"43","alpina","rubra",0.0360750360745395
"44","florida","rubra",0
"45","leucantha","rubra",0
"46","myrtoidea","rubra",0
"47","revoluta","rubra",0.0937499999990523
"48","rosea","rubra",0.0129629629628919
"49","rubra","rubra",1
