SpecimenID,HerbariumSheetID,Taxon,MorphogroupID,CladeID,Latitude,Longitude,Elevation,Floral and Leaf,Leaf only,no measurements,libraryNumber,sampledForBFD,Phenogroup,Genogroup
AG22671,MO2919795,micrantha,16,I,-5.816666667,-79.51666667,2000,x,,,,,1,
AS15247,MO05688191,micrantha,16,I,-7.468333333,-78.77833333,2100,x,,,,,1,
AS8791,MO2677927,micrantha,16,I,-7.084444444,-79.04527778,1850,x,,,,,1,
AS9297,MO2720142,micrantha,16,I,-7.380833333,-78.89555556,2500,x,,,,,1,
BK493,MOUNM_BBK493,micrantha,16,I,-4.683333333,-79.71666667,1900,x,,,,,1,
FZ241,MOUNM_FZ241,micrantha,16,I,-7.074583333,-79.05105556,2124,x,,,Plate3,1,1,group3
FZ242,MOUNM_FZ242,micrantha,16,I,-7.074611111,-79.05108333,2124,x,,,Plate1,0,1,group3
FZ243,MOUNM_FZ243,micrantha,16,I,-7.072111111,-79.04830556,2118,x,,,Plate3,0,1,group3
FZ245A,MOUNM_FZ245A,micrantha,16,I,-7.072222222,-79.04833333,2118,x,,,Plate1,1,1,group3
MD6482,F2127150,micrantha,16,I,-7.416666667,-78.71666667,1900,x,,,,,1,
PJ98,MO05000282,micrantha,16,I,-4.091666667,-79.93333333,2400,x,,,,,1,
AJ1598,MO5689927,millegrana,16,I,-18.33333333,-64.48333333,1385,x,,,,,2,
AS148,LIL606662a,millegrana,16,I,-22.29805556,-64.68027778,1850,x,,,,,2,
AS34715,NY_AS34715,millegrana,16,I,-23.08333333,-64.86666667,2200,x,,,,,2,
FZU10219A,MO6274665,millegrana,16,I,-24.23444444,-65.07916667,1650,x,,,Plate1,1,2,group1
FZU10362A,MO6274667,millegrana,16,I,-22.31194444,-64.71444444,1625,x,,,Plate3,1,2,group1
FZU10398A,MOUNM_10398A,millegrana,16,I,-21.44138889,-64.38416667,2360,x,,,Plate1,0,2,group1
FZU10398C,MO6265743,millegrana,16,I,-21.44138889,-64.38416667,2360,x,,,,,2,
FZU10413,MO6276775,millegrana,16,I,-21.46472222,-64.14305556,1160,x,,,Plate3,1,2,group1
IV108,MO4588464,millegrana,16,I,-18.41666667,-64.11666667,1900,x,,,,,2,
IV940,MO4047260,millegrana,16,I,-18.51805556,-64.08555556,2050,x,,,,,2,
JG492,MOUNM_JG492,millegrana,16,I,-20.73333333,-64.5,1850,x,,,,,2,
JS10229,MO3148115,millegrana,16,I,-21.9,-64.68333333,2000,x,,,,,2,
JS10315,MO03148114,millegrana,16,I,-21.48333333,-64.33333333,2050,x,,,,,2,
JS17904,MO4052291,millegrana,16,I,-17.7,-64.86666667,2950,x,,,,,2,
JW11737,K206,millegrana,16,I,-18.20333333,-64.97777778,2000,x,,,,,2,
JW8314,MO5257777,millegrana,16,I,-21.88444444,-64.90277778,2100,x,,,,,2,
JW8984,K208,millegrana,16,I,-18.84722222,-65.22111111,2500,x,,,,,2,
MBL1130,MO2186806,millegrana,16,I,,,,x,,,,,2,
MS7323,MOUNM_MS7323,millegrana,16,I,-21.75833333,-64.30583333,1696,x,,,,,2,
RK3415,NY_RK3415,millegrana,16,I,-24.16666667,-65.23333333,1350,x,,,,,2,
RR71,MOUNM_RC71,millegrana,16,I,-18.55,-64.63333333,1228,x,,,,,2,
WE25045,F1495914,millegrana,16,I,-17.98333333,-65.6,2700,x,,,,,2,
FZ289,MOUNM_FZ289,millegrana,16,I,-17.84316667,-65.46086111,2756,,x,,Plate1,1,,group2
FZ290,MOUNM_FZ290,millegrana,16,I,-17.84361111,-65.46111111,2756,,x,,Plate3,0,,group2
FZ291,MOUNM_FZ291,millegrana,16,I,-17.84641667,-65.45675,2752,,x,,Plate3,0,,group2
FZ311,MOUNM_FZ311,millegrana,16,I,-17.74541667,-64.93311111,2663,,x,,Plate3,0,,group2
FZU10362C,,millegrana,,I,-22.31194,-64.71444,1625,,,x,Plate3,0,,group1
FZU10398D,,millegrana,,I,-21.44139,-64.38417,2360,,,x,Plate3,0,,group1
AG75032,MO5894702,pendula,20,II,-4.583333333,-79.66666667,2300,x,,,,,1,
AH21395,US1195613,pendula,20,II,-3.999166667,-79.30416667,2000,x,,,,,1,
AS8172,MO2312077,herrerae,20,II,-5.244444444,-79.45166667,1800,x,,,,,1,
FZ190,MOUNM_FZ190,herrerae,20,II,-13.46616667,-72.49694444,2820,x,,,Plate1,1,1,species1
FZ206,MO6273226,pendula,20,II,-6.872138889,-78.11163889,3100,x,,,Plate1,1,1,species3
FZ207,MO6273223,pendula,20,II,-6.860111111,-78.11513889,3019,x,,,Plate3,1,1,species3
JB2640,MO3584871,pendula,20,II,-2.460277778,-79.00472222,3000,x,,,,,1,
WC4029,GH__WC4029,pendula,20,II,-2.377777778,-78.94722222,2500,x,,,,,1,
WG5539,MOUNM_WG5539,herrerae,20,II,-13.6,-72.9,3450,x,,,,,1,
FW34334,MO1575383,pendula,20,II,-9.775833333,-76.08333333,2200,x,,,,,2,
IH6604,MO6280742,pendula,20,II,-13.06666667,-72.36666667,2420,x,,,,,2,
JA1012,MO5894703,pendula,20,II,-5.877222222,-77.94305556,2150,x,,,,,2,
JC9871,F1366631,pendula,20,II,6.751111111,-72.70333333,2100,x,,,,,2,
JH714,US2144882,pendula,20,II,6.337222222,-72.68388889,2000,x,,,,,2,
JL5220,MO2771452,pendula,20,II,9.314166667,-70.18083333,1650,x,,,,,2,
